Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,-9,-4,-1,-4,-0,1,3,17,18,109,14,-2,-8,,,,,,,,
Quarterly Results,Expenses,1,1,1,0,7,4,0,1,1,82,10,1,1,,,,,,,,
Quarterly Results,Operating Profit,-10,-4,-2,-4,-8,-3,2,16,17,27,4,-3,-9,,,,,,,,
Quarterly Results,OPM %,,,,,,-273%,83%,97%,96%,25%,30%,,,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Quarterly Results,Profit before tax,-10,-4,-2,-4,-8,-3,2,16,17,27,4,-3,-9,,,,,,,,
Quarterly Results,Tax %,1%,0%,0%,0%,2%,0%,0%,0%,4%,10%,42%,35%,21%,,,,,,,,
Quarterly Results,Net Profit,-10,-4,-2,-4,-8,-3,2,16,17,24,2,-4,-11,,,,,,,,
Quarterly Results,EPS in Rs,-9.26,-4.29,-1.58,-3.87,-7.47,-2.64,2.19,15.27,15.83,23.29,2.30,-3.54,-10.30,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,260,,,,-9,,,,39,,,,113,2,37,-6,10,28,-2,-31,7
Profit & Loss,Expenses,245,,,,9,,,,6,,,,93,2,3,2,2,20,2,2,2
Profit & Loss,Operating Profit,15,,,,-18,,,,33,,,,19,-0,34,-8,7,9,-4,-33,5
Profit & Loss,OPM %,6%,,,,,,,,85%,,,,17%,-19%,92%,,76%,31%,,,69%
Profit & Loss,Other Income,0,,,,0,,,,0,,,,0,0,-1,3,0,0,0,1,0
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,0,0,0,1,0,0,0,0,0
Profit & Loss,Profit before tax,15,,,,-18,,,,33,,,,20,-1,33,-6,7,8,-5,-32,5
Profit & Loss,Tax %,1%,,,,1%,,,,2%,,,,37%,-3%,27%,9%,20%,28%,31%,0%,0%
Profit & Loss,Net Profit,15,,,,-18,,,,32,,,,12,-1,24,-7,6,6,-6,-32,5
Profit & Loss,EPS in Rs,13.96,,,,-17.20,,,,30.64,,,,11.75,-0.61,23.06,-6.62,5.37,5.70,-5.67,-30.55,4.75
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,8%,,,,0%,0%,9%,0%,0%,44%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,10,,,,10,10,10,10,10,10,10,10,10
Balance Sheet,Reserves,20,,,,10,,,,43,,,,41,29,44,37,43,50,40,8,13
Balance Sheet,Borrowings,1,,,,10,,,,0,,,,0,8,20,0,0,2,0,8,0
Balance Sheet,Other Liabilities,2,,,,7,,,,2,,,,6,8,20,20,20,18,4,2,2
Balance Sheet,Total Liabilities,33,,,,38,,,,56,,,,57,55,95,67,74,81,55,28,25
Balance Sheet,Fixed Assets,1,,,,1,,,,1,,,,1,3,3,2,1,1,1,1,1
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0
Balance Sheet,Investments,26,,,,25,,,,11,,,,21,8,39,1,14,45,10,0,4
Balance Sheet,Other Assets,6,,,,12,,,,44,,,,35,44,52,65,58,35,44,27,21
Balance Sheet,Total Assets,33,,,,38,,,,56,,,,57,55,95,67,74,81,55,28,25
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,25,,,,-4,,,,-3,,,,5,-12,27,-9,10,17,-24,-16,2
Cash Flows,Cash from Investing Activity,-27,,,,-5,,,,16,,,,-8,15,-47,40,-13,-24,35,4,-4
Cash Flows,Cash from Financing Activity,1,,,,9,,,,-10,,,,0,0,20,-20,-5,2,4,8,-8
Cash Flows,Net Cash Flow,-1,,,,-0,,,,3,,,,-3,3,-0,10,-8,-5,15,-5,-10
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,162,,,,25,7339,322,-1997,1282,198,-2289,-181,940
Ratios,Inventory Days,8,,,,594,,,,989,,,,17,,,0,,,0,0,
Ratios,Days Payable,0,,,,302,,,,0,,,,0,,,,,,,,
Ratios,Cash Conversion Cycle,8,,,,292,,,,1151,,,,42,7339,322,-1997,1282,198,-2289,-181,940
Ratios,Working Capital Days,5,,,,159,,,,354,,,,81,5665,139,1005,611,4,2390,158,850
Ratios,ROCE %,54%,,,,-58%,,,,78%,,,,37%,-1%,56%,-15%,14%,14%,-8%,-84%,20%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,61.29%,61.29%,61.29%,61.69%,62.77%,62.77%,64.25%,64.25%,64.30%,64.09%,64.09%,64.43%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,1.73%,0.35%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.50%,0.15%,0.15%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,38.22%,36.83%,38.21%,37.81%,37.23%,37.24%,35.76%,35.75%,35.71%,35.91%,35.91%,35.58%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,7601,7642,7789,7783,6566,6792,6333,5943,5889,6816,7692,8010,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.82%,,,,61.69%,,,,64.25%,,,,64.43%,,,,46.04%,50.99%,55.23%,55.87%,60.63%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.35%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.35%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.50%,,,,0.15%,,,,0.00%,,,,0.00%,,,,0.50%,1.88%,0.15%,0.50%,0.50%
Shareholding Pattern (Yearly),Public,38.68%,,,,37.81%,,,,35.75%,,,,35.58%,,,,53.47%,47.13%,44.27%,43.63%,38.88%
Shareholding Pattern (Yearly),No. of Shareholders,7661,,,,7783,,,,5943,,,,8010,,,,5840,5126,5362,5349,5659
,,,,,,,,,,,,,,,,,,,,,,
