Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,176,179,177,182,190,194,210,212,197,180,178,181,187,,,,,,,,
Quarterly Results,Expenses,172,173,147,169,207,198,176,221,235,180,174,158,179,,,,,,,,
Quarterly Results,Operating Profit,4,7,30,13,-17,-4,35,-9,-38,-0,3,23,8,,,,,,,,
Quarterly Results,OPM %,2%,4%,17%,7%,-9%,-2%,17%,-4%,-19%,-0%,2%,13%,4%,,,,,,,,
Quarterly Results,Other Income,-2,0,-7,11,-1,-3,-178,0,-51,3,5,4,6,,,,,,,,
Quarterly Results,Interest,2,2,2,2,3,2,3,3,2,2,2,2,2,,,,,,,,
Quarterly Results,Depreciation,5,5,5,8,5,5,7,7,8,7,7,7,6,,,,,,,,
Quarterly Results,Profit before tax,-6,-0,16,15,-26,-14,-153,-18,-99,-6,-1,19,6,,,,,,,,
Quarterly Results,Tax %,-30%,300%,-9%,10%,7%,11%,1%,59%,1%,41%,275%,7%,-328%,,,,,,,,
Quarterly Results,Net Profit,-4,-2,17,13,-27,-16,-154,-29,-100,-9,-4,17,27,,,,,,,,
Quarterly Results,EPS in Rs,-0.23,-0.09,1.02,0.77,-1.62,-0.93,-9.14,-1.75,-5.90,-0.50,-0.25,1.02,1.59,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,677,,,,729,,,,814,,,,726,1308,1344,1126,1004,991,1122,698,609
Profit & Loss,Expenses,700,,,,766,,,,877,,,,695,1217,1171,1909,847,835,977,661,642
Profit & Loss,Operating Profit,-23,,,,-37,,,,-63,,,,31,91,173,-783,157,156,144,38,-33
Profit & Loss,OPM %,-3%,,,,-5%,,,,-8%,,,,4%,7%,13%,-70%,16%,16%,13%,5%,-5%
Profit & Loss,Other Income,-6,,,,73,,,,-184,,,,16,131,-669,723,52,19,21,148,547
Profit & Loss,Interest,10,,,,9,,,,10,,,,8,321,211,175,93,87,84,90,85
Profit & Loss,Depreciation,14,,,,23,,,,27,,,,28,256,229,203,14,9,2,14,15
Profit & Loss,Profit before tax,-54,,,,4,,,,-284,,,,12,-356,-937,-439,103,79,79,81,414
Profit & Loss,Tax %,6%,,,,69%,,,,5%,,,,-118%,0%,4%,26%,8%,11%,14%,16%,6%
Profit & Loss,Net Profit,-57,,,,1,,,,-298,,,,25,-357,-976,-552,94,71,68,68,391
Profit & Loss,EPS in Rs,-3.42,,,,0.08,,,,-17.63,,,,1.49,-6.24,-16.17,-8.61,0.80,0.44,0.42,0.42,2.42
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,168,,,,168,,,,169,,,,170,573,604,641,1184,1615,1617,1617,1617
Balance Sheet,Reserves,536,,,,474,,,,124,,,,137,-42,-1020,-530,-1006,-1364,-1293,-1225,-864
Balance Sheet,Borrowings,119,,,,99,,,,84,,,,64,2712,2510,925,929,848,894,902,569
Balance Sheet,Other Liabilities,138,,,,230,,,,286,,,,202,560,562,307,277,271,274,235,164
Balance Sheet,Total Liabilities,960,,,,972,,,,664,,,,573,3802,2655,1342,1383,1370,1492,1529,1486
Balance Sheet,Fixed Assets,417,,,,479,,,,245,,,,226,2946,1941,815,806,803,806,851,388
Balance Sheet,CWIP,8,,,,42,,,,6,,,,0,16,0,0,0,0,0,0,0
Balance Sheet,Investments,0,,,,2,,,,2,,,,2,25,25,13,0,0,0,0,0
Balance Sheet,Other Assets,536,,,,449,,,,411,,,,344,816,689,515,576,567,685,678,1098
Balance Sheet,Total Assets,960,,,,972,,,,664,,,,573,3802,2655,1342,1383,1370,1492,1529,1486
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-50,,,,145,,,,73,,,,44,50,-51,199,129,93,137,169,79
Cash Flows,Cash from Investing Activity,-4,,,,-171,,,,-59,,,,1,-19,314,5,16,-2,6,-6,803
Cash Flows,Cash from Financing Activity,-494,,,,-41,,,,-25,,,,-26,-17,-303,-170,-74,-160,-90,-174,-296
