Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,555,593,629,673,692,713,764,798,833,,,,
Quarterly Results,Interest,213,235,239,251,262,277,285,297,315,,,,
Quarterly Results,Expenses,133,166,132,156,166,173,180,187,197,,,,
Quarterly Results,Financing Profit,209,192,258,266,264,263,299,314,321,,,,
Quarterly Results,Financing Margin %,38%,32%,41%,40%,38%,37%,39%,39%,39%,,,,
Quarterly Results,Other Income,-25,0,0,0,0,0,0,0,1,,,,
Quarterly Results,Depreciation,4,5,5,5,6,6,6,6,6,,,,
Quarterly Results,Profit before tax,180,187,253,261,259,257,292,308,316,,,,
Quarterly Results,Tax %,22%,22%,22%,22%,22%,22%,22%,22%,22%,,,,
Quarterly Results,Net Profit,141,146,197,204,202,200,228,239,245,,,,
Quarterly Results,EPS in Rs,3.56,3.71,5.00,5.17,5.11,4.69,5.29,5.56,5.68,,,,
Quarterly Results,Gross NPA %,,1.46%,1.40%,1.40%,1.10%,1.31%,1.30%,1.36%,1.05%,,,,
Quarterly Results,Net NPA %,,1.10%,0.90%,0.97%,0.70%,0.90%,0.90%,0.95%,0.70%,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Revenue,2043,,,,2587,,,,3108,1266,1388,1575,1728
Profit & Loss,Interest,799,,,,987,,,,1174,732,793,816,761
Profit & Loss,Expenses,507,,,,619,,,,737,276,350,316,387
Profit & Loss,Financing Profit,737,,,,981,,,,1197,258,245,444,580
Profit & Loss,Financing Margin %,36%,,,,38%,,,,39%,20%,18%,28%,34%
Profit & Loss,Other Income,-25,,,,-0,,,,1,-14,-2,-0,0
Profit & Loss,Depreciation,16,,,,21,,,,25,9,12,11,13
Profit & Loss,Profit before tax,696,,,,960,,,,1173,235,231,433,567
Profit & Loss,Tax %,22%,,,,22%,,,,22%,31%,18%,21%,22%
Profit & Loss,Net Profit,545,,,,750,,,,912,162,189,340,445
Profit & Loss,EPS in Rs,13.80,,,,18.99,,,,21.14,64.37,47.99,8.62,11.27
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,395,,,,395,,,,431,25,39,395,395
Balance Sheet,Reserves,3303,,,,4055,,,,5941,834,2308,2298,2752
Balance Sheet,Borrowing,12153,,,,13960,,,,16322,8195,9643,10374,10675
Balance Sheet,Other Liabilities,766,,,,683,,,,529,426,376,563,554
Balance Sheet,Total Liabilities,16618,,,,19093,,,,23224,9480,12366,13630,14376
Balance Sheet,Fixed Assets,63,,,,80,,,,92,42,44,53,55
Balance Sheet,CWIP,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Investments,459,,,,462,,,,513,150,24,497,338
Balance Sheet,Other Assets,16095,,,,18551,,,,22619,9289,12298,13080,13982
Balance Sheet,Total Assets,16618,,,,19093,,,,23224,9480,12366,13630,14376
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1156,,,,-2429,,,,-3027,-2554,-1785,-1780,-907
Cash Flows,Cash from Investing Activity,-477,,,,602,,,,160,-49,-1495,-480,823
Cash Flows,Cash from Financing Activity,1463,,,,1778,,,,3389,3356,3701,1279,275
Cash Flows,Net Cash Flow,-169,,,,-49,,,,522,754,422,-981,191
,,,,,,,,,,,,,,
Ratios,ROE %,16%,,,,18%,,,,17%,,12%,14%,15%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,76.48%,75.89%,75.74%,75.61%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.18%,4.32%,4.30%,5.32%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.50%,9.46%,9.27%,8.58%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,10.86%,10.33%,10.69%,10.51%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,239696,220338,219626,209369,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,75.61%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,5.32%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,8.58%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,10.51%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,209369,,,,
,,,,,,,,,,,,,,
