Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,6617,5590,6825,6938,8025,7045,7607,8800,10780,8673,10322,9381,12214,,,,,,,
Quarterly Results,Expenses,5193,4088,5145,4944,5766,4490,4798,5764,7182,5458,6604,5876,8419,,,,,,,
Quarterly Results,Operating Profit,1424,1502,1680,1994,2259,2555,2809,3036,3598,3215,3718,3505,3795,,,,,,,
Quarterly Results,OPM %,22%,27%,25%,29%,28%,36%,37%,34%,33%,37%,36%,37%,31%,,,,,,,
Quarterly Results,Other Income,83,61,105,2810,91,70,70,60,183,150,124,85,219,,,,,,,
Quarterly Results,Interest,866,917,1060,1268,1478,1671,1827,1997,2122,2244,2369,2496,2585,,,,,,,
Quarterly Results,Depreciation,33,32,35,38,40,43,46,50,52,54,60,64,68,,,,,,,
Quarterly Results,Profit before tax,608,614,690,3499,832,912,1006,1050,1606,1067,1413,1030,1361,,,,,,,
Quarterly Results,Tax %,24%,31%,31%,6%,24%,27%,28%,28%,20%,27%,28%,30%,35%,,,,,,,
Quarterly Results,Net Profit,461,424,479,3285,636,666,725,760,1288,779,1021,724,886,,,,,,,
Quarterly Results,EPS in Rs,1.86,1.78,2.02,13.53,2.52,2.50,2.71,2.83,4.79,2.92,3.84,2.72,3.32,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,22232,,,,30163,,,,34524,,,,40590,2710,3645,5882,11526,15168,16696,19260
Profit & Loss,Expenses,16694,,,,19972,,,,22471,,,,26357,1002,1156,2478,7539,9850,10934,13966
Profit & Loss,Operating Profit,5538,,,,10191,,,,12053,,,,14233,1708,2489,3404,3987,5317,5762,5293
Profit & Loss,OPM %,25%,,,,34%,,,,35%,,,,35%,63%,68%,58%,35%,35%,35%,27%
Profit & Loss,Other Income,351,,,,311,,,,340,,,,579,-39,24,4,177,230,254,282
Profit & Loss,Interest,3480,,,,4722,,,,7617,,,,9694,1112,1612,2299,3024,4109,4634,3916
Profit & Loss,Depreciation,122,,,,145,,,,194,,,,246,37,33,43,44,58,103,114
Profit & Loss,Profit before tax,2287,,,,5635,,,,4582,,,,4871,519,869,1066,1096,1381,1280,1546
Profit & Loss,Tax %,27%,,,,14%,,,,25%,,,,30%,40%,40%,35%,37%,41%,32%,28%
Profit & Loss,Net Profit,1660,,,,4824,,,,3439,,,,3410,309,524,691,693,811,866,1106
Profit & Loss,EPS in Rs,7.06,,,,19.83,,,,12.83,,,,12.78,4.08,6.58,4.30,3.15,3.96,3.81,4.66
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,2416,,,,2418,,,,2600,,,,2607,757,796,1232,2201,2201,2414,2415
Balance Sheet,Reserves,13076,,,,17893,,,,24217,,,,27782,1056,1921,5378,6337,7311,10162,11327
Balance Sheet,Borrowings,58425,,,,84738,,,,110139,,,,140009,15973,24750,33215,44516,56324,55966,53044
Balance Sheet,Other Liabilities,66897,,,,75304,,,,94667,,,,108664,1857,2574,38316,40502,43633,44978,57698
Balance Sheet,Total Liabilities,140815,,,,180353,,,,231623,,,,279061,19642,30042,78141,93556,109470,113520,124485
Balance Sheet,Fixed Assets,1305,,,,1279,,,,1652,,,,2029,284,314,778,837,892,1181,1259
Balance Sheet,CWIP,45,,,,44,,,,94,,,,22,8,11,35,33,34,74,45
Balance Sheet,Investments,67355,,,,80383,,,,99539,,,,75191,720,1363,11760,39573,43955,48415,57703
Balance Sheet,Other Assets,72110,,,,98647,,,,130338,,,,201819,18630,28353,65569,53113,64589,63850,65478
Balance Sheet,Total Assets,140815,,,,180353,,,,231623,,,,279061,19642,30042,78141,93556,109470,113520,124485
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-5070,,,,-24029,,,,-24100,,,,-27935,0,-8697,-7570,-11894,-10256,4271,64
Cash Flows,Cash from Investing Activity,-1446,,,,-2675,,,,-4590,,,,935,0,-638,-1623,38,-690,-3070,2429
Cash Flows,Cash from Financing Activity,5836,,,,26385,,,,28514,,,,29778,0,9184,9870,12006,10852,875,-2581
Cash Flows,Net Cash Flow,-679,,,,-318,,,,-176,,,,2778,0,-151,678,150,-94,2076,-88
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,11,,,,5,,,,7,,,,6,17,18,23,12,9,10,8
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,11,,,,5,,,,7,,,,6,17,18,23,12,9,10,8
Ratios,Working Capital Days,-1018,,,,-859,,,,-944,,,,-575,770,663,461,-1217,-978,-899,-1018
Ratios,ROCE %,8%,,,,11%,,,,10%,,,,9%,,11%,10%,9%,9%,9%,8%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.07%,71.06%,71.05%,71.02%,69.11%,69.00%,68.98%,68.97%,68.98%,68.90%,68.85%,68.84%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.55%,6.80%,7.23%,7.32%,10.53%,10.46%,9.77%,10.92%,10.12%,10.40%,8.57%,7.83%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,11.94%,7.80%,8.04%,7.85%,7.73%,8.24%,8.37%,7.55%,8.12%,8.47%,9.52%,9.79%,,,,,,,
Shareholding Pattern (Quarterly),Public,,14.44%,14.33%,13.66%,13.80%,12.64%,12.32%,12.89%,12.59%,12.78%,12.23%,13.05%,13.53%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,546768,532168,488954,475283,466520,464366,491856,503842,530087,527478,563086,576863,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.07%,,,,71.02%,,,,68.97%,,,,68.84%,,,,72.75%,72.74%,70.48%,70.70%
Shareholding Pattern (Yearly),FIIs,2.36%,,,,7.32%,,,,10.92%,,,,7.83%,,,,5.27%,3.65%,2.18%,2.79%
Shareholding Pattern (Yearly),DIIs,12.33%,,,,7.85%,,,,7.55%,,,,9.79%,,,,7.04%,7.51%,12.57%,12.23%
Shareholding Pattern (Yearly),Public,14.24%,,,,13.80%,,,,12.59%,,,,13.53%,,,,14.94%,16.10%,14.77%,14.28%
Shareholding Pattern (Yearly),No. of Shareholders,538508,,,,475283,,,,503842,,,,576863,,,,495076,526452,508974,498750
,,,,,,,,,,,,,,,,,,,,,
