Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,771,814,851,895,768,758,868,974,921,,,
Quarterly Results,Expenses,721,762,780,836,708,683,764,857,785,,,
Quarterly Results,Operating Profit,50,52,71,59,60,74,103,117,136,,,
Quarterly Results,OPM %,6%,6%,8%,7%,8%,10%,12%,12%,15%,,,
Quarterly Results,Other Income,1,1,1,-2,2,2,2,3,14,,,
Quarterly Results,Interest,37,39,43,46,45,44,25,27,28,,,
Quarterly Results,Depreciation,14,13,12,14,19,16,16,13,16,,,
Quarterly Results,Profit before tax,-0,1,16,-3,-1,16,64,80,106,,,
Quarterly Results,Tax %,753%,286%,29%,33%,70%,28%,26%,28%,26%,,,
Quarterly Results,Net Profit,-1,-3,11,-4,-2,11,48,57,79,,,
Quarterly Results,EPS in Rs,-0.05,-0.11,0.46,-0.18,-0.10,0.40,1.70,2.05,2.81,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,3147,,,,3328,,,,3520,2996,2348,2686
Profit & Loss,Expenses,2961,,,,3085,,,,3089,2762,2154,2488
Profit & Loss,Operating Profit,186,,,,243,,,,431,234,195,197
Profit & Loss,OPM %,6%,,,,7%,,,,12%,8%,8%,7%
Profit & Loss,Other Income,11,,,,1,,,,21,16,19,11
Profit & Loss,Interest,136,,,,173,,,,126,180,142,146
Profit & Loss,Depreciation,55,,,,58,,,,61,69,59,59
Profit & Loss,Profit before tax,6,,,,13,,,,266,0,13,4
Profit & Loss,Tax %,73%,,,,86%,,,,27%,-2948%,80%,62%
Profit & Loss,Net Profit,2,,,,2,,,,195,13,3,1
Profit & Loss,EPS in Rs,0.07,,,,0.07,,,,6.97,0.54,0.11,0.06
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,52%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,49,,,,49,,,,56,47,47,47
Balance Sheet,Reserves,357,,,,358,,,,1487,326,328,357
Balance Sheet,Borrowings,793,,,,835,,,,905,1058,981,863
Balance Sheet,Other Liabilities,1301,,,,1403,,,,1092,983,952,988
Balance Sheet,Total Liabilities,2500,,,,2645,,,,3540,2414,2308,2255
Balance Sheet,Fixed Assets,575,,,,635,,,,749,636,649,692
Balance Sheet,CWIP,14,,,,16,,,,19,48,17,15
Balance Sheet,Investments,0,,,,0,,,,0,0,22,0
Balance Sheet,Other Assets,1910,,,,1995,,,,2771,1730,1620,1548
Balance Sheet,Total Assets,2500,,,,2645,,,,3540,2414,2308,2255
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,230,,,,186,,,,-678,595,247,179
Cash Flows,Cash from Investing Activity,-19,,,,-54,,,,-182,-45,-59,53
Cash Flows,Cash from Financing Activity,-203,,,,-132,,,,922,-496,-216,-256
Cash Flows,Net Cash Flow,8,,,,-0,,,,61,53,-29,-24
,,,,,,,,,,,,,
Ratios,Debtor Days,111,,,,136,,,,181,114,135,130
Ratios,Inventory Days,190,,,,124,,,,196,151,196,153
Ratios,Days Payable,189,,,,204,,,,206,172,267,228
Ratios,Cash Conversion Cycle,113,,,,57,,,,172,93,64,54
Ratios,Working Capital Days,56,,,,49,,,,150,49,65,60
Ratios,ROCE %,12%,,,,16%,,,,21%,,11%,11%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,80.91%,80.91%,80.91%,80.91%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.83%,2.83%,2.55%,2.73%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,3.52%,4.14%,4.01%,4.03%,,,
Shareholding Pattern (Quarterly),Public,,,,,,11.73%,12.11%,12.53%,12.33%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,363049,121282,109574,109052,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,80.91%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,2.73%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,4.03%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,12.33%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,109052,,,
,,,,,,,,,,,,,
