Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Jan 2016,Mar 2017,Mar 2018
Quarterly Results,Sales,2283,2875,3075,3589,2880,3196,3226,4167,1575,3428,3644,2201,1719,,,,,,
Quarterly Results,Expenses,1910,2406,2679,3153,2687,2904,2904,3613,1540,3070,3286,1908,1520,,,,,,
Quarterly Results,Operating Profit,373,468,396,436,193,292,323,553,35,358,358,293,199,,,,,,
Quarterly Results,OPM %,16%,16%,13%,12%,7%,9%,10%,13%,2%,10%,10%,13%,12%,,,,,,
Quarterly Results,Other Income,28,32,22,31,39,61,46,51,84,48,75,98,233,,,,,,
Quarterly Results,Interest,89,94,104,132,142,187,208,245,152,220,250,151,143,,,,,,
Quarterly Results,Depreciation,267,270,291,318,348,367,389,444,287,436,461,301,302,,,,,,
Quarterly Results,Profit before tax,45,135,24,17,-259,-201,-229,-85,-321,-250,-278,-60,-12,,,,,,
Quarterly Results,Tax %,29%,30%,-24%,36%,-25%,-20%,-12%,27%,-17%,-14%,-23%,-30%,93%,,,,,,
Quarterly Results,Net Profit,32,94,29,11,-195,-162,-200,-108,-266,-215,-215,-42,-24,,,,,,
Quarterly Results,EPS in Rs,0.46,1.04,0.40,0.17,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.74,-0.48,-0.14,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8136,,,,12418,,,,13996,,,,7355,8118,8788,5249,,,
Profit & Loss,Expenses,6998,,,,10860,,,,12474,,,,6696,7525,7528,4666,,,
Profit & Loss,Operating Profit,1138,,,,1557,,,,1522,,,,659,593,1259,583,,,
Profit & Loss,OPM %,14%,,,,13%,,,,11%,,,,9%,7%,14%,11%,,,
Profit & Loss,Other Income,103,,,,123,,,,246,,,,525,63,63,73,,,
Profit & Loss,Interest,389,,,,536,,,,941,,,,567,225,469,530,,,
Profit & Loss,Depreciation,997,,,,1227,,,,1655,,,,1166,282,885,963,,,
Profit & Loss,Profit before tax,-145,,,,-82,,,,-829,,,,-550,149,-33,-838,,,
Profit & Loss,Tax %,-18%,,,,-28%,,,,-11%,,,,-17%,-115%,402%,-12%,,,
Profit & Loss,Net Profit,-118,,,,-59,,,,-736,,,,-456,321,-165,-736,,,
Profit & Loss,EPS in Rs,-1.16,,,,-0.38,,,,-6.19,,,,-3.08,3.72,-1.89,-7.93,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,938,,,,949,,,,1015,,,,1220,773,774,915,,,
Balance Sheet,Reserves,1835,,,,2394,,,,3019,,,,5592,655,294,1729,,,
Balance Sheet,Borrowings,4100,,,,6573,,,,9451,,,,5017,1703,5285,3600,,,
Balance Sheet,Other Liabilities,5321,,,,6873,,,,8269,,,,4811,3489,3406,3805,,,
Balance Sheet,Total Liabilities,12195,,,,16790,,,,21754,,,,16640,6621,9758,10049,,,
Balance Sheet,Fixed Assets,6059,,,,8359,,,,11867,,,,9418,2555,4940,5627,,,
Balance Sheet,CWIP,103,,,,204,,,,171,,,,181,22,48,38,,,
Balance Sheet,Investments,684,,,,267,,,,985,,,,1749,4,14,418,,,
Balance Sheet,Other Assets,5348,,,,7960,,,,8731,,,,5292,4039,4756,3966,,,
Balance Sheet,Total Assets,12195,,,,16790,,,,21754,,,,16640,6621,9758,10049,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,951,,,,636,,,,1341,,,,1644,528,644,1104,,,
Cash Flows,Cash from Investing Activity,-553,,,,-387,,,,-2992,,,,-1612,-277,-551,-855,,,
Cash Flows,Cash from Financing Activity,-526,,,,326,,,,1412,,,,334,-266,116,-269,,,
Cash Flows,Net Cash Flow,-128,,,,574,,,,-239,,,,366,-15,210,-21,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,34,,,,26,,,,33,,,,19,35,35,42,,,
Ratios,Inventory Days,287,,,,277,,,,262,,,,282,179,205,263,,,
Ratios,Days Payable,335,,,,253,,,,241,,,,258,223,198,307,,,
Ratios,Cash Conversion Cycle,-13,,,,50,,,,55,,,,43,-9,42,-1,,,
Ratios,Working Capital Days,3,,,,25,,,,42,,,,120,-13,16,7,,,
Ratios,ROCE %,3%,,,,5%,,,,0%,,,,-2%,,9%,-5%,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,56.09%,56.08%,55.47%,55.47%,55.47%,55.45%,55.45%,51.85%,51.97%,49.25%,49.24%,46.58%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,13.23%,14.14%,14.59%,14.39%,14.20%,14.03%,14.15%,19.50%,19.99%,19.68%,18.35%,22.20%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,19.59%,18.99%,18.68%,18.45%,16.86%,17.01%,17.00%,14.84%,14.45%,14.76%,14.56%,14.65%,,,,,,
Shareholding Pattern (Quarterly),Government,,0.39%,0.39%,0.39%,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,10.21%,9.87%,10.33%,10.77%,12.94%,13.01%,12.91%,13.35%,13.12%,15.89%,17.43%,16.23%,,,,,,
Shareholding Pattern (Quarterly),Others,,0.49%,0.52%,0.55%,0.51%,0.51%,0.50%,0.50%,0.46%,0.45%,0.42%,0.41%,0.36%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,235023,234628,244828,257409,291906,299083,289693,312400,300868,300270,321623,320957,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,56.09%,,,,55.47%,,,,51.85%,,,,46.58%,59.10%,59.07%,56.10%,59.46%,59.33%,59.24%
Shareholding Pattern (Yearly),FIIs,13.18%,,,,14.39%,,,,19.50%,,,,22.20%,9.84%,8.43%,13.95%,0.00%,11.15%,10.50%
Shareholding Pattern (Yearly),DIIs,19.52%,,,,18.45%,,,,14.84%,,,,14.65%,18.14%,21.35%,17.53%,26.41%,14.98%,16.12%
Shareholding Pattern (Yearly),Government,0.39%,,,,0.39%,,,,0.00%,,,,0.00%,0.16%,0.59%,0.55%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,10.32%,,,,10.77%,,,,13.35%,,,,16.23%,12.76%,9.99%,11.37%,14.13%,14.53%,14.14%
Shareholding Pattern (Yearly),Others,0.50%,,,,0.51%,,,,0.46%,,,,0.36%,0.00%,0.58%,0.50%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,225384,,,,257409,,,,312400,,,,320957,156313,151677,199012,160672,165809,157447
,,,,,,,,,,,,,,,,,,,,
