Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,377,431,435,441,416,426,442,424,355,408,426,392,385,,,,,,,,,
Quarterly Results,Expenses,373,412,415,422,404,410,427,418,342,389,408,372,376,,,,,,,,,
Quarterly Results,Operating Profit,3,19,20,19,11,17,15,7,13,19,18,21,10,,,,,,,,,
Quarterly Results,OPM %,1%,4%,5%,4%,3%,4%,3%,2%,4%,5%,4%,5%,2%,,,,,,,,,
Quarterly Results,Other Income,-12,10,11,2,1,2,4,35,5,3,3,4,25,,,,,,,,,
Quarterly Results,Interest,7,7,8,7,7,7,8,8,8,7,5,5,5,,,,,,,,,
Quarterly Results,Depreciation,12,13,13,15,18,15,17,17,20,19,18,18,18,,,,,,,,,
Quarterly Results,Profit before tax,-28,9,10,-1,-13,-4,-6,18,-9,-4,-3,1,12,,,,,,,,,
Quarterly Results,Tax %,4%,25%,23%,646%,59%,-30%,-37%,-7%,-30%,-47%,-52%,17%,-28%,,,,,,,,,
Quarterly Results,Net Profit,-30,7,8,-5,-20,-3,-4,19,-6,-2,-1,1,15,,,,,,,,,
Quarterly Results,EPS in Rs,-1.82,0.34,0.47,-0.26,-1.23,-0.13,-0.15,1.67,-0.28,-0.05,0.02,0.11,0.83,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1490,,,,1723,,,,1698,,,,1510,1115,1648,1667,1691,1736,1863,1708,1314,
Profit & Loss,Expenses,1452,,,,1653,,,,1646,,,,1444,1032,1509,1536,1593,1657,1767,1671,1287,
Profit & Loss,Operating Profit,38,,,,70,,,,52,,,,66,82,139,131,98,79,96,37,28,
Profit & Loss,OPM %,3%,,,,4%,,,,3%,,,,4%,7%,8%,8%,6%,5%,5%,2%,2%,
