Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,369,323,332,295,310,260,349,487,,,
Quarterly Results,Expenses,47,34,54,94,38,39,42,51,,,
Quarterly Results,Operating Profit,322,290,277,201,272,221,307,436,,,
Quarterly Results,OPM %,87%,90%,84%,68%,88%,85%,88%,90%,,,
Quarterly Results,Other Income,65,73,39,719,30,36,45,38,,,
Quarterly Results,Interest,188,200,202,177,196,178,179,206,,,
Quarterly Results,Depreciation,77,86,85,61,56,60,70,102,,,
Quarterly Results,Profit before tax,122,77,29,681,50,18,103,166,,,
Quarterly Results,Tax %,33%,50%,-55%,22%,97%,16%,-8%,27%,,,
Quarterly Results,Net Profit,82,39,44,532,1,15,112,122,,,
Quarterly Results,EPS in Rs,7.88,3.70,4.26,50.97,0.03,0.29,1.85,2.04,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,,1319,,,,1405,1692,1488,1295
Profit & Loss,Expenses,,,,230,,,,170,139,247,122
Profit & Loss,Operating Profit,,,,1089,,,,1235,1553,1240,1173
Profit & Loss,OPM %,,,,83%,,,,88%,92%,83%,91%
Profit & Loss,Other Income,,,,896,,,,149,218,404,106
Profit & Loss,Interest,,,,767,,,,759,1151,996,809
Profit & Loss,Depreciation,,,,308,,,,287,622,546,485
Profit & Loss,Profit before tax,,,,910,,,,338,-1,102,-15
Profit & Loss,Tax %,,,,23%,,,,26%,-1470%,39%,-79%
Profit & Loss,Net Profit,,,,698,,,,251,15,62,-3
Profit & Loss,EPS in Rs,,,,66.85,,,,4.17,1.46,5.94,-0.30
Profit & Loss,Dividend Payout %,,,,0%,,,,5%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,104,,,,121,104,104,104
Balance Sheet,Reserves,,,,2487,,,,4390,1753,1804,1796
Balance Sheet,Borrowings,,,,8535,,,,10976,9732,7915,9014
Balance Sheet,Other Liabilities,,,,2075,,,,2917,900,973,1113
Balance Sheet,Total Liabilities,,,,13201,,,,18404,12489,10797,12027
Balance Sheet,Fixed Assets,,,,6758,,,,12315,8984,6177,6631
Balance Sheet,CWIP,,,,2823,,,,1362,97,1273,2147
Balance Sheet,Investments,,,,150,,,,275,25,25,23
Balance Sheet,Other Assets,,,,3471,,,,4451,3383,3322,3226
Balance Sheet,Total Assets,,,,13201,,,,18404,12489,10797,12027
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1429,,,,1543,1746,955,1263
Cash Flows,Cash from Investing Activity,,,,-1882,,,,-3976,458,-425,-1410
Cash Flows,Cash from Financing Activity,,,,215,,,,3408,-2040,-556,215
Cash Flows,Net Cash Flow,,,,-239,,,,975,164,-25,69
,,,,,,,,,,,,
Ratios,Debtor Days,,,,116,,,,99,156,203,197
Ratios,Inventory Days,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,116,,,,99,156,203,197
Ratios,Working Capital Days,,,,226,,,,42,173,239,277
Ratios,ROCE %,,,,8%,,,,8%,,7%,7%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,83.41%,83.41%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,5.54%,4.74%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,6.97%,7.09%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,4.07%,4.75%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,199394,215043,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,83.41%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,4.74%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,7.09%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,4.75%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,215043,,,
,,,,,,,,,,,,
