Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,24866,40844,38175,26612,28944,22644,19546,25050,29180,25472,22608,22848,26966,,,,,,,,
Quarterly Results,Expenses,23603,39102,36306,24983,25337,20119,17116,21824,25985,21767,18842,19778,23256,,,,,,,,
Quarterly Results,Operating Profit,1262,1742,1869,1629,3607,2525,2430,3226,3195,3706,3766,3070,3710,,,,,,,,
Quarterly Results,OPM %,5%,4%,5%,6%,12%,11%,12%,13%,11%,15%,17%,13%,14%,,,,,,,,
Quarterly Results,Other Income,276,222,266,339,-15,370,461,491,-176,591,583,648,4582,,,,,,,,
Quarterly Results,Interest,622,915,934,596,1525,1103,1343,597,1513,1130,910,2141,1796,,,,,,,,
Quarterly Results,Depreciation,449,417,531,592,895,714,757,760,811,934,1035,1006,1236,,,,,,,,
Quarterly Results,Profit before tax,468,632,670,780,1172,1079,791,2361,696,2232,2403,572,5259,,,,,,,,
Quarterly Results,Tax %,46%,35%,35%,18%,38%,33%,50%,19%,62%,26%,21%,103%,24%,,,,,,,,
Quarterly Results,Net Profit,326,469,432,740,781,677,333,1973,352,1772,1989,229,4015,,,,,,,,
Quarterly Results,EPS in Rs,2.77,4.12,4.04,7.19,6.34,5.91,2.00,16.57,3.95,12.76,15.28,0.50,33.31,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,69420,,,,127540,,,,96421,,,,97895,54947,64465,34008,36533,35924,40379,43403,39537
Profit & Loss,Expenses,65707,,,,118722,,,,85044,,,,83643,45564,52015,32325,34631,33886,38409,41108,37031
Profit & Loss,Operating Profit,3714,,,,8818,,,,11377,,,,14252,9383,12450,1684,1902,2038,1969,2294,2506
Profit & Loss,OPM %,5%,,,,7%,,,,12%,,,,15%,17%,19%,5%,5%,6%,5%,5%,6%
Profit & Loss,Other Income,1012,,,,834,,,,1146,,,,6403,1157,792,1044,749,363,504,872,494
Profit & Loss,Interest,2526,,,,3969,,,,4555,,,,5978,5703,7056,1357,1257,1250,1625,1572,1377
Profit & Loss,Depreciation,1248,,,,2436,,,,3042,,,,4211,3223,3522,314,315,664,390,472,537
Profit & Loss,Profit before tax,952,,,,3247,,,,4926,,,,10466,1614,2663,1056,1079,487,459,1122,1086
Profit & Loss,Tax %,50%,,,,32%,,,,33%,,,,28%,-64%,14%,7%,25%,23%,32%,29%,31%
Profit & Loss,Net Profit,788,,,,2422,,,,3335,,,,8005,2646,2298,1000,925,594,506,1040,1046
Profit & Loss,EPS in Rs,7.06,,,,21.61,,,,28.42,,,,61.62,20.19,17.71,9.19,8.98,6.89,6.52,10.35,8.39
Profit & Loss,Dividend Payout %,14%,,,,6%,,,,5%,,,,2%,7%,8%,4%,4%,6%,6%,10%,12%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,110,,,,114,,,,114,,,,115,110,110,110,110,110,110,110,110
Balance Sheet,Reserves,22147,,,,32937,,,,38962,,,,50199,23647,25618,13268,14026,14979,14646,16837,17049
Balance Sheet,Borrowings,41604,,,,53200,,,,65310,,,,91819,71980,83571,19169,20846,17637,11243,12419,16227
Balance Sheet,Other Liabilities,37726,,,,55027,,,,56200,,,,55710,22365,21420,9132,12630,23679,16537,17509,18231
Balance Sheet,Total Liabilities,101586,,,,141278,,,,160586,,,,197843,118102,130718,41679,47611,56405,42536,46875,51617
Balance Sheet,Fixed Assets,30123,,,,56881,,,,65978,,,,77260,70579,83834,10473,13668,10555,9020,10476,10838
Balance Sheet,CWIP,23544,,,,24025,,,,35180,,,,51516,13574,6733,7705,7731,5526,5765,7347,8825
Balance Sheet,Investments,4292,,,,6310,,,,8701,,,,9887,288,744,805,1042,1461,1511,1952,5503
Balance Sheet,Other Assets,43627,,,,54062,,,,50728,,,,59180,33661,39407,22696,25170,38864,26240,27099,26451
Balance Sheet,Total Assets,101586,,,,141278,,,,160586,,,,197843,118102,130718,41679,47611,56405,42536,46875,51617
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1385,,,,17626,,,,10312,,,,4513,8228,8532,5112,774,2942,3236,2454,4043
Cash Flows,Cash from Investing Activity,-17041,,,,-15459,,,,-18767,,,,-25709,-8007,-11465,-1825,-1460,-7649,2487,-1082,-8611
Cash Flows,Cash from Financing Activity,15901,,,,-1198,,,,8879,,,,21947,-1109,3445,-3448,716,5120,-6158,-221,3109
Cash Flows,Net Cash Flow,246,,,,970,,,,424,,,,751,-888,512,-161,30,413,-436,1151,-1459
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,72,,,,36,,,,37,,,,36,67,87,109,127,123,129,111,111
Ratios,Inventory Days,46,,,,27,,,,69,,,,73,38,35,17,19,28,29,27,21
Ratios,Days Payable,120,,,,111,,,,178,,,,148,86,89,69,101,104,133,126,142
Ratios,Cash Conversion Cycle,-2,,,,-49,,,,-72,,,,-39,19,33,57,46,47,26,11,-10
Ratios,Working Capital Days,18,,,,-18,,,,-32,,,,-11,11,28,116,88,120,53,47,29
Ratios,ROCE %,7%,,,,9%,,,,10%,,,,9%,7%,9%,3%,7%,6%,7%,9%,8%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.28%,72.62%,72.62%,69.23%,67.65%,72.61%,72.61%,72.61%,74.72%,74.89%,73.97%,73.97%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,15.83%,15.59%,15.39%,17.75%,19.34%,14.52%,14.65%,14.41%,11.73%,11.31%,11.72%,11.71%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,5.68%,5.33%,5.45%,5.15%,5.46%,5.65%,5.44%,5.77%,6.02%,6.46%,6.61%,6.86%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,6.22%,6.46%,6.53%,7.87%,7.54%,7.23%,7.30%,7.22%,7.53%,7.36%,7.68%,7.45%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,234308,263609,253432,746605,661255,566232,561309,537342,643975,584928,667210,655946,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.92%,,,,69.23%,,,,72.61%,,,,73.97%,,,,74.92%,74.92%,74.92%,74.92%,74.92%
Shareholding Pattern (Yearly),FIIs,16.62%,,,,17.75%,,,,14.41%,,,,11.71%,,,,18.13%,20.72%,19.31%,20.37%,20.51%
Shareholding Pattern (Yearly),DIIs,5.69%,,,,5.15%,,,,5.77%,,,,6.86%,,,,2.83%,1.08%,2.53%,1.57%,0.83%
Shareholding Pattern (Yearly),Public,2.77%,,,,7.87%,,,,7.22%,,,,7.45%,,,,4.12%,3.28%,3.24%,3.14%,3.74%
Shareholding Pattern (Yearly),No. of Shareholders,226071,,,,746605,,,,537342,,,,655946,,,,81676,73186,81444,80147,148923
,,,,,,,,,,,,,,,,,,,,,,
