Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,3171,3334,3126,3636,3154,2960,3211,3223,,,,
Quarterly Results,Expenses,2867,3002,2751,3282,2801,2615,2847,2930,,,,
Quarterly Results,Operating Profit,304,332,374,355,353,344,364,294,,,,
Quarterly Results,OPM %,10%,10%,12%,10%,11%,12%,11%,9%,,,,
Quarterly Results,Other Income,50,100,56,173,59,130,121,164,,,,
Quarterly Results,Interest,116,157,129,176,147,164,169,150,,,,
Quarterly Results,Depreciation,111,114,124,146,130,120,117,124,,,,
Quarterly Results,Profit before tax,128,160,178,207,135,191,200,184,,,,
Quarterly Results,Tax %,29%,35%,39%,30%,32%,29%,26%,40%,,,,
Quarterly Results,Net Profit,91,104,110,145,92,135,149,111,,,,
Quarterly Results,EPS in Rs,12.64,14.47,15.24,4.25,2.69,3.97,4.05,3.02,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,13268,,,,12548,9934,9376,11019,12637
Profit & Loss,Expenses,,,,11890,,,,11187,9113,8505,10076,11305
Profit & Loss,Operating Profit,,,,1377,,,,1361,821,870,943,1333
Profit & Loss,OPM %,,,,10%,,,,11%,8%,9%,9%,11%
Profit & Loss,Other Income,,,,367,,,,469,186,138,244,185
Profit & Loss,Interest,,,,577,,,,629,391,468,425,447
Profit & Loss,Depreciation,,,,495,,,,491,240,250,355,472
Profit & Loss,Profit before tax,,,,673,,,,710,376,290,407,599
Profit & Loss,Tax %,,,,33%,,,,31%,34%,42%,12%,31%
Profit & Loss,Net Profit,,,,450,,,,487,248,170,358,411
Profit & Loss,EPS in Rs,,,,13.20,,,,13.24,34.12,23.20,49.51,57.09
Profit & Loss,Dividend Payout %,,,,19%,,,,19%,10%,15%,7%,7%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,341,,,,368,72,72,72,72
Balance Sheet,Reserves,,,,3255,,,,4893,1721,1868,2190,2654
Balance Sheet,Borrowings,,,,2523,,,,2343,2118,2059,2073,2062
Balance Sheet,Other Liabilities,,,,10114,,,,9515,9186,8491,8638,9513
Balance Sheet,Total Liabilities,,,,16234,,,,17119,13097,12490,12974,14301
Balance Sheet,Fixed Assets,,,,2784,,,,2738,1938,2003,2318,2498
Balance Sheet,CWIP,,,,43,,,,33,18,146,18,184
Balance Sheet,Investments,,,,1,,,,1,0,0,1,0
Balance Sheet,Other Assets,,,,13406,,,,14348,11141,10341,10638,11619
Balance Sheet,Total Assets,,,,16234,,,,17119,13097,12490,12974,14301
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,707,,,,-132,1050,913,610,1215
Cash Flows,Cash from Investing Activity,,,,-859,,,,-131,-390,-260,-255,-861
Cash Flows,Cash from Financing Activity,,,,246,,,,290,-455,-564,-521,-483
Cash Flows,Net Cash Flow,,,,94,,,,27,205,90,-165,-128
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,86,,,,81,91,100,76,63
Ratios,Inventory Days,,,,148,,,,112,146,135,146,150
Ratios,Days Payable,,,,393,,,,393,458,446,310,332
Ratios,Cash Conversion Cycle,,,,-160,,,,-200,-222,-212,-88,-119
Ratios,Working Capital Days,,,,64,,,,115,44,33,44,39
Ratios,ROCE %,,,,23%,,,,20%,,19%,20%,23%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,50.17%,50.17%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,18.00%,18.21%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,11.12%,12.07%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,20.71%,19.55%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,282920,268890,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,50.17%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,18.21%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,12.07%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,19.55%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,268890,,,,
,,,,,,,,,,,,,
