Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,50.59%,50.61%,43.74%,43.74%,43.74%,43.75%,37.57%,12.04%,11.62%,0.72%,0.27%,0.27%,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.05%,0.06%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,49.40%,49.33%,56.19%,56.25%,56.25%,56.26%,62.41%,87.96%,88.38%,99.28%,99.72%,99.72%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,661,1080,3965,2403,2180,3332,32392,95076,99399,110102,134055,148333,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,43.74%,,,,12.04%,,,,0.27%,46.06%,46.06%,46.06%,50.49%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.01%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,56.25%,,,,87.96%,,,,99.72%,53.94%,53.94%,53.94%,49.51%
Shareholding Pattern (Yearly),No. of Shareholders,,,,2403,,,,95076,,,,148333,821,731,662,345
,,,,,,,,,,,,,,,,,
