Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,61.99%,61.99%,61.99%,62.04%,62.04%,62.04%,62.04%,62.13%,62.13%,62.13%,62.13%,62.23%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.64%,0.61%,0.57%,0.57%,0.65%,0.57%,0.70%,0.98%,0.80%,0.88%,0.86%,1.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,3.17%,2.97%,2.84%,2.80%,2.30%,1.90%,1.67%,1.67%,1.67%,1.63%,1.63%,1.64%,,,,,,
Shareholding Pattern (Quarterly),Public,34.19%,34.43%,34.60%,34.59%,35.01%,35.49%,35.60%,35.23%,35.41%,35.36%,35.39%,35.12%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,10708,10381,10010,9786,9828,9907,10041,11266,12349,13590,14830,15304,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,62.04%,,,,62.13%,,,,62.23%,60.90%,60.90%,60.90%,61.15%,61.25%,61.96%
Shareholding Pattern (Yearly),FIIs,,,,0.57%,,,,0.98%,,,,1.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.75%
Shareholding Pattern (Yearly),DIIs,,,,2.80%,,,,1.67%,,,,1.64%,4.56%,4.61%,4.47%,3.91%,3.81%,3.18%
Shareholding Pattern (Yearly),Public,,,,34.59%,,,,35.23%,,,,35.12%,34.54%,34.49%,34.51%,34.94%,34.94%,34.11%
Shareholding Pattern (Yearly),No. of Shareholders,,,,9786,,,,11266,,,,15304,8969,7815,8906,8595,12011,10645
,,,,,,,,,,,,,,,,,,,
