Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,161,60,50,53,93,67,73,84,117,74,266,210,163,,,,,,,
Quarterly Results,Expenses,140,49,41,44,72,41,39,64,86,65,200,151,130,,,,,,,
Quarterly Results,Operating Profit,21,11,9,9,20,26,34,20,31,9,66,59,34,,,,,,,
Quarterly Results,OPM %,13%,18%,18%,17%,22%,39%,47%,24%,27%,12%,25%,28%,21%,,,,,,,
Quarterly Results,Other Income,2,2,1,3,2,2,3,2,3,3,4,5,11,,,,,,,
Quarterly Results,Interest,1,2,2,4,6,15,19,3,4,3,5,5,8,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Quarterly Results,Profit before tax,22,10,8,7,15,13,16,18,28,7,64,58,36,,,,,,,
Quarterly Results,Tax %,35%,28%,37%,24%,29%,30%,32%,36%,31%,38%,33%,14%,39%,,,,,,,
Quarterly Results,Net Profit,14,7,5,5,10,9,11,12,20,5,43,50,22,,,,,,,
Quarterly Results,EPS in Rs,3.29,1.71,1.10,0.94,2.05,1.77,1.91,2.07,3.42,0.64,8.93,10.48,4.20,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,257,,,,256,,,,341,,,,713,87,115,159,198,262,299,149
Profit & Loss,Expenses,208,,,,207,,,,229,,,,545,62,80,114,137,194,211,109
Profit & Loss,Operating Profit,49,,,,49,,,,112,,,,168,25,35,44,61,68,89,41
Profit & Loss,OPM %,19%,,,,19%,,,,33%,,,,24%,29%,31%,28%,31%,26%,30%,27%
Profit & Loss,Other Income,7,,,,7,,,,9,,,,23,0,2,1,4,2,2,2
Profit & Loss,Interest,17,,,,14,,,,41,,,,21,8,9,12,15,21,24,27
Profit & Loss,Depreciation,2,,,,3,,,,4,,,,5,0,1,1,1,1,1,1
Profit & Loss,Profit before tax,38,,,,40,,,,76,,,,165,17,27,32,48,48,65,14
Profit & Loss,Tax %,34%,,,,30%,,,,33%,,,,28%,39%,38%,33%,35%,35%,37%,38%
Profit & Loss,Net Profit,25,,,,28,,,,51,,,,119,10,17,22,31,31,41,9
Profit & Loss,EPS in Rs,5.90,,,,5.65,,,,9.17,,,,24.25,10.56,6.66,7.14,9.47,8.70,11.06,2.46
Profit & Loss,Dividend Payout %,0%,,,,58%,,,,38%,,,,25%,0%,0%,0%,0%,17%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,42,,,,45,,,,45,,,,46,10,26,28,32,35,36,36
Balance Sheet,Reserves,397,,,,421,,,,449,,,,552,116,118,166,263,219,253,276
Balance Sheet,Borrowings,30,,,,146,,,,110,,,,285,31,92,93,161,171,218,189
Balance Sheet,Other Liabilities,667,,,,898,,,,1497,,,,1787,105,120,145,140,352,291,425
Balance Sheet,Total Liabilities,1136,,,,1511,,,,2102,,,,2671,262,355,433,596,777,798,926
Balance Sheet,Fixed Assets,43,,,,46,,,,53,,,,58,3,10,10,10,10,9,9
