Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,9927,8470,9600,10400,13203,9691,11429,11093,13542,10724,11148,11995,14696,,,,,,,,
Quarterly Results,Expenses,8733,7701,8580,9055,11245,8183,9559,9131,10975,8856,9108,9659,11705,,,,,,,,
Quarterly Results,Operating Profit,1194,770,1020,1344,1958,1509,1870,1961,2567,1868,2040,2336,2991,,,,,,,,
Quarterly Results,OPM %,12%,9%,11%,13%,15%,16%,16%,18%,19%,17%,18%,19%,20%,,,,,,,,
Quarterly Results,Other Income,-233,5,32,36,97,53,-1,46,10,36,245,75,22,,,,,,,,
Quarterly Results,Interest,463,467,499,545,582,655,715,783,829,904,962,1011,1053,,,,,,,,
Quarterly Results,Depreciation,234,212,209,220,259,227,227,241,233,235,244,268,340,,,,,,,,
Quarterly Results,Profit before tax,264,96,344,615,1214,679,927,984,1516,765,1078,1132,1621,,,,,,,,
Quarterly Results,Tax %,40%,77%,46%,43%,34%,14%,39%,38%,38%,28%,29%,28%,23%,,,,,,,,
Quarterly Results,Net Profit,158,22,186,351,803,584,569,609,934,551,767,820,1246,,,,,,,,
Quarterly Results,EPS in Rs,0.48,0.02,0.56,1.09,2.56,1.85,1.79,1.91,2.91,1.73,2.40,2.59,3.85,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,26237,,,,41673,,,,45791,,,,48535,11859,15708,21260,22871,29636,33197,21951,19454
Profit & Loss,Expenses,23472,,,,36580,,,,37848,,,,39327,11437,14191,18281,19826,25387,28287,18718,16992
Profit & Loss,Operating Profit,2765,,,,5093,,,,7943,,,,9208,422,1517,2979,3045,4248,4910,3233,2462
Profit & Loss,OPM %,11%,,,,12%,,,,17%,,,,19%,4%,10%,14%,13%,14%,15%,15%,13%
Profit & Loss,Other Income,-230,,,,166,,,,73,,,,405,613,-106,-321,406,190,139,57,207
Profit & Loss,Interest,1869,,,,2094,,,,2982,,,,3930,805,872,925,1049,1227,1502,1802,1901
Profit & Loss,Depreciation,866,,,,900,,,,927,,,,1087,530,580,524,573,646,676,750,836
Profit & Loss,Profit before tax,-200,,,,2265,,,,4106,,,,4596,-300,-42,1209,1829,2565,2872,739,-67
Profit & Loss,Tax %,43%,,,,40%,,,,34%,,,,26%,-23%,415%,41%,11%,29%,24%,38%,4%
Profit & Loss,Net Profit,-285,,,,1359,,,,2696,,,,3383,-222,-205,712,1633,1814,2195,460,-70
Profit & Loss,EPS in Rs,-1.22,,,,4.22,,,,8.46,,,,10.58,-0.62,0.47,2.40,5.58,6.01,7.08,1.15,-0.56
Profit & Loss,Dividend Payout %,-82%,,,,62%,,,,59%,,,,59%,0%,96%,40%,28%,40%,44%,44%,-107%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,294,,,,294,,,,294,,,,294,266,285,285,285,293,294,294,294
Balance Sheet,Reserves,7010,,,,8258,,,,8711,,,,11938,3723,4227,4979,6108,7128,8452,7495,7568
Balance Sheet,Borrowings,24145,,,,31161,,,,40802,,,,49962,8500,9070,11054,13168,15791,19168,22417,24077
Balance Sheet,Other Liabilities,12125,,,,14984,,,,17788,,,,19520,5035,6011,5806,7048,10171,11212,7924,10119
