Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,7893,8607,8458,8637,8787,9182,8479,9103,8731,8970,8028,8549,8359,,,,,,,,
Quarterly Results,Expenses,6449,7051,7230,7025,6923,7061,6762,7047,7039,7276,6788,6913,6923,,,,,,,,
Quarterly Results,Operating Profit,1443,1556,1228,1611,1865,2121,1716,2056,1691,1694,1240,1637,1436,,,,,,,,
Quarterly Results,OPM %,18%,18%,15%,19%,21%,23%,20%,23%,19%,19%,15%,19%,17%,,,,,,,,
Quarterly Results,Other Income,-26,88,118,122,104,228,194,186,212,193,25,193,-60,,,,,,,,
Quarterly Results,Interest,23,29,35,41,39,46,51,54,54,55,63,56,53,,,,,,,,
Quarterly Results,Depreciation,205,208,216,214,220,198,209,220,226,228,242,256,301,,,,,,,,
Quarterly Results,Profit before tax,1189,1407,1094,1478,1710,2105,1651,1968,1624,1604,959,1518,1022,,,,,,,,
Quarterly Results,Tax %,26%,26%,27%,26%,26%,25%,25%,25%,21%,26%,28%,26%,31%,,,,,,,,
Quarterly Results,Net Profit,874,1036,804,1097,1258,1575,1232,1475,1275,1187,694,1128,701,,,,,,,,
Quarterly Results,EPS in Rs,8.87,10.60,8.16,11.18,12.87,16.16,12.57,15.09,13.10,12.20,7.24,11.58,7.22,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,29101,,,,34489,,,,35495,,,,33906,12220,13615,14271,15062,16825,19240,20211,21713
Profit & Loss,Expenses,24298,,,,28229,,,,27910,,,,27899,10217,11372,11546,12068,13621,15475,16054,16857
Profit & Loss,Operating Profit,4804,,,,6260,,,,7585,,,,6006,2004,2243,2725,2994,3204,3765,4157,4856
Profit & Loss,OPM %,17%,,,,18%,,,,21%,,,,18%,16%,16%,19%,20%,19%,20%,21%,22%
Profit & Loss,Other Income,296,,,,431,,,,821,,,,350,124,142,213,338,336,274,355,332
Profit & Loss,Interest,95,,,,144,,,,205,,,,227,48,42,49,37,41,110,102,92
Profit & Loss,Depreciation,816,,,,858,,,,853,,,,1026,246,266,276,335,360,622,780,791
Profit & Loss,Profit before tax,4188,,,,5689,,,,7348,,,,5103,1834,2077,2614,2960,3138,3306,3629,4304
Profit & Loss,Tax %,26%,,,,26%,,,,24%,,,,27%,31%,31%,32%,32%,33%,33%,24%,26%
Profit & Loss,Net Profit,3085,,,,4195,,,,5558,,,,3710,1263,1427,1803,2016,2098,2208,2774,3207
Profit & Loss,EPS in Rs,31.59,,,,42.81,,,,56.92,,,,38.23,12.71,14.54,18.19,20.22,21.26,22.48,28.20,32.73
Profit & Loss,Dividend Payout %,61%,,,,60%,,,,58%,,,,65%,42%,42%,41%,51%,41%,47%,43%,55%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,96,,,,96,,,,96,,,,96,96,96,96,96,96,96,96,96
Balance Sheet,Reserves,13716,,,,15896,,,,18632,,,,19304,3943,4646,6429,7508,8314,9375,10034,12710
Balance Sheet,Borrowings,1587,,,,1933,,,,2474,,,,2290,249,418,323,560,533,1320,1118,1093
Balance Sheet,Other Liabilities,7560,,,,7854,,,,8698,,,,8665,3787,3754,3711,4241,4820,5459,4889,6456
Balance Sheet,Total Liabilities,22958,,,,25779,,,,29901,,,,30355,8075,8914,10559,12405,13763,16249,16138,20355
Balance Sheet,Fixed Assets,5519,,,,5770,,,,7147,,,,9220,2562,2660,3416,3304,3732,6497,6272,5859
Balance Sheet,CWIP,426,,,,1020,,,,2698,,,,1254,72,196,107,258,1405,210,140,183
Balance Sheet,Investments,3248,,,,4262,,,,4588,,,,4725,1424,1588,2712,2652,2141,2569,2019,4737
Balance Sheet,Other Assets,13765,,,,14728,,,,15468,,,,15156,4019,4471,4324,6192,6485,6974,7707,9577
Balance Sheet,Total Assets,22958,,,,25779,,,,29901,,,,30355,8075,8914,10559,12405,13763,16249,16138,20355
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,986,,,,4193,,,,6104,,,,4424,1402,1188,2243,1527,2113,2470,3038,3683
Cash Flows,Cash from Investing Activity,-317,,,,-1282,,,,-2548,,,,-941,-586,-465,-866,-681,-1556,-918,-518,-541
Cash Flows,Cash from Financing Activity,-1808,,,,-2140,,,,-2982,,,,-3753,-626,-576,-849,-756,-1379,-1117,-2871,-650
Cash Flows,Net Cash Flow,-1138,,,,771,,,,573,,,,-270,190,147,528,90,-822,434,-351,2492
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,49,,,,49,,,,50,,,,46,33,32,30,35,38,36,32,44
Ratios,Inventory Days,142,,,,121,,,,122,,,,142,121,123,108,138,117,119,127,134
Ratios,Days Payable,96,,,,71,,,,79,,,,81,102,84,84,101,95,90,80,119
