Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2011,Sep 201218m,Sep 2013,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2012,Mar 2015,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,15,14,16,15,18,15,16,16,18,15,14,11,12,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,15,13,14,14,16,14,15,15,16,14,13,12,12,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1,1,1,1,2,1,2,2,2,1,1,-0,-0,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,4%,9%,9%,9%,10%,6%,9%,9%,10%,9%,7%,-2%,-1%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,0,0,0,0,0,0,0,0,460,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,13,13,13,13,13,13,13,13,13,13,13,0,0,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-13,-13,-13,-13,-12,-13,-13,-13,-12,-13,-13,-1,459,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,-1%,-1%,-1%,1%,-10%,-1%,-1%,-1%,-1%,6%,-1%,-14%,4%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-13,-13,-13,-13,-11,-13,-13,-12,-12,-14,-13,-1,440,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-3.87,-3.75,-3.71,-3.81,-3.19,-3.87,-3.68,-3.66,-3.57,-3.99,-3.79,-0.33,14.44,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,66,,,,63,,,,65,,,,52,888,1163,153,108,109,85,75,69,,,,,,,,,,
Profit & Loss,Expenses,59,,,,57,,,,60,,,,50,683,1117,235,156,97,75,61,85,,,,,,,,,,
Profit & Loss,Operating Profit,7,,,,6,,,,6,,,,2,205,46,-82,-48,12,10,14,-16,,,,,,,,,,
Profit & Loss,OPM %,11%,,,,9%,,,,9%,,,,4%,23%,4%,-53%,-44%,11%,12%,19%,-24%,,,,,,,,,,
Profit & Loss,Other Income,3,,,,0,,,,0,,,,460,9,34,63,62,19,-3,2,0,,,,,,,,,,
