Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,8.18,14.64,28.30,38.56,45.36,44.16,52.77,57.31,59.81,64.89,63.96,64.58,70.41,,,,,,,,
Quarterly Results,Expenses,15.81,21.41,34.26,39.19,47.08,45.91,60.38,59.40,45.27,57.05,53.05,52.94,54.79,,,,,,,,
Quarterly Results,Operating Profit,-7.63,-6.77,-5.96,-0.63,-1.72,-1.75,-7.61,-2.09,14.54,7.84,10.91,11.64,15.62,,,,,,,,
Quarterly Results,OPM %,-93.28%,-46.24%,-21.06%,-1.63%,-3.79%,-3.96%,-14.42%,-3.65%,24.31%,12.08%,17.06%,18.02%,22.18%,,,,,,,,
Quarterly Results,Other Income,1.41,1.08,2.54,2.59,5.97,3.55,4.76,4.78,4.49,4.17,3.65,5.65,7.63,,,,,,,,
Quarterly Results,Interest,0.17,0.60,1.71,2.46,3.76,4.49,7.03,6.89,7.56,6.86,6.93,6.13,9.31,,,,,,,,
Quarterly Results,Depreciation,1.49,3.33,8.07,12.92,14.17,16.10,18.62,19.67,18.13,18.93,19.70,20.79,22.94,,,,,,,,
Quarterly Results,Profit before tax,-7.88,-9.62,-13.20,-13.42,-13.68,-18.79,-28.50,-23.87,-6.66,-13.78,-12.07,-9.63,-9.00,,,,,,,,
Quarterly Results,Tax %,-24.37%,-16.94%,-21.29%,-18.48%,-28.14%,-14.21%,-16.18%,-10.68%,-30.18%,-22.35%,0.66%,-11.53%,9.67%,,,,,,,,
Quarterly Results,Net Profit,-6.49,-8.73,-10.82,-10.94,-9.83,-16.12,-23.89,-21.32,-4.65,-10.70,-12.15,-8.52,-9.87,,,,,,,,
Quarterly Results,EPS in Rs,-0.68,-0.96,-1.11,-1.15,-0.82,-1.76,-2.81,-2.59,-1.55,-3.67,-3.27,-2.26,-2.46,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,16,,,,127,,,,214,,,,264,0,757,826,806,988,10,10,
Profit & Loss,Expenses,35,,,,143,,,,211,,,,218,0,747,802,783,893,11,20,
Profit & Loss,Operating Profit,-19,,,,-16,,,,3,,,,46,-0,10,24,23,95,-1,-10,
Profit & Loss,OPM %,-120%,,,,-13%,,,,1%,,,,17%,,1%,3%,3%,10%,-9%,-106%,
Profit & Loss,Other Income,5,,,,12,,,,18,,,,21,0,5,7,21,31,93,3156,
Profit & Loss,Interest,0,,,,9,,,,26,,,,29,0,4,8,5,4,0,0,
Profit & Loss,Depreciation,3,,,,38,,,,73,,,,82,0,18,17,18,20,1,1,
Profit & Loss,Profit before tax,-17,,,,-51,,,,-78,,,,-44,-0,-8,6,21,103,91,3146,
Profit & Loss,Tax %,-21%,,,,-21%,,,,-15%,,,,-7%,0%,-195%,-21%,87%,30%,1%,23%,
Profit & Loss,Net Profit,-13,,,,-40,,,,-66,,,,-41,-0,7,7,3,72,90,2413,
Profit & Loss,EPS in Rs,-1.56,,,,-4.03,,,,-19.14,,,,-11.40,,1.20,0.87,0.89,7.62,8.20,336.99,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,45%,8%,10%,116%,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,20,,,,20,,,,28,0.05,12,12,14,14,14,14,
Balance Sheet,Reserves,154,,,,203,,,,160,,,,247,-0,264,281,529,663,684,161,
Balance Sheet,Borrowings,8,,,,99,,,,319,,,,273,0,93,85,92,4,1,0,
Balance Sheet,Other Liabilities,45,,,,71,,,,145,,,,127,0,305,276,300,431,549,14,
Balance Sheet,Total Liabilities,221,,,,392,,,,644,,,,675,0,674,654,935,1112,1248,190,
Balance Sheet,Fixed Assets,67,,,,235,,,,457,,,,458,0,66,261,256,338,358,9,
Balance Sheet,CWIP,3,,,,2,,,,16,,,,0,0,193,2,0,0,10,18,
Balance Sheet,Investments,47,,,,28,,,,25,,,,50,0,14,18,309,87,73,142,
Balance Sheet,Other Assets,104,,,,127,,,,146,,,,167,0,400,373,370,686,807,22,
Balance Sheet,Total Assets,221,,,,392,,,,644,,,,675,0,674,654,935,1112,1248,190,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-24,,,,-50,,,,20,,,,28,-0,-15,88,-23,48,119,-786,
Cash Flows,Cash from Investing Activity,59,,,,-44,,,,-155,,,,-42,0,-7,-27,-229,-15,123,3358,
Cash Flows,Cash from Financing Activity,-1,,,,80,,,,122,,,,18,0,60,-20,232,17,-9,-2922,
Cash Flows,Net Cash Flow,34,,,,-14,,,,-13,,,,4,0,39,40,-19,50,233,-350,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,180,,,,53,,,,40,,,,40,,73,37,58,44,7060,0,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,180,,,,53,,,,40,,,,40,,73,37,58,44,7060,0,
Ratios,Working Capital Days,-220,,,,-30,,,,-119,,,,-0,,26,-1,12,24,692,-385,
Ratios,ROCE %,-11%,,,,-16%,,,,-12%,,,,-3%,,-2%,3%,2%,14%,11%,3%,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,50.34%,50.38%,50.34%,50.34%,50.34%,50.34%,49.99%,49.96%,49.95%,49.91%,49.89%,,,,,,,,49.84%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.38%,0.38%,0.38%,,,,,,,,0.38%
Shareholding Pattern (Quarterly),Public,,,49.64%,49.62%,49.64%,49.65%,49.65%,49.65%,50.00%,50.04%,49.65%,49.70%,49.71%,,,,,,,,49.77%
Shareholding Pattern (Quarterly),No. of Shareholders,,,100222,93923,89964,85553,81022,76677,72619,69667,64677,62479,61145,,,,,,,,60361
