Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,210,196,245,233,272,235,201,214,217,199,275,281,343,,
Quarterly Results,Expenses,186,176,216,212,231,219,188,198,200,195,245,246,301,,
Quarterly Results,Operating Profit,24,20,29,20,41,16,13,17,17,4,30,35,41,,
Quarterly Results,OPM %,11%,10%,12%,9%,15%,7%,6%,8%,8%,2%,11%,12%,12%,,
Quarterly Results,Other Income,3,7,6,1,4,5,5,2,3,4,4,10,3,,
Quarterly Results,Interest,8,7,10,9,10,6,3,4,4,4,4,5,4,,
Quarterly Results,Depreciation,5,5,5,5,5,5,6,6,6,7,7,7,8,,
Quarterly Results,Profit before tax,14,14,20,8,30,10,9,9,10,-2,23,33,33,,
Quarterly Results,Tax %,24%,36%,27%,27%,25%,32%,15%,27%,29%,14%,25%,27%,25%,,
Quarterly Results,Net Profit,11,9,15,6,23,7,7,7,7,-2,17,24,24,,
Quarterly Results,EPS in Rs,667.50,1.66,2.64,1.01,3.92,1.08,1.11,1.00,1.07,-0.35,2.65,3.63,3.67,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,841,,,,945,,,,867,,,,1098,642,690
Profit & Loss,Expenses,743,,,,832,,,,805,,,,983,577,624
Profit & Loss,Operating Profit,98,,,,113,,,,63,,,,115,64,66
Profit & Loss,OPM %,12%,,,,12%,,,,7%,,,,10%,10%,10%
Profit & Loss,Other Income,31,,,,14,,,,15,,,,17,11,5
Profit & Loss,Interest,25,,,,35,,,,16,,,,17,45,27
Profit & Loss,Depreciation,18,,,,20,,,,23,,,,29,16,16
Profit & Loss,Profit before tax,86,,,,73,,,,38,,,,87,15,29
Profit & Loss,Tax %,21%,,,,28%,,,,26%,,,,27%,19%,20%
Profit & Loss,Net Profit,67,,,,52,,,,28,,,,63,12,23
Profit & Loss,EPS in Rs,3958.05,,,,9.06,,,,4.26,,,,9.59,754.25,1345.65
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,2,,,,12,,,,13,,,,13,2,2
Balance Sheet,Reserves,87,,,,525,,,,534,,,,598,45,58
Balance Sheet,Borrowings,318,,,,342,,,,209,,,,180,274,316
Balance Sheet,Other Liabilities,183,,,,310,,,,173,,,,248,129,136
Balance Sheet,Total Liabilities,589,,,,1189,,,,929,,,,1040,450,512
Balance Sheet,Fixed Assets,114,,,,128,,,,147,,,,185,99,104
Balance Sheet,CWIP,2,,,,15,,,,20,,,,10,3,0
Balance Sheet,Investments,0,,,,0,,,,75,,,,35,2,0
Balance Sheet,Other Assets,473,,,,1046,,,,687,,,,810,346,408
Balance Sheet,Total Assets,589,,,,1189,,,,929,,,,1040,450,512
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16,,,,-13,,,,17,,,,25,66,6
Cash Flows,Cash from Investing Activity,-18,,,,-25,,,,-146,,,,54,-19,-27
Cash Flows,Cash from Financing Activity,-21,,,,452,,,,-251,,,,-52,-42,28
Cash Flows,Net Cash Flow,-24,,,,414,,,,-380,,,,27,4,7
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,77,,,,80,,,,79,,,,105,65,96
Ratios,Inventory Days,153,,,,194,,,,209,,,,175,138,117
Ratios,Days Payable,78,,,,87,,,,64,,,,98,121,102
Ratios,Cash Conversion Cycle,152,,,,187,,,,223,,,,182,82,111
Ratios,Working Capital Days,116,,,,113,,,,154,,,,160,70,99
Ratios,ROCE %,24%,,,,17%,,,,6%,,,,13%,,18%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,70.75%,51.24%,51.09%,50.98%,50.91%,50.88%,50.69%,50.58%,50.57%,,
Shareholding Pattern (Quarterly),FIIs,,,,,0.00%,12.47%,9.23%,5.70%,2.43%,2.56%,2.97%,5.39%,7.13%,,
Shareholding Pattern (Quarterly),DIIs,,,,,0.00%,16.58%,16.28%,17.07%,22.47%,23.19%,23.75%,20.87%,17.32%,,
Shareholding Pattern (Quarterly),Public,,,,,29.25%,19.71%,23.39%,26.27%,24.19%,23.38%,22.59%,23.16%,24.99%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,19,27612,55329,71388,70431,65296,57388,59703,63007,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,70.75%,,,,50.91%,,,,50.57%,,
Shareholding Pattern (Yearly),FIIs,,,,,0.00%,,,,2.43%,,,,7.13%,,
Shareholding Pattern (Yearly),DIIs,,,,,0.00%,,,,22.47%,,,,17.32%,,
Shareholding Pattern (Yearly),Public,,,,,29.25%,,,,24.19%,,,,24.99%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,19,,,,70431,,,,63007,,
,,,,,,,,,,,,,,,,
