Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,73.72%,69.88%,68.14%,67.59%,67.59%,61.19%,61.19%,53.43%,53.23%,53.23%,53.23%,53.23%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.54%,0.54%,0.56%,0.57%,9.42%,10.23%,12.86%,13.75%,16.64%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.09%,0.11%,0.13%,4.60%,6.64%,7.49%,8.23%,8.74%,8.73%,9.87%,,,,,,
Shareholding Pattern (Quarterly),Public,26.28%,30.12%,31.77%,31.74%,31.73%,33.65%,31.60%,29.66%,28.31%,25.17%,24.27%,20.25%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,3338,5020,6588,6596,7093,9376,10502,11038,12063,23559,26537,26552,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,67.59%,,,,53.43%,,,,53.23%,55.93%,55.93%,55.93%,56.81%,73.30%,73.68%
Shareholding Pattern (Yearly),FIIs,,,,0.54%,,,,9.42%,,,,16.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,0.11%,,,,7.49%,,,,9.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,31.74%,,,,29.66%,,,,20.25%,44.07%,44.07%,44.07%,43.19%,26.70%,26.32%
Shareholding Pattern (Yearly),No. of Shareholders,,,,6596,,,,11038,,,,26552,44,56,58,70,282,3685
,,,,,,,,,,,,,,,,,,,
