Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,396.62,384.46,347.10,329.60,319.53,333.35,331.39,373.89,347.19,403.52,377.67,360.62,,,,,,,,
Quarterly Results,Expenses,367.03,362.36,324.32,308.80,305.52,312.05,305.94,333.71,317.74,370.46,348.75,333.92,,,,,,,,
Quarterly Results,Operating Profit,29.59,22.10,22.78,20.80,14.01,21.30,25.45,40.18,29.45,33.06,28.92,26.70,,,,,,,,
Quarterly Results,OPM %,7.46%,5.75%,6.56%,6.31%,4.38%,6.39%,7.68%,10.75%,8.48%,8.19%,7.66%,7.40%,,,,,,,,
Quarterly Results,Other Income,2.20,1.89,1.98,1.80,-8.79,-4.05,-0.24,13.39,0.77,1.52,1.42,2.30,,,,,,,,
Quarterly Results,Interest,8.85,8.63,9.00,9.51,8.94,10.74,11.86,10.49,11.72,12.67,9.82,8.56,,,,,,,,
Quarterly Results,Depreciation,14.48,14.93,14.94,12.17,14.11,14.20,14.85,14.75,14.95,15.87,15.31,15.88,,,,,,,,
Quarterly Results,Profit before tax,8.46,0.43,0.82,0.92,-17.83,-7.69,-1.50,28.33,3.55,6.04,5.21,4.56,,,,,,,,
Quarterly Results,Tax %,35.22%,41.86%,34.15%,2.17%,-35.73%,-35.76%,-38.67%,31.70%,36.06%,34.77%,34.74%,55.70%,,,,,,,,
Quarterly Results,Net Profit,5.48,0.25,0.54,0.90,-11.46,-4.94,-0.92,19.35,2.27,3.94,3.40,2.02,,,,,,,,
Quarterly Results,EPS in Rs,1.09,0.05,0.11,0.18,-2.27,-0.98,-0.18,3.82,0.45,0.78,0.58,0.35,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1458,,,,1358,,,,1489,268,278,,,,,,
Profit & Loss,Expenses,,,,1361,,,,1257,,,,1371,254,270,,,,,,
Profit & Loss,Operating Profit,,,,96,,,,101,,,,118,14,9,,,,,,
Profit & Loss,OPM %,,,,7%,,,,7%,,,,8%,5%,3%,,,,,,
Profit & Loss,Other Income,,,,7,,,,0,,,,6,-55,10,,,,,,
Profit & Loss,Interest,,,,36,,,,42,,,,43,9,10,,,,,,
Profit & Loss,Depreciation,,,,57,,,,58,,,,62,10,11,,,,,,
Profit & Loss,Profit before tax,,,,11,,,,1,,,,19,-60,-3,,,,,,
Profit & Loss,Tax %,,,,33%,,,,-55%,,,,40%,0%,4%,,,,,,
Profit & Loss,Net Profit,,,,7,,,,2,,,,12,-60,-3,,,,,,
Profit & Loss,EPS in Rs,,,,1.42,,,,0.40,,,,1.99,,-1.23,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,50,,,,51,,,,58,95,24,,,,,,
Balance Sheet,Reserves,,,,370,,,,373,,,,519,-40,28,,,,,,
Balance Sheet,Borrowings,,,,276,,,,324,,,,202,97,100,,,,,,
Balance Sheet,Other Liabilities,,,,224,,,,277,,,,252,38,57,,,,,,
Balance Sheet,Total Liabilities,,,,920,,,,1025,,,,1031,189,208,,,,,,
Balance Sheet,Fixed Assets,,,,448,,,,480,,,,482,105,107,,,,,,
Balance Sheet,CWIP,,,,31,,,,20,,,,11,1,1,,,,,,
Balance Sheet,Investments,,,,0,,,,0,,,,0,23,22,,,,,,
Balance Sheet,Other Assets,,,,441,,,,524,,,,538,59,78,,,,,,
Balance Sheet,Total Assets,,,,920,,,,1025,,,,1031,189,208,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,118,,,,64,,,,108,14,13,,,,,,
Cash Flows,Cash from Investing Activity,,,,-74,,,,-55,,,,-69,-8,-11,,,,,,
