Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,18862,15888,20803,21755,23625,23280,26023,29038,32041,31480,33704,32042,36595,,,,,,,,
Quarterly Results,Expenses,12769,9573,13416,13924,15470,13935,16073,18601,21108,19655,21420,19669,23868,,,,,,,,
Quarterly Results,Operating Profit,6093,6315,7387,7831,8154,9345,9950,10438,10933,11825,12283,12373,12728,,,,,,,,
Quarterly Results,OPM %,32%,40%,36%,36%,35%,40%,38%,36%,34%,38%,36%,39%,35%,,,,,,,,
Quarterly Results,Other Income,0,0,0,0,2,3,0,2,4,3,3,3,10,,,,,,,,
Quarterly Results,Interest,2481,2564,2961,3241,3436,4020,4449,4777,5154,5592,6046,6276,6396,,,,,,,,
Quarterly Results,Depreciation,149,157,168,172,181,202,209,232,257,267,275,288,339,,,,,,,,
Quarterly Results,Profit before tax,3462,3594,4258,4419,4540,5125,5292,5431,5527,5968,5966,5812,6002,,,,,,,,
Quarterly Results,Tax %,27%,28%,30%,25%,27%,28%,29%,26%,26%,29%,30%,24%,21%,,,,,,,,
Quarterly Results,Net Profit,2534,2578,2997,3300,3335,3709,3756,4045,4085,4209,4180,4412,4756,,,,,,,,
Quarterly Results,EPS in Rs,8.46,8.23,9.77,11.19,11.11,12.20,12.09,13.52,13.28,13.39,13.07,13.97,15.14,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,68406,,,,82072,,,,110382,,,,133822,6023,11335,20533,24507,32862,42605,54351,60592
Profit & Loss,Expenses,46951,,,,52204,,,,69497,,,,84298,1531,5823,13795,15794,22074,27569,36094,40950
Profit & Loss,Operating Profit,21455,,,,29868,,,,40886,,,,49524,4491,5511,6739,8713,10788,15037,18258,19641
Profit & Loss,OPM %,31%,,,,36%,,,,37%,,,,37%,75%,49%,33%,36%,33%,35%,34%,32%
Profit & Loss,Other Income,8,,,,1,,,,-4,,,,-18,3,8,0,0,1,2,0,-7
Profit & Loss,Interest,9629,,,,12380,,,,18607,,,,24587,1562,2230,2877,3716,4531,6657,9500,9274
Profit & Loss,Depreciation,563,,,,678,,,,900,,,,1170,31,38,58,73,160,226,457,498
