Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014,Feb 2016
Quarterly Results,Sales,1622,1530,1323,1431,2054,1360,1133,1741,1870,1386,1160,1476,1554,,,,,,,,,,
Quarterly Results,Expenses,1467,1497,1406,1343,1829,1338,1189,1630,1701,1358,1159,1500,1268,,,,,,,,,,
Quarterly Results,Operating Profit,154,33,-83,88,225,22,-55,111,170,28,1,-24,286,,,,,,,,,,
Quarterly Results,OPM %,10%,2%,-6%,6%,11%,2%,-5%,6%,9%,2%,0%,-2%,18%,,,,,,,,,,
Quarterly Results,Other Income,13,8,7,3,5,3,30,4,4,-6,3,0,11,,,,,,,,,,
Quarterly Results,Interest,59,33,32,95,50,45,42,39,37,29,26,24,24,,,,,,,,,,
Quarterly Results,Depreciation,53,53,54,54,53,55,56,56,55,54,54,54,53,,,,,,,,,,
Quarterly Results,Profit before tax,56,-45,-162,-58,127,-75,-123,20,82,-62,-76,-102,220,,,,,,,,,,
Quarterly Results,Tax %,-7%,0%,0%,0%,-3%,-0%,-0%,-0%,-10%,9%,-0%,-0%,-0%,,,,,,,,,,
Quarterly Results,Net Profit,60,-45,-162,-58,131,-75,-123,20,91,-67,-76,-102,220,,,,,,,,,,
Quarterly Results,EPS in Rs,0.47,-0.35,-1.27,-0.46,1.02,-0.58,-0.96,0.16,0.71,-0.52,-0.59,-0.80,1.72,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5576,,,,6338,,,,6104,,,,5575,6645,4535,4690,4399,5847,6806,6669,6666,,
Profit & Loss,Expenses,5403,,,,6075,,,,5855,,,,5285,6742,4704,3906,3548,5575,6510,6216,6503,,
Profit & Loss,Operating Profit,172,,,,263,,,,249,,,,290,-97,-168,785,851,272,297,454,163,,
Profit & Loss,OPM %,3%,,,,4%,,,,4%,,,,5%,-1%,-4%,17%,19%,5%,4%,7%,2%,,
Profit & Loss,Other Income,25,,,,22,,,,40,,,,9,96,124,90,96,101,96,11,22,,
Profit & Loss,Interest,254,,,,210,,,,162,,,,103,1129,889,848,802,680,322,301,264,,
Profit & Loss,Depreciation,215,,,,213,,,,222,,,,216,556,258,242,243,197,204,216,216,,
Profit & Loss,Profit before tax,-272,,,,-138,,,,-95,,,,-20,-1686,-1191,-216,-98,-505,-134,-52,-294,,
Profit & Loss,Tax %,-1%,,,,-2%,,,,-9%,,,,24%,1%,0%,-2%,-6%,-1%,2%,-5%,-1%,,
Profit & Loss,Net Profit,-268,,,,-135,,,,-87,,,,-25,-1626,-1192,-212,-92,-500,-137,-50,-291,,
Profit & Loss,EPS in Rs,-2.09,,,,-1.05,,,,-0.68,,,,-0.18,-25.41,-14.72,-1.90,-0.81,-4.41,-1.20,-0.44,-2.57,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,124,,,,124,,,,124,,,,124,,81,108,110,110,110,110,110,64,
Balance Sheet,Reserves,2135,,,,4300,,,,4351,,,,4097,,1439,3470,3355,2832,2682,2587,2262,2305,
Balance Sheet,Borrowings,4817,,,,4303,,,,3840,,,,3575,,7285,6914,7010,6796,6026,5493,5409,6275,
Balance Sheet,Other Liabilities,5974,,,,7212,,,,7591,,,,7488,,3001,3095,3861,4312,4987,5358,5354,3707,
Balance Sheet,Total Liabilities,13050,,,,15939,,,,15906,,,,15284,,11806,13588,14337,14049,13806,13548,13136,12350,
Balance Sheet,Fixed Assets,6805,,,,7800,,,,7582,,,,7326,,4944,7974,7736,7543,7397,7194,6993,5059,
Balance Sheet,CWIP,8,,,,5,,,,8,,,,13,,18,29,46,75,26,53,35,17,
Balance Sheet,Investments,1918,,,,4480,,,,4596,,,,4269,,2451,1302,1278,1225,1191,1136,1085,2334,
Balance Sheet,Other Assets,4318,,,,3654,,,,3720,,,,3677,,4393,4283,5277,5206,5192,5165,5022,4940,
Balance Sheet,Total Assets,13050,,,,15939,,,,15906,,,,15284,,11806,13588,14337,14049,13806,13548,13136,12350,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,619,,,,792,,,,644,,,,280,,-365,379,700,953,1118,910,332,1063,
Cash Flows,Cash from Investing Activity,13,,,,12,,,,-0,,,,20,,-179,-2,-14,-29,-4,-21,22,-4185,
Cash Flows,Cash from Financing Activity,-654,,,,-833,,,,-615,,,,-281,,476,-386,-707,-918,-1098,-839,-384,2741,
Cash Flows,Net Cash Flow,-22,,,,-29,,,,29,,,,19,,-68,-9,-20,6,16,50,-30,-380,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,14,,,,8,,,,9,,,,7,,13,22,12,11,11,9,12,12,
Ratios,Inventory Days,228,,,,184,,,,204,,,,223,,192,206,366,212,175,182,169,170,
Ratios,Days Payable,340,,,,321,,,,272,,,,295,,246,235,339,251,264,299,297,179,
Ratios,Cash Conversion Cycle,-98,,,,-129,,,,-59,,,,-65,,-41,-7,39,-29,-78,-107,-116,3,
Ratios,Working Capital Days,-81,,,,-134,,,,-156,,,,-177,,79,62,37,32,-3,-11,-5,17,
Ratios,ROCE %,-0%,,,,1%,,,,1%,,,,1%,,-4%,7%,7%,2%,2%,3%,-0%,-5%,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,24.95%,24.96%,24.96%,24.96%,24.96%,24.96%,24.96%,24.96%,24.96%,24.96%,24.96%,24.96%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.38%,1.59%,1.60%,1.69%,1.60%,1.64%,1.80%,2.57%,2.63%,4.32%,3.41%,2.61%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,19.05%,15.64%,15.27%,15.27%,15.26%,12.41%,9.45%,8.60%,8.43%,8.14%,8.08%,8.10%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,54.48%,57.67%,58.03%,57.94%,58.05%,60.87%,63.67%,63.73%,63.84%,62.46%,63.42%,64.20%,,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,0.14%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,422114,448507,464064,460799,451099,512155,556650,635448,673585,745336,788743,801056,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,24.95%,,,,24.96%,,,,24.96%,,,,24.96%,,,,26.02%,15.43%,15.43%,15.43%,15.43%,,26.41%
Shareholding Pattern (Yearly),FIIs,1.20%,,,,1.69%,,,,2.57%,,,,2.61%,,,,3.86%,4.31%,3.82%,2.25%,0.14%,,0.00%
Shareholding Pattern (Yearly),DIIs,21.54%,,,,15.27%,,,,8.60%,,,,8.10%,,,,39.65%,45.26%,44.10%,43.93%,39.90%,,51.23%
Shareholding Pattern (Yearly),Public,52.17%,,,,57.94%,,,,63.73%,,,,64.20%,,,,30.32%,34.83%,36.49%,38.23%,44.36%,,22.21%
Shareholding Pattern (Yearly),Others,0.14%,,,,0.14%,,,,0.14%,,,,0.14%,,,,0.16%,0.16%,0.16%,0.16%,0.16%,,0.16%
Shareholding Pattern (Yearly),No. of Shareholders,407209,,,,460799,,,,635448,,,,801056,,,,145250,145954,151742,171542,203754,,141358
,,,,,,,,,,,,,,,,,,,,,,,,
