Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2374,2619,2658,2166,2317,2159,2253,2274,2682,2714,2420,2560,2752,,,,,,,,
Quarterly Results,Expenses,1871,2175,2231,1896,1837,1658,1720,1734,2001,2051,1840,1960,2139,,,,,,,,
Quarterly Results,Operating Profit,503,444,426,269,480,501,533,541,681,664,580,601,614,,,,,,,,
Quarterly Results,OPM %,21%,17%,16%,12%,21%,23%,24%,24%,25%,24%,24%,23%,22%,,,,,,,,
Quarterly Results,Other Income,109,106,227,45,57,106,107,66,171,162,90,187,99,,,,,,,,
Quarterly Results,Interest,3,3,5,14,26,22,24,36,31,22,41,16,50,,,,,,,,
Quarterly Results,Depreciation,120,129,137,149,156,155,160,161,174,163,166,173,178,,,,,,,,
Quarterly Results,Profit before tax,490,417,511,151,355,430,456,409,647,640,463,600,485,,,,,,,,
Quarterly Results,Tax %,24%,26%,25%,28%,27%,23%,24%,25%,25%,23%,25%,25%,24%,,,,,,,,
Quarterly Results,Net Profit,375,307,382,108,260,332,347,305,487,490,347,449,369,,,,,,,,
Quarterly Results,EPS in Rs,19.39,15.88,19.77,5.61,13.44,17.17,17.97,15.80,25.18,25.35,17.95,23.25,19.06,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8295,,,,9760,,,,9369,,,,10447,3768,3813,3237,3723,4444,5210,4811,5783
Profit & Loss,Expenses,6286,,,,8047,,,,7113,,,,7989,2878,3086,2371,2592,3341,3904,3537,3972
Profit & Loss,Operating Profit,2009,,,,1712,,,,2256,,,,2458,890,727,866,1131,1103,1306,1274,1811
Profit & Loss,OPM %,24%,,,,18%,,,,24%,,,,24%,24%,19%,27%,30%,25%,25%,26%,31%
Profit & Loss,Other Income,438,,,,342,,,,449,,,,539,14,277,131,254,340,215,250,171
Profit & Loss,Interest,9,,,,48,,,,113,,,,128,27,48,40,22,15,12,11,12
Profit & Loss,Depreciation,455,,,,571,,,,651,,,,681,170,244,282,304,311,333,374,416
Profit & Loss,Profit before tax,1982,,,,1435,,,,1941,,,,2187,706,713,674,1059,1116,1177,1140,1555
Profit & Loss,Tax %,28%,,,,26%,,,,24%,,,,24%,33%,34%,34%,32%,34%,34%,16%,24%
Profit & Loss,Net Profit,1435,,,,1057,,,,1471,,,,1655,475,473,446,717,736,774,960,1178
Profit & Loss,EPS in Rs,74.25,,,,54.70,,,,76.12,,,,85.61,24.55,24.45,23.06,37.08,38.06,40.02,49.64,60.91
Profit & Loss,Dividend Payout %,38%,,,,29%,,,,21%,,,,19%,4%,5%,12%,11%,21%,20%,40%,28%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,39,,,,39,,,,39,,,,39,19,19,19,19,39,39,39,39
Balance Sheet,Reserves,6894,,,,7518,,,,8815,,,,10349,1876,2257,2756,3524,4045,4615,4970,5961
Balance Sheet,Borrowings,2529,,,,3347,,,,3099,,,,3267,2439,2358,1898,1391,867,871,932,1001
Balance Sheet,Other Liabilities,1517,,,,1444,,,,1731,,,,1980,688,685,725,855,927,954,866,1166
Balance Sheet,Total Liabilities,10979,,,,12348,,,,13685,,,,15635,5021,5318,5398,5789,5878,6479,6806,8166
Balance Sheet,Fixed Assets,4019,,,,5384,,,,6317,,,,6941,2389,2415,2859,2849,2849,2786,3308,3370
Balance Sheet,CWIP,1258,,,,1392,,,,944,,,,986,565,634,231,110,119,600,587,856
Balance Sheet,Investments,1897,,,,2037,,,,2686,,,,3264,370,444,836,1349,1103,1083,1062,1418
Balance Sheet,Other Assets,3805,,,,3535,,,,3737,,,,4443,1697,1825,1473,1481,1808,2010,1850,2523
Balance Sheet,Total Assets,10979,,,,12348,,,,13685,,,,15635,5021,5318,5398,5789,5878,6479,6806,8166
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,908,,,,1448,,,,2083,,,,1764,602,984,1072,847,750,820,1173,1339
Cash Flows,Cash from Investing Activity,-1897,,,,-1783,,,,-1475,,,,-1479,-1230,-435,-552,-563,-92,-636,-678,-1173
Cash Flows,Cash from Financing Activity,980,,,,359,,,,-602,,,,-279,365,-130,-625,-589,-654,-165,-495,-158
Cash Flows,Net Cash Flow,-9,,,,23,,,,5,,,,6,-263,419,-105,-306,4,20,1,8
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,42,,,,56,,,,52,59,56,43,40,39,36,45,48
Ratios,Inventory Days,162,,,,124,,,,108,,,,129,114,76,102,110,105,113,105,148
