Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,56.84,55.17,59.86,57.02,59.96,57.17,60.15,59.76,67.87,59.65,68.49,64.79,75.42,,,,,,,,
Quarterly Results,Expenses,52.64,50.79,55.74,53.61,54.08,51.89,54.36,54.77,63.43,54.00,62.00,58.99,70.66,,,,,,,,
Quarterly Results,Operating Profit,4.20,4.38,4.12,3.41,5.88,5.28,5.79,4.99,4.44,5.65,6.49,5.80,4.76,,,,,,,,
Quarterly Results,OPM %,7.39%,7.94%,6.88%,5.98%,9.81%,9.24%,9.63%,8.35%,6.54%,9.47%,9.48%,8.95%,6.31%,,,,,,,,
Quarterly Results,Other Income,0.92,0.26,0.68,2.95,0.07,0.23,1.12,0.77,1.49,0.13,0.44,0.31,0.35,,,,,,,,
Quarterly Results,Interest,1.14,1.00,1.02,1.13,0.98,1.05,1.16,1.02,1.28,0.97,0.95,0.94,0.76,,,,,,,,
Quarterly Results,Depreciation,1.73,1.60,1.94,1.33,1.36,1.39,1.49,2.32,2.03,1.89,1.98,1.84,1.92,,,,,,,,
Quarterly Results,Profit before tax,2.25,2.04,1.84,3.90,3.61,3.07,4.26,2.42,2.62,2.92,4.00,3.33,2.43,,,,,,,,
Quarterly Results,Tax %,24.00%,26.96%,44.02%,29.49%,10.25%,21.50%,28.17%,25.21%,63.74%,21.92%,21.00%,24.32%,23.05%,,,,,,,,
Quarterly Results,Net Profit,1.71,1.49,1.03,2.75,3.24,2.41,3.06,1.81,0.95,2.28,3.16,2.52,1.87,,,,,,,,
Quarterly Results,EPS in Rs,0.46,0.40,0.27,0.73,0.86,0.61,0.78,0.46,0.24,0.58,0.80,0.64,0.47,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,186,,,,232,,,,245,,,,268,54,140,159,190,168,193,161,132
Profit & Loss,Expenses,173,,,,214,,,,224,,,,246,52,133,147,172,162,184,148,121
Profit & Loss,Operating Profit,13,,,,18,,,,21,,,,23,1,7,12,18,6,9,12,11
Profit & Loss,OPM %,7%,,,,8%,,,,9%,,,,8%,3%,5%,8%,10%,4%,5%,8%,8%
Profit & Loss,Other Income,2,,,,4,,,,4,,,,1,4,1,2,2,4,1,2,1
Profit & Loss,Interest,5,,,,5,,,,5,,,,4,0,5,6,6,6,6,7,5
Profit & Loss,Depreciation,6,,,,6,,,,7,,,,8,1,4,4,5,4,4,6,6
Profit & Loss,Profit before tax,4,,,,11,,,,12,,,,13,5,-0,5,10,0,-1,1,0
Profit & Loss,Tax %,28%,,,,25%,,,,34%,,,,22%,33%,100%,37%,43%,-171%,41%,35%,221%
Profit & Loss,Net Profit,3,,,,8,,,,8,,,,10,3,-0,3,6,0,-1,1,-0
Profit & Loss,EPS in Rs,0.75,,,,2.27,,,,2.09,,,,2.49,,-0.03,0.85,1.49,0.10,-0.20,0.22,-0.11
Profit & Loss,Dividend Payout %,13%,,,,4%,,,,5%,,,,4%,0%,-468%,18%,13%,177%,-90%,34%,-70%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,7,,,,8,,,,8,4,5,5,5,6,6,6,6
Balance Sheet,Reserves,43,,,,51,,,,63,,,,73,16,28,31,37,36,35,35,34
Balance Sheet,Borrowings,28,,,,36,,,,33,,,,29,3,36,37,35,41,41,42,38
Balance Sheet,Other Liabilities,49,,,,52,,,,57,,,,65,17,34,43,45,43,47,43,46
Balance Sheet,Total Liabilities,128,,,,147,,,,161,,,,175,40,103,115,122,125,128,125,124
Balance Sheet,Fixed Assets,51,,,,50,,,,64,,,,67,10,46,53,56,54,55,59,56
Balance Sheet,CWIP,0,,,,9,,,,2,,,,0,1,3,2,1,3,2,1,1
Balance Sheet,Investments,1,,,,1,,,,1,,,,1,0,0,0,0,0,1,1,0
Balance Sheet,Other Assets,76,,,,87,,,,94,,,,106,29,54,60,65,68,70,64,67
Balance Sheet,Total Assets,128,,,,147,,,,161,,,,175,40,103,115,122,125,128,125,124
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,9,,,,15,,,,15,,,,19,3,1,14,12,-0,13,12,12
Cash Flows,Cash from Investing Activity,-1,,,,-13,,,,-13,,,,-10,-4,-4,-11,-4,-2,-5,-2,-2
Cash Flows,Cash from Financing Activity,-7,,,,-1,,,,-6,,,,-7,2,1,-3,-7,1,-7,-12,-4
Cash Flows,Net Cash Flow,0,,,,1,,,,-4,,,,3,2,-2,-0,0,-0,2,-2,6
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,69,,,,61,,,,61,,,,72,80,69,66,70,82,73,75,88
Ratios,Inventory Days,56,,,,54,,,,53,,,,46,31,43,39,34,44,38,56,87
Ratios,Days Payable,98,,,,84,,,,98,,,,86,112,92,109,94,102,97,123,163
Ratios,Cash Conversion Cycle,27,,,,31,,,,16,,,,31,-1,20,-5,10,24,14,8,12
Ratios,Working Capital Days,39,,,,37,,,,42,,,,42,20,29,22,26,40,27,23,37
Ratios,ROCE %,11%,,,,18%,,,,17%,,,,15%,24%,,15%,21%,4%,7%,9%,7%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,53.79%,53.79%,53.79%,53.79%,56.10%,56.10%,56.10%,56.10%,56.10%,56.10%,54.54%,54.54%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.29%,0.29%,0.29%,0.29%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,0.27%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,45.86%,45.85%,45.85%,45.85%,43.56%,43.56%,43.56%,43.56%,43.57%,43.56%,45.10%,45.13%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,9666,10998,10789,10540,12318,11905,12834,14047,14389,15527,16937,16802,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.99%,,,,53.79%,,,,56.10%,,,,54.54%,,,,74.97%,74.97%,74.86%,67.58%,61.33%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.14%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.06%,,,,0.06%,,,,0.06%,,,,0.06%,,,,0.38%,0.09%,0.09%,0.09%,0.09%
Shareholding Pattern (Yearly),Government,0.29%,,,,0.29%,,,,0.27%,,,,0.27%,,,,0.00%,0.38%,0.38%,0.38%,0.38%
Shareholding Pattern (Yearly),Public,46.66%,,,,45.85%,,,,43.56%,,,,45.13%,,,,24.51%,24.56%,24.67%,31.95%,38.20%
Shareholding Pattern (Yearly),No. of Shareholders,9592,,,,10540,,,,14047,,,,16802,,,,4310,4909,5041,5226,5442
,,,,,,,,,,,,,,,,,,,,,,
