Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,6340,3141,3962,4153,6479,3533,4009,4162,8564,4244,4605,5771,9150,,,,,,,,
Quarterly Results,Expenses,4762,2618,3093,3290,4647,2860,2995,3090,6277,3295,3205,4101,6334,,,,,,,,
Quarterly Results,Operating Profit,1578,522,868,863,1832,673,1014,1072,2287,948,1400,1669,2816,,,,,,,,
Quarterly Results,OPM %,25%,17%,22%,21%,28%,19%,25%,26%,27%,22%,30%,29%,31%,,,,,,,,
Quarterly Results,Other Income,64,82,74,59,66,140,137,167,225,204,158,186,195,,,,,,,,
Quarterly Results,Interest,4,1,2,10,2,1,2,1,4,1,1,1,6,,,,,,,,
Quarterly Results,Depreciation,106,99,109,106,114,109,108,107,119,108,111,111,138,,,,,,,,
Quarterly Results,Profit before tax,1531,504,831,806,1782,703,1041,1132,2390,1043,1445,1744,2867,,,,,,,,
Quarterly Results,Tax %,25%,29%,26%,25%,23%,25%,25%,25%,25%,25%,25%,25%,26%,,,,,,,,
Quarterly Results,Net Profit,1155,366,624,614,1382,539,790,860,1797,791,1093,1312,2127,,,,,,,,
Quarterly Results,EPS in Rs,1.58,0.50,0.85,0.84,1.89,0.74,1.08,1.18,2.46,1.08,1.49,1.79,2.91,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,15368,,,,17734,,,,20268,,,,23769,6518,7093,7354,8656,10401,12164,12968,14109
Profit & Loss,Expenses,12024,,,,13645,,,,15217,,,,16935,5593,5913,5961,6864,8361,9255,10209,10895
Profit & Loss,Operating Profit,3344,,,,4090,,,,5051,,,,6834,925,1179,1393,1792,2039,2909,2759,3214
Profit & Loss,OPM %,22%,,,,23%,,,,25%,,,,29%,14%,17%,19%,21%,20%,24%,21%,23%
Profit & Loss,Other Income,232,,,,281,,,,670,,,,742,438,507,573,420,196,73,99,125
Profit & Loss,Interest,9,,,,19,,,,12,,,,10,7,7,10,18,6,16,8,10
Profit & Loss,Depreciation,401,,,,429,,,,443,,,,467,150,166,192,212,272,338,372,387
Profit & Loss,Profit before tax,3166,,,,3923,,,,5266,,,,7099,1206,1513,1764,1983,1957,2628,2478,2942
Profit & Loss,Tax %,26%,,,,25%,,,,25%,,,,26%,21%,21%,24%,24%,28%,30%,28%,30%
Profit & Loss,Net Profit,2400,,,,2986,,,,3985,,,,5323,952,1197,1337,1523,1431,1887,1825,2100
Profit & Loss,EPS in Rs,3.28,,,,4.08,,,,5.45,,,,7.28,1.20,1.51,1.69,2.07,1.96,2.58,2.50,2.87
Profit & Loss,Dividend Payout %,46%,,,,44%,,,,40%,,,,33%,20%,20%,31%,33%,34%,44%,37%,46%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,244,,,,731,,,,731,,,,731,80,80,240,223,244,244,244,244
Balance Sheet,Reserves,12042,,,,13131,,,,15595,,,,19243,7140,8037,9006,7512,7772,8968,9828,10816
Balance Sheet,Borrowings,53,,,,61,,,,63,,,,61,0,25,28,64,80,34,8,3
Balance Sheet,Other Liabilities,21574,,,,21567,,,,23136,,,,20797,7760,7587,9330,9800,10868,11575,14271,18430
Balance Sheet,Total Liabilities,33912,,,,35490,,,,39524,,,,40832,14980,15729,18605,17600,18965,20821,24351,29492
Balance Sheet,Fixed Assets,2675,,,,2963,,,,3035,,,,3994,695,1073,1232,1501,1839,2298,2713,2652
Balance Sheet,CWIP,1006,,,,855,,,,894,,,,477,458,140,430,743,940,849,828,883
Balance Sheet,Investments,1572,,,,650,,,,682,,,,743,0,0,462,491,937,964,1110,1306
Balance Sheet,Other Assets,28659,,,,31022,,,,34913,,,,35618,13828,14516,16481,14865,15248,16710,19700,24651
Balance Sheet,Total Assets,33912,,,,35490,,,,39524,,,,40832,14980,15729,18605,17600,18965,20821,24351,29492
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,4207,,,,1199,,,,4659,,,,587,-569,1434,2260,-61,-687,1514,2570,5093
Cash Flows,Cash from Investing Activity,-4872,,,,2708,,,,-5924,,,,617,759,-839,-1470,3115,-6,-896,-649,-2595
Cash Flows,Cash from Financing Activity,-1078,,,,-1262,,,,-1475,,,,-1696,-213,-209,-318,-2857,-1202,-663,-1061,-1076
Cash Flows,Net Cash Flow,-1742,,,,2645,,,,-2739,,,,-493,-23,386,472,197,-1895,-45,861,1422
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,145,,,,145,,,,133,,,,140,233,196,185,184,176,161,189,170
Ratios,Inventory Days,230,,,,240,,,,257,,,,273,325,321,401,407,305,275,204,233
Ratios,Days Payable,139,,,,124,,,,128,,,,100,120,111,112,108,91,89,126,155
Ratios,Cash Conversion Cycle,237,,,,261,,,,262,,,,313,438,406,473,483,390,347,267,248
Ratios,Working Capital Days,4,,,,28,,,,18,,,,85,89,53,10,63,126,134,119,47
Ratios,ROCE %,27%,,,,30%,,,,35%,,,,39%,18%,20%,20%,23%,25%,30%,26%,28%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,51.14%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,15.99%,17.36%,17.34%,16.42%,17.35%,17.19%,17.77%,17.56%,17.43%,17.27%,17.34%,17.55%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,27.77%,25.63%,25.04%,25.50%,24.84%,24.19%,23.37%,22.63%,20.62%,20.22%,20.94%,20.87%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,5.11%,5.88%,6.47%,6.95%,6.68%,7.49%,7.72%,8.66%,10.82%,11.37%,10.58%,10.43%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,437097,579807,707098,780211,767820,974782,1098228,1364873,2518663,2772002,2653676,2678435,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.14%,,,,51.14%,,,,51.14%,,,,51.14%,,,,68.19%,66.79%,58.83%,51.14%,51.14%
Shareholding Pattern (Yearly),FIIs,16.77%,,,,16.42%,,,,17.56%,,,,17.55%,,,,6.65%,6.44%,7.49%,10.71%,11.58%
Shareholding Pattern (Yearly),DIIs,26.71%,,,,25.50%,,,,22.63%,,,,20.87%,,,,17.73%,17.85%,22.88%,30.21%,30.21%
Shareholding Pattern (Yearly),Public,5.38%,,,,6.95%,,,,8.66%,,,,10.43%,,,,7.43%,8.92%,10.80%,7.95%,7.07%
Shareholding Pattern (Yearly),No. of Shareholders,431034,,,,780211,,,,1364873,,,,2678435,,,,82161,216908,296899,286632,373893
,,,,,,,,,,,,,,,,,,,,,,
