Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,521.96,414.18,338.99,430.25,663.17,345.97,339.79,334.61,409.27,369.21,408.02,394.48,453.90,,,,,,,,
Quarterly Results,Expenses,513.73,408.30,333.56,421.55,648.48,339.81,331.92,326.29,400.86,362.44,399.96,383.65,442.54,,,,,,,,
Quarterly Results,Operating Profit,8.23,5.88,5.43,8.70,14.69,6.16,7.87,8.32,8.41,6.77,8.06,10.83,11.36,,,,,,,,
Quarterly Results,OPM %,1.58%,1.42%,1.60%,2.02%,2.22%,1.78%,2.32%,2.49%,2.05%,1.83%,1.98%,2.75%,2.50%,,,,,,,,
Quarterly Results,Other Income,0.27,0.04,0.15,0.11,0.63,42.98,0.24,0.46,1.49,0.53,2.55,0.90,1.66,,,,,,,,
Quarterly Results,Interest,3.84,3.54,2.90,3.34,5.44,3.41,3.35,3.73,2.93,3.31,4.05,4.60,4.97,,,,,,,,
Quarterly Results,Depreciation,1.57,1.43,1.43,1.48,1.58,1.48,1.48,1.52,2.15,1.61,1.69,1.75,2.01,,,,,,,,
Quarterly Results,Profit before tax,3.09,0.95,1.25,3.99,8.30,44.25,3.28,3.53,4.82,2.38,4.87,5.38,6.04,,,,,,,,
Quarterly Results,Tax %,31.07%,35.79%,36.00%,26.57%,30.00%,14.10%,23.48%,21.81%,49.38%,27.31%,23.41%,26.02%,24.17%,,,,,,,,
Quarterly Results,Net Profit,2.12,0.61,0.80,2.93,5.80,38.01,2.51,2.76,2.44,1.73,3.73,3.99,4.58,,,,,,,,
Quarterly Results,EPS in Rs,0.66,0.19,0.25,0.92,1.81,11.88,0.78,0.86,0.76,0.54,1.17,1.25,1.43,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1574,,,,1847,,,,1431,,,,1626,234,279,299,310,513,569,562,787
Profit & Loss,Expenses,1543,,,,1812,,,,1399,,,,1589,222,269,290,295,500,550,547,769
Profit & Loss,Operating Profit,30,,,,35,,,,32,,,,37,12,10,9,14,13,19,15,19
Profit & Loss,OPM %,2%,,,,2%,,,,2%,,,,2%,5%,3%,3%,5%,2%,3%,3%,2%
Profit & Loss,Other Income,1,,,,1,,,,44,,,,6,7,7,7,2,12,1,1,0
Profit & Loss,Interest,12,,,,15,,,,13,,,,17,8,8,8,6,4,8,10,8
Profit & Loss,Depreciation,6,,,,6,,,,7,,,,7,7,6,6,5,4,4,5,6
Profit & Loss,Profit before tax,13,,,,14,,,,56,,,,19,3,2,2,5,17,9,1,5
Profit & Loss,Tax %,17%,,,,30%,,,,18%,,,,25%,2%,-20%,-14%,-3%,24%,26%,12%,33%
Profit & Loss,Net Profit,11,,,,10,,,,46,,,,14,3,3,3,5,13,6,1,3
Profit & Loss,EPS in Rs,3.46,,,,3.17,,,,14.29,,,,4.38,0.50,0.54,0.39,1.68,3.97,1.98,0.33,1.09
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,61%,56%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,6,,,,6,,,,6,13,13,13,6,6,6,6,6
Balance Sheet,Reserves,131,,,,141,,,,187,,,,201,205,207,208,97,109,116,117,120
Balance Sheet,Borrowings,179,,,,220,,,,101,,,,275,110,123,102,76,46,114,66,155
Balance Sheet,Other Liabilities,35,,,,56,,,,39,,,,38,10,8,13,14,5,6,14,21
Balance Sheet,Total Liabilities,351,,,,424,,,,334,,,,521,338,351,336,193,166,241,203,302
Balance Sheet,Fixed Assets,77,,,,80,,,,77,,,,80,206,206,206,72,63,77,81,81
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,1,1,1,0,0,0,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,28,29,26,0,0,0,0,0
Balance Sheet,Other Assets,275,,,,344,,,,256,,,,440,104,115,104,121,103,164,122,221
Balance Sheet,Total Assets,351,,,,424,,,,334,,,,521,338,351,336,193,166,241,203,302
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-4,,,,-40,,,,96,,,,-144,33,-17,23,-14,28,-48,49,-76
Cash Flows,Cash from Investing Activity,-1,,,,3,,,,39,,,,-10,-24,-2,3,28,31,-17,-13,-2
Cash Flows,Cash from Financing Activity,14,,,,27,,,,-133,,,,155,-6,12,-27,-13,-49,54,-35,77
Cash Flows,Net Cash Flow,9,,,,-9,,,,3,,,,2,3,-7,-1,0,11,-11,1,-1
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,23,,,,24,,,,25,,,,33,53,42,38,43,25,24,31,41
Ratios,Inventory Days,26,,,,31,,,,23,,,,38,21,67,50,73,34,70,42,43
Ratios,Days Payable,6,,,,8,,,,6,,,,4,4,2,10,3,2,3,8,8
Ratios,Cash Conversion Cycle,42,,,,46,,,,42,,,,67,70,106,78,113,56,92,65,76
Ratios,Working Capital Days,53,,,,56,,,,57,,,,91,83,106,83,107,49,86,63,90
Ratios,ROCE %,8%,,,,9%,,,,8%,,,,9%,3%,3%,3%,6%,7%,8%,5%,6%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.91%,73.91%,73.91%,74.66%,74.71%,74.41%,73.76%,72.33%,71.65%,70.62%,70.53%,70.54%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.15%,0.00%,0.15%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.82%,0.82%,0.77%,0.49%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.81%,24.98%,24.99%,24.29%,24.52%,24.97%,25.95%,27.17%,27.92%,29.10%,29.05%,29.19%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,11725,11862,11519,11052,10750,13220,13521,15003,18238,22353,23650,23746,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.91%,,,,74.66%,,,,72.33%,,,,70.54%,,,,74.99%,72.96%,73.32%,73.88%,74.01%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.21%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.82%,,,,0.77%,,,,0.00%,,,,0.00%,,,,2.35%,0.85%,0.85%,0.86%,0.85%
Shareholding Pattern (Yearly),Government,0.28%,,,,0.28%,,,,0.28%,,,,0.28%,,,,0.28%,0.28%,0.28%,0.28%,0.28%
Shareholding Pattern (Yearly),Public,24.99%,,,,24.29%,,,,27.17%,,,,29.19%,,,,22.38%,25.91%,25.55%,24.98%,24.86%
Shareholding Pattern (Yearly),No. of Shareholders,11753,,,,11052,,,,15003,,,,23746,,,,10764,12265,11294,10253,10605
,,,,,,,,,,,,,,,,,,,,,,
