Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,52.99,55.54,48.48,49.54,46.55,54.87,58.90,61.49,67.95,51.57,51.66,56.82,64.59,,,,,
Quarterly Results,Expenses,42.23,43.33,34.59,36.25,35.94,42.23,44.04,45.39,55.40,41.93,43.99,50.71,58.84,,,,,
Quarterly Results,Operating Profit,10.76,12.21,13.89,13.29,10.61,12.64,14.86,16.10,12.55,9.64,7.67,6.11,5.75,,,,,
Quarterly Results,OPM %,20.31%,21.98%,28.65%,26.83%,22.79%,23.04%,25.23%,26.18%,18.47%,18.69%,14.85%,10.75%,8.90%,,,,,
Quarterly Results,Other Income,0.11,0.06,0.07,0.01,0.69,0.07,0.22,0.03,3.82,0.69,1.04,1.16,1.56,,,,,
Quarterly Results,Interest,1.10,0.71,1.08,1.09,1.27,2.18,2.25,2.07,2.35,2.91,3.58,4.50,3.58,,,,,
Quarterly Results,Depreciation,1.54,1.48,1.50,1.50,1.60,2.36,2.59,2.68,2.72,3.09,3.25,4.11,4.04,,,,,
Quarterly Results,Profit before tax,8.23,10.08,11.38,10.71,8.43,8.17,10.24,11.38,11.30,4.33,1.88,-1.34,-0.31,,,,,
Quarterly Results,Tax %,9.11%,16.37%,25.57%,28.29%,34.05%,27.91%,26.66%,24.34%,23.54%,30.02%,89.89%,-121.64%,0.00%,,,,,
Quarterly Results,Net Profit,7.48,8.43,8.47,7.68,5.56,5.90,7.52,8.62,8.65,3.03,0.19,0.29,-0.31,,,,,
Quarterly Results,EPS in Rs,0.53,0.60,0.61,0.54,0.40,0.43,0.53,0.61,0.61,0.31,0.15,0.15,0.07,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,175,,,,200,,,,243,,,,225,100,119,103,,
Profit & Loss,Expenses,148,,,,150,,,,187,,,,195,93,108,91,,
Profit & Loss,Operating Profit,27,,,,51,,,,56,,,,29,7,10,12,,
Profit & Loss,OPM %,15%,,,,25%,,,,23%,,,,13%,7%,9%,12%,,
Profit & Loss,Other Income,1,,,,0,,,,4,,,,4,0,0,0,,
Profit & Loss,Interest,4,,,,4,,,,9,,,,15,4,4,4,,
Profit & Loss,Depreciation,6,,,,6,,,,10,,,,14,4,5,5,,
Profit & Loss,Profit before tax,18,,,,41,,,,41,,,,5,-1,1,3,,
Profit & Loss,Tax %,11%,,,,26%,,,,25%,,,,30%,53%,-69%,8%,,
Profit & Loss,Net Profit,16,,,,30,,,,31,,,,3,-1,2,2,,
Profit & Loss,EPS in Rs,1.14,,,,2.14,,,,2.18,,,,0.68,-0.10,0.17,0.17,,
Profit & Loss,Dividend Payout %,13%,,,,9%,,,,9%,,,,0%,0%,14%,14%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,28,14,14,14,,
Balance Sheet,Reserves,33,,,,61,,,,90,,,,107,13,16,18,,
Balance Sheet,Borrowings,43,,,,87,,,,143,,,,188,52,54,61,,
Balance Sheet,Other Liabilities,24,,,,36,,,,47,,,,54,22,22,21,,
Balance Sheet,Total Liabilities,114,,,,199,,,,294,,,,378,102,106,114,,
Balance Sheet,Fixed Assets,70,,,,86,,,,172,,,,233,64,68,71,,
