Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
Quarterly Results,Expenses,0.39,0.26,0.36,0.57,0.36,0.28,0.30,0.37,0.30,0.33,0.63,0.37,0.58,,,,,,,,,
Quarterly Results,Operating Profit,-0.39,-0.26,-0.36,-0.57,-0.36,-0.28,-0.30,-0.37,-0.30,-0.33,-0.63,-0.37,-0.58,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.00,0.01,0.03,0.35,0.25,0.04,0.07,0.27,0.10,84.79,0.07,0.03,,,,,,,,,
Quarterly Results,Interest,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,-0.64,1.04,1.58,,,,,,,,,
Quarterly Results,Depreciation,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.21,,,,,,,,,
Quarterly Results,Profit before tax,-1.45,-1.32,-1.42,-1.60,-1.07,-1.09,-1.32,-1.36,-1.10,-1.29,84.78,-1.36,-2.34,,,,,,,,,
Quarterly Results,Tax %,-93.79%,0.00%,0.00%,0.00%,161.68%,1.83%,-1.52%,0.00%,221.82%,0.00%,0.00%,0.00%,35.90%,,,,,,,,,
Quarterly Results,Net Profit,-0.09,-1.32,-1.42,-1.61,-2.80,-1.12,-1.30,-1.37,-3.53,-1.29,84.77,-1.37,-3.17,,,,,,,,,
Quarterly Results,EPS in Rs,-0.07,-1.04,-1.11,-1.26,-2.20,-0.88,-1.02,-1.07,-2.77,-1.01,66.49,-0.94,-2.17,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0,,,,0,,,,0,,,,0,103,107,116,133,135,53,0,0,
Profit & Loss,Expenses,1,,,,2,,,,1,,,,2,75,81,87,109,107,69,-15,10,
