Section,,Dec 202411m,Dec 2024,Jun 2025
Quarterly Results,Sales,,,
Quarterly Results,Expenses,,,
Quarterly Results,Operating Profit,,,
Quarterly Results,OPM %,,,
Quarterly Results,Other Income,,,
Quarterly Results,Interest,,,
Quarterly Results,Depreciation,,,
Quarterly Results,Profit before tax,,,
Quarterly Results,Tax %,,,
Quarterly Results,Net Profit,,,
Quarterly Results,EPS in Rs,,,
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Sales,2682,,
Profit & Loss,Expenses,2604,,
Profit & Loss,Operating Profit,78,,
Profit & Loss,OPM %,3%,,
Profit & Loss,Other Income,-158,,
Profit & Loss,Interest,30,,
Profit & Loss,Depreciation,39,,
Profit & Loss,Profit before tax,-149,,
Profit & Loss,Tax %,4%,,
Profit & Loss,Net Profit,-156,,
Profit & Loss,EPS in Rs,,,
Profit & Loss,Dividend Payout %,0%,,
,,,,
Balance Sheet,Equity Capital,,149,
Balance Sheet,Reserves,,569,
Balance Sheet,Borrowings,,160,
Balance Sheet,Other Liabilities,,654,
Balance Sheet,Total Liabilities,,1532,
Balance Sheet,Fixed Assets,,495,
Balance Sheet,CWIP,,7,
Balance Sheet,Investments,,35,
Balance Sheet,Other Assets,,995,
Balance Sheet,Total Assets,,1532,
,,,,
Cash Flows,Cash from Operating Activity,,-84,
Cash Flows,Cash from Investing Activity,,-17,
Cash Flows,Cash from Financing Activity,,-30,
Cash Flows,Net Cash Flow,,-130,
,,,,
Ratios,Debtor Days,,109,
Ratios,Inventory Days,,14,
Ratios,Days Payable,,76,
Ratios,Cash Conversion Cycle,,47,
Ratios,Working Capital Days,,51,
Ratios,ROCE %,,,
,,,,
Shareholding Pattern (Quarterly),Promoters,,,56.98%
Shareholding Pattern (Quarterly),FIIs,,,14.91%
Shareholding Pattern (Quarterly),DIIs,,,9.12%
Shareholding Pattern (Quarterly),Public,,,19.00%
Shareholding Pattern (Quarterly),No. of Shareholders,,,120149
,,,,
Shareholding Pattern (Yearly),Promoters,,,56.98%
Shareholding Pattern (Yearly),FIIs,,,14.91%
Shareholding Pattern (Yearly),DIIs,,,9.12%
Shareholding Pattern (Yearly),Public,,,19.00%
Shareholding Pattern (Yearly),No. of Shareholders,,,120149
,,,,
