Section,,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Dec 2024,Mar 2025,Jun 2025
Quarterly Results,Sales,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,
,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.15%,62.15%,47.07%,47.07%,47.07%,47.07%,27.13%,26.43%,26.43%,16.50%
Shareholding Pattern (Quarterly),Public,37.84%,37.85%,52.93%,52.93%,52.93%,52.93%,72.87%,73.57%,73.57%,83.50%
Shareholding Pattern (Quarterly),No. of Shareholders,585,585,865,865,895,1219,2465,2817,2510,2304
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.15%,,,47.07%,,,27.13%,,26.43%,16.50%
Shareholding Pattern (Yearly),Public,37.84%,,,52.93%,,,72.87%,,73.57%,83.50%
Shareholding Pattern (Yearly),No. of Shareholders,585,,,865,,,2465,,2510,2304
,,,,,,,,,,,
