Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,104080,121082,114820,119170,118115,112985,103044,115499,116555,113095,102785,113166,111230,,,,,,,,
Quarterly Results,Expenses,98126,126906,113406,114957,107031,97200,90104,109300,107600,107468,98268,105710,103494,,,,,,,,
Quarterly Results,Operating Profit,5954,-5824,1415,4213,11085,15785,12941,6199,8955,5627,4517,7456,7737,,,,,,,,
Quarterly Results,OPM %,6%,-5%,1%,4%,9%,14%,13%,5%,8%,5%,4%,7%,7%,,,,,,,,
Quarterly Results,Other Income,1131,615,673,415,523,1003,911,919,403,807,1278,548,1061,,,,,,,,
Quarterly Results,Interest,752,710,937,1128,1148,1071,1190,920,967,889,923,861,919,,,,,,,,
Quarterly Results,Depreciation,1603,1617,1561,1586,1605,1614,1605,1830,1722,1686,1779,1810,1982,,,,,,,,
Quarterly Results,Profit before tax,4730,-7537,-410,1913,8854,14103,11056,4367,6669,3859,3094,5333,5897,,,,,,,,
Quarterly Results,Tax %,41%,-18%,-17%,9%,22%,25%,25%,27%,28%,26%,26%,29%,26%,,,,,,,,
Quarterly Results,Net Profit,2803,-6148,-338,1747,6870,10644,8244,3181,4790,2842,2297,3806,4392,,,,,,,,
Quarterly Results,EPS in Rs,6.46,-14.17,-0.78,4.03,15.84,24.53,19.00,7.33,11.04,6.55,5.29,8.77,10.12,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,346791,,,,473187,,,,448083,,,,440272,264421,242598,187815,201251,235895,298226,284572,230171
Profit & Loss,Expenses,327654,,,,462288,,,,404001,,,,414870,255007,232818,174844,187468,220578,283113,275597,209170
Profit & Loss,Operating Profit,19137,,,,10899,,,,44082,,,,25401,9414,9780,12971,13783,15317,15112,8975,21001
Profit & Loss,OPM %,6%,,,,2%,,,,10%,,,,6%,4%,4%,7%,7%,6%,5%,3%,9%
Profit & Loss,Other Income,4939,,,,2036,,,,3032,,,,3629,1344,2117,1913,2721,2927,2975,1393,7489
Profit & Loss,Interest,2606,,,,3745,,,,4149,,,,3591,1982,1180,680,696,1186,1764,2637,1723
Profit & Loss,Depreciation,5434,,,,6369,,,,6771,,,,7257,2611,3027,2072,2108,2885,3418,4080,4334
Profit & Loss,Profit before tax,16037,,,,2821,,,,36194,,,,18182,6166,7690,12132,13700,14174,12905,3652,22432
Profit & Loss,Tax %,27%,,,,24%,,,,26%,,,,27%,34%,34%,33%,31%,31%,34%,-0%,23%
Profit & Loss,Net Profit,11682,,,,2131,,,,26859,,,,13337,4053,5082,8089,9507,9792,8528,3666,17320
Profit & Loss,EPS in Rs,26.93,,,,4.91,,,,61.91,,,,30.74,9.01,11.08,18.64,20.10,20.76,17.98,7.04,37.26
Profit & Loss,Dividend Payout %,29%,,,,40%,,,,33%,,,,32%,31%,34%,25%,49%,46%,48%,106%,102%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,2129,,,,2129,,,,2136,,,,4273,723,723,656,1311,1967,1967,1967,2093
Balance Sheet,Reserves,49776,,,,51393,,,,73499,,,,77112,18717,21839,27138,29508,34652,36798,34565,51462
Balance Sheet,Borrowings,64534,,,,69376,,,,54599,,,,61101,33152,25492,23388,35725,37659,44839,65476,54532
Balance Sheet,Other Liabilities,71089,,,,65210,,,,72184,,,,75898,35868,38268,35241,42541,46078,53322,48852,52891
Balance Sheet,Total Liabilities,187529,,,,188109,,,,202418,,,,218382,88460,86322,86422,109086,120356,136926,150860,160978
Balance Sheet,Fixed Assets,83901,,,,86675,,,,86798,,,,101775,27580,29109,25358,33684,45539,49315,60175,64098
Balance Sheet,CWIP,15433,,,,16249,,,,20204,,,,13240,9372,15787,17459,16834,9875,13654,17757,17037
Balance Sheet,Investments,23616,,,,26778,,,,26631,,,,26531,6985,7712,9401,21327,23725,24907,27029,26768
Balance Sheet,Other Assets,64578,,,,58406,,,,68785,,,,76837,44523,33714,34203,37241,41217,49050,45900,53075
Balance Sheet,Total Assets,187529,,,,188109,,,,202418,,,,218382,88460,86322,86422,109086,120356,136926,150860,160978
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,20336,,,,12466,,,,35936,,,,23678,9588,20742,11119,9041,11068,10157,7881,23455
Cash Flows,Cash from Investing Activity,-8138,,,,-7806,,,,-10521,,,,-19180,-6881,-10536,-9233,-15274,-7066,-10451,-11135,-2474
Cash Flows,Cash from Financing Activity,-17672,,,,-4402,,,,-25427,,,,-6241,-3736,-9792,-1332,4804,-4218,207,3583,-13981
Cash Flows,Net Cash Flow,-5474,,,,257,,,,-12,,,,-1743,-1029,414,555,-1429,-215,-87,329,7000
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,10,,,,5,,,,7,,,,8,6,4,4,9,8,8,7,12
Ratios,Inventory Days,51,,,,32,,,,42,,,,43,35,29,34,45,41,32,32,52
Ratios,Days Payable,37,,,,20,,,,27,,,,29,20,22,19,24,27,25,19,32
Ratios,Cash Conversion Cycle,24,,,,17,,,,21,,,,22,22,12,19,30,21,16,20,33
Ratios,Working Capital Days,-8,,,,-5,,,,-5,,,,-2,10,-17,-18,-16,-6,-3,-7,-15
Ratios,ROCE %,16%,,,,7%,,,,32%,,,,16%,16%,17%,25%,24%,21%,18%,9%,18%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,52.98%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,13.17%,12.96%,12.53%,12.57%,12.55%,13.01%,14.21%,16.79%,15.04%,15.39%,14.71%,14.58%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,20.70%,20.90%,21.80%,22.59%,23.10%,22.53%,22.13%,21.30%,21.31%,22.06%,22.27%,22.23%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.86%,0.94%,0.94%,0.94%,0.94%,0.94%,0.94%,0.94%,0.94%,0.94%,0.94%,0.94%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,11.98%,12.23%,11.44%,10.61%,10.12%,10.21%,9.44%,8.00%,9.73%,8.63%,9.09%,9.26%,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.32%,0.00%,0.32%,0.32%,0.32%,0.32%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,941242,942635,909717,858136,816721,817339,749213,723571,1039006,1018794,1124533,1193412,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.98%,,,,52.98%,,,,52.98%,,,,52.98%,,,,54.93%,54.31%,53.29%,52.98%,52.98%
Shareholding Pattern (Yearly),FIIs,13.69%,,,,12.57%,,,,16.79%,,,,14.58%,,,,22.53%,19.81%,15.64%,12.28%,12.42%
Shareholding Pattern (Yearly),DIIs,19.85%,,,,22.59%,,,,21.30%,,,,22.23%,,,,6.74%,10.03%,15.32%,19.61%,23.31%
Shareholding Pattern (Yearly),Government,0.86%,,,,0.94%,,,,0.94%,,,,0.94%,,,,0.86%,0.86%,0.86%,0.86%,0.86%
Shareholding Pattern (Yearly),Public,12.31%,,,,10.61%,,,,8.00%,,,,9.26%,,,,14.93%,14.99%,14.88%,14.27%,8.43%
Shareholding Pattern (Yearly),Others,0.32%,,,,0.32%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,2.00%
Shareholding Pattern (Yearly),No. of Shareholders,930486,,,,858136,,,,723571,,,,1193412,,,,125579,156443,178718,223139,468377
