Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,43.77,68.18,66.62,97.35,94.19,98.57,91.01,97.47,92.67,103.06,76.21,231.67,47.26,,,,,,,,
Quarterly Results,Expenses,17.01,14.27,22.74,167.31,109.25,46.61,97.66,48.62,49.12,53.34,67.88,54.45,42.01,,,,,,,,
Quarterly Results,Operating Profit,26.76,53.91,43.88,-69.96,-15.06,51.96,-6.65,48.85,43.55,49.72,8.33,177.22,5.25,,,,,,,,
Quarterly Results,OPM %,61.14%,79.07%,65.87%,-71.86%,-15.99%,52.71%,-7.31%,50.12%,46.99%,48.24%,10.93%,76.50%,11.11%,,,,,,,,
Quarterly Results,Other Income,-142.05,11.25,5.52,-5.10,2.48,1.97,2.15,2.32,4.93,4.65,4.61,6.56,5.98,,,,,,,,
Quarterly Results,Interest,44.70,46.46,44.91,46.44,46.08,47.02,47.87,47.09,46.21,46.47,5.17,1.32,1.18,,,,,,,,
Quarterly Results,Depreciation,12.67,13.18,13.32,14.93,15.33,16.18,15.57,16.41,33.76,20.95,17.62,17.64,17.93,,,,,,,,
Quarterly Results,Profit before tax,-172.66,5.52,-8.83,-136.43,-73.99,-9.27,-67.94,-12.33,-31.49,-13.05,-9.85,164.82,-7.88,,,,,,,,
Quarterly Results,Tax %,-6.93%,-60.33%,-0.11%,-6.29%,-6.87%,-22.44%,-2.75%,-16.38%,-5.81%,-16.09%,2.44%,0.32%,-9.64%,,,,,,,,
Quarterly Results,Net Profit,-302.52,0.35,-8.83,-127.85,-68.91,-7.19,-66.07,-10.31,-29.65,-10.96,-10.08,164.29,-7.12,,,,,,,,
Quarterly Results,EPS in Rs,-35.79,-0.41,-1.53,-15.83,-7.20,-1.40,-6.64,-1.87,-3.42,-1.85,-0.85,20.20,-0.57,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,216,,,,326,,,,380,,,,458,10,8,1,142,153,401,299,210
Profit & Loss,Expenses,266,,,,322,,,,242,,,,218,10,9,4,173,172,248,116,163
Profit & Loss,Operating Profit,-50,,,,4,,,,138,,,,241,-0,-1,-3,-32,-18,153,184,46
Profit & Loss,OPM %,-23%,,,,1%,,,,36%,,,,52%,-1%,-11%,-388%,-22%,-12%,38%,61%,22%
Profit & Loss,Other Income,-133,,,,14,,,,11,,,,22,0,33,4,1,98,48,34,35
Profit & Loss,Interest,182,,,,184,,,,188,,,,54,51,41,50,31,44,205,193,167
Profit & Loss,Depreciation,43,,,,57,,,,82,,,,74,0,0,0,0,0,34,36,39
Profit & Loss,Profit before tax,-408,,,,-222,,,,-121,,,,134,-51,-8,-50,-62,35,-37,-12,-125
Profit & Loss,Tax %,-5%,,,,-8%,,,,-6%,,,,-2%,0%,0%,0%,1%,33%,16%,9%,-5%
Profit & Loss,Net Profit,-389,,,,-205,,,,-113,,,,136,-61,-26,-93,-62,23,-44,-13,-119
Profit & Loss,EPS in Rs,-44.83,,,,-24.96,,,,-13.34,,,,16.81,-60.76,-26.42,-92.54,-11.40,2.78,-4.56,-1.90,-13.61
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,36%,-11%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,84,,,,84,,,,84,,,,84,10,10,10,55,84,84,84,84
Balance Sheet,Reserves,425,,,,218,,,,106,,,,247,0,-4,-77,386,979,928,917,802
Balance Sheet,Borrowings,1492,,,,1413,,,,1328,,,,434,462,567,885,559,1041,1372,1556,1539
Balance Sheet,Other Liabilities,845,,,,991,,,,1216,,,,670,43,56,18,231,465,581,767,717
Balance Sheet,Total Liabilities,2846,,,,2706,,,,2734,,,,1435,516,629,837,1231,2569,2965,3324,3143
Balance Sheet,Fixed Assets,1629,,,,1536,,,,1453,,,,579,2,2,2,25,893,869,1689,1661
Balance Sheet,CWIP,158,,,,242,,,,347,,,,0,55,160,303,420,542,797,100,132
Balance Sheet,Investments,206,,,,119,,,,120,,,,116,374,381,361,449,562,523,486,426
Balance Sheet,Other Assets,853,,,,810,,,,814,,,,740,86,86,171,337,573,776,1048,924
Balance Sheet,Total Assets,2846,,,,2706,,,,2734,,,,1435,516,629,837,1231,2569,2965,3324,3143
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,22,,,,259,,,,364,,,,71,19,-32,-35,-9,143,296,238,51
Cash Flows,Cash from Investing Activity,196,,,,81,,,,-208,,,,-40,-46,38,-215,-333,-1031,-365,-157,168
Cash Flows,Cash from Financing Activity,-233,,,,-250,,,,-214,,,,-68,52,-30,264,353,881,86,-86,-199
Cash Flows,Net Cash Flow,-15,,,,90,,,,-57,,,,-37,25,-24,14,11,-7,17,-5,20
,,,,,,,,,,,,,,,,,,,,,,
