Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,54.18,38.97,37.75,45.17,60.68,55.57,50.76,59.09,68.59,53.54,41.71,54.72,57.96,,,,,,,,
Quarterly Results,Expenses,47.98,33.03,32.95,39.19,54.21,49.05,43.87,52.80,64.15,46.61,39.24,48.91,53.65,,,,,,,,
Quarterly Results,Operating Profit,6.20,5.94,4.80,5.98,6.47,6.52,6.89,6.29,4.44,6.93,2.47,5.81,4.31,,,,,,,,
Quarterly Results,OPM %,11.44%,15.24%,12.72%,13.24%,10.66%,11.73%,13.57%,10.64%,6.47%,12.94%,5.92%,10.62%,7.44%,,,,,,,,
Quarterly Results,Other Income,6.22,0.10,0.28,0.22,0.93,0.93,0.18,0.15,2.37,0.10,0.05,0.26,0.64,,,,,,,,
Quarterly Results,Interest,2.58,2.41,2.00,2.58,2.38,1.85,2.10,1.63,2.04,1.31,1.42,1.59,1.26,,,,,,,,
Quarterly Results,Depreciation,2.09,1.85,1.85,1.85,1.85,1.66,1.65,1.81,2.37,1.47,1.48,1.48,1.50,,,,,,,,
Quarterly Results,Profit before tax,7.75,1.78,1.23,1.77,3.17,3.94,3.32,3.00,2.40,4.25,-0.38,3.00,2.19,,,,,,,,
Quarterly Results,Tax %,34.06%,20.79%,18.70%,14.12%,59.62%,17.01%,16.87%,20.00%,148.75%,25.41%,44.74%,55.00%,46.12%,,,,,,,,
Quarterly Results,Net Profit,5.11,1.41,1.00,1.51,1.28,3.26,2.76,2.40,-1.17,3.17,-0.54,1.36,1.18,,,,,,,,
Quarterly Results,EPS in Rs,2.31,0.64,0.45,0.68,0.58,1.47,1.25,1.08,-0.53,1.43,-0.24,0.61,0.53,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,176,,,,183,,,,234,,,,208,124,157,128,130,157,148,162,147
Profit & Loss,Expenses,156,,,,159,,,,210,,,,188,112,140,121,119,139,134,145,127
Profit & Loss,Operating Profit,19,,,,23,,,,24,,,,20,12,18,6,11,18,15,17,20
Profit & Loss,OPM %,11%,,,,13%,,,,10%,,,,9%,10%,11%,5%,9%,12%,10%,11%,13%
Profit & Loss,Other Income,-5,,,,2,,,,4,,,,1,-0,-1,0,1,1,4,6,1
Profit & Loss,Interest,10,,,,9,,,,8,,,,6,12,11,10,9,13,11,11,11
Profit & Loss,Depreciation,6,,,,7,,,,7,,,,6,8,6,5,4,7,7,6,6
Profit & Loss,Profit before tax,-1,,,,8,,,,13,,,,9,-8,-1,-9,-2,-2,1,6,4
Profit & Loss,Tax %,286%,,,,34%,,,,43%,,,,43%,-2%,5%,1%,48%,21%,66%,3%,40%
Profit & Loss,Net Profit,-5,,,,5,,,,7,,,,5,-8,-1,-9,-3,-2,0,6,2
Profit & Loss,EPS in Rs,-2.04,,,,2.36,,,,3.27,,,,2.33,-3.45,-0.45,-3.91,-1.23,-1.03,0.15,2.74,1.06
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,22,,,,22,,,,22,,,,22,22,22,22,22,22,22,22,22
Balance Sheet,Reserves,86,,,,91,,,,98,,,,103,63,61,52,89,87,87,93,95
Balance Sheet,Borrowings,78,,,,61,,,,49,,,,33,105,90,86,101,105,103,105,115
Balance Sheet,Other Liabilities,44,,,,59,,,,65,,,,61,35,49,52,64,55,59,57,59
Balance Sheet,Total Liabilities,230,,,,233,,,,234,,,,219,225,222,212,276,269,272,278,291
Balance Sheet,Fixed Assets,147,,,,140,,,,135,,,,132,128,125,125,196,192,190,189,186
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,1,0,1,3,5,15,23
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0
Balance Sheet,Other Assets,83,,,,93,,,,99,,,,87,97,97,87,79,74,77,74,81
Balance Sheet,Total Assets,230,,,,233,,,,234,,,,219,225,222,212,276,269,272,278,291
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-6,,,,23,,,,16,,,,12,20,34,16,26,13,21,8,8
Cash Flows,Cash from Investing Activity,53,,,,1,,,,-5,,,,2,-7,-5,-5,-34,-5,-7,-16,-11
Cash Flows,Cash from Financing Activity,-46,,,,-26,,,,-10,,,,-14,-11,-29,-13,11,-13,-11,5,4
Cash Flows,Net Cash Flow,1,,,,-2,,,,1,,,,-0,2,-0,-1,4,-5,3,-3,0
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,26,,,,27,,,,27,,,,33,49,46,48,34,37,32,30,38
Ratios,Inventory Days,157,,,,434,,,,201,,,,190,124,161,349,154,145,287,183,209
Ratios,Days Payable,91,,,,231,,,,114,,,,98,208,235,508,519,315,395,281,195
Ratios,Cash Conversion Cycle,92,,,,230,,,,114,,,,126,-36,-28,-111,-331,-133,-76,-68,53
Ratios,Working Capital Days,71,,,,69,,,,66,,,,63,126,59,45,-29,-11,-13,1,45
Ratios,ROCE %,8%,,,,10%,,,,12%,,,,9%,2%,7%,1%,4%,5%,6%,6%,6%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,56.35%,56.26%,55.94%,55.86%,55.77%,55.77%,55.32%,55.32%,55.32%,55.15%,55.13%,55.05%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,43.63%,43.73%,44.05%,44.14%,44.23%,44.22%,44.68%,44.67%,44.68%,44.84%,44.86%,44.93%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,6926,7051,6911,6949,7467,7472,8494,9057,9408,10173,10353,10428,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,56.38%,,,,55.86%,,,,55.32%,,,,55.05%,,,,57.33%,56.56%,56.47%,56.49%,56.46%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.01%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,43.62%,,,,44.14%,,,,44.67%,,,,44.93%,,,,42.67%,43.42%,43.53%,43.51%,43.54%
Shareholding Pattern (Yearly),No. of Shareholders,6757,,,,6949,,,,9057,,,,10428,,,,6673,6570,6325,6065,6065
,,,,,,,,,,,,,,,,,,,,,,
