Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,0.01,1.00,1.02,0.72,0.02,0.98,1.03,1.26,1.01,1.08,1.07,1.31,1.99,,,,,,,,
Quarterly Results,Expenses,0.58,0.39,0.30,0.51,0.42,0.59,0.81,0.69,0.62,0.70,0.82,0.89,1.47,,,,,,,,
Quarterly Results,Operating Profit,-0.57,0.61,0.72,0.21,-0.40,0.39,0.22,0.57,0.39,0.38,0.25,0.42,0.52,,,,,,,,
Quarterly Results,OPM %,-5700.00%,61.00%,70.59%,29.17%,-2000.00%,39.80%,21.36%,45.24%,38.61%,35.19%,23.36%,32.06%,26.13%,,,,,,,,
Quarterly Results,Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Quarterly Results,Depreciation,0.24,0.22,0.21,0.20,0.22,0.18,0.18,0.18,0.18,0.14,0.14,0.14,0.14,,,,,,,,
Quarterly Results,Profit before tax,-0.81,0.39,0.51,0.01,-0.62,0.21,0.04,0.39,0.21,0.24,0.11,0.28,0.38,,,,,,,,
Quarterly Results,Tax %,154.32%,0.00%,49.02%,0.00%,-27.42%,0.00%,0.00%,43.59%,28.57%,25.00%,27.27%,25.00%,23.68%,,,,,,,,
Quarterly Results,Net Profit,-2.07,0.39,0.26,0.00,-0.45,0.21,0.04,0.22,0.15,0.17,0.08,0.20,0.30,,,,,,,,
Quarterly Results,EPS in Rs,-0.33,0.06,0.04,0.00,-0.07,0.03,0.01,0.04,0.02,0.03,0.01,0.03,0.05,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,10.86,,,,2.76,,,,4.28,,,,5.45,4.64,0.00,0.00,0.00,0.95,1.45,1.18,1.46
Profit & Loss,Expenses,3.43,,,,1.56,,,,2.71,,,,3.88,30.85,6.17,-7.96,-1.73,0.41,0.79,1.26,0.90
Profit & Loss,Operating Profit,7.43,,,,1.20,,,,1.57,,,,1.57,-26.21,-6.17,7.96,1.73,0.54,0.66,-0.08,0.56
Profit & Loss,OPM %,68.42%,,,,43.48%,,,,36.68%,,,,28.81%,-564.87%,,,,56.84%,45.52%,-6.78%,38.36%
Profit & Loss,Other Income,0.00,,,,0.00,,,,0.00,,,,0.00,23.90,2.64,-2.13,0.02,0.00,-0.67,0.17,0.00
Profit & Loss,Interest,0.00,,,,0.00,,,,0.00,,,,0.00,9.68,9.03,7.00,0.00,0.00,0.00,0.00,0.00
Profit & Loss,Depreciation,1.11,,,,0.90,,,,0.72,,,,0.57,2.44,2.54,0.00,0.00,0.00,0.00,0.00,0.30
Profit & Loss,Profit before tax,6.32,,,,0.30,,,,0.85,,,,1.00,-14.43,-15.10,-1.17,1.75,0.54,-0.01,0.09,0.26
Profit & Loss,Tax %,27.85%,,,,26.67%,,,,27.06%,,,,28.00%,0.35%,0.00%,0.00%,0.00%,18.52%,2000.00%,22.22%,26.92%
Profit & Loss,Net Profit,4.55,,,,0.22,,,,0.62,,,,0.72,-14.48,-15.10,-1.17,1.75,0.44,-0.21,0.06,0.19
Profit & Loss,EPS in Rs,0.74,,,,0.04,,,,0.10,,,,0.12,-2.93,-3.05,-0.24,0.35,0.09,-0.04,0.01,0.03
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15.46,,,,15.46,,,,15.46,,,,27.05,12.37,12.37,12.37,12.37,12.37,12.37,12.37,15.46
Balance Sheet,Reserves,-0.98,,,,-4.30,,,,-3.67,,,,-2.52,-19.51,-32.93,-43.57,-41.82,-6.29,-5.81,-5.75,-5.53
Balance Sheet,Borrowings,4.90,,,,6.79,,,,8.73,,,,0.80,53.36,60.90,36.97,35.11,0.32,0.55,1.17,1.70
Balance Sheet,Other Liabilities,6.82,,,,7.12,,,,1.38,,,,2.06,9.31,9.06,0.42,0.36,0.28,0.31,0.45,6.46
Balance Sheet,Total Liabilities,26.20,,,,25.07,,,,21.90,,,,27.39,55.53,49.40,6.19,6.02,6.68,7.42,8.24,18.09
Balance Sheet,Fixed Assets,4.42,,,,3.53,,,,2.81,,,,2.25,45.03,41.97,0.00,0.00,0.00,0.01,0.01,5.50
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Investments,3.11,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11
Balance Sheet,Other Assets,18.67,,,,21.54,,,,19.09,,,,25.14,10.50,7.43,6.19,6.02,6.68,7.41,8.23,9.48
Balance Sheet,Total Assets,26.20,,,,25.07,,,,21.90,,,,27.39,55.53,49.40,6.19,6.02,6.68,7.42,8.24,18.09
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-3.14,,,,-1.46,,,,-1.96,,,,-2.08,7.05,3.49,-6.97,-0.08,-35.03,-0.22,-0.58,4.67
Cash Flows,Cash from Investing Activity,-0.04,,,,0.00,,,,0.00,,,,0.00,4.56,0.03,36.00,0.00,-0.10,-0.01,0.00,-5.78
Cash Flows,Cash from Financing Activity,3.20,,,,1.47,,,,1.95,,,,4.09,-21.01,-4.66,-29.27,0.00,35.11,0.24,0.61,0.53
Cash Flows,Net Cash Flow,0.02,,,,0.01,,,,-0.01,,,,2.01,-9.40,-1.15,-0.23,-0.08,-0.02,0.01,0.03,-0.59
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,485.99,,,,2266.70,,,,1249.36,,,,1232.29,29.11,,,,265.11,349.90,692.88,902.50
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,485.99,,,,2266.70,,,,1249.36,,,,1232.29,29.11,,,,265.11,349.90,692.88,902.50
Ratios,Working Capital Days,395.25,,,,1888.48,,,,1494.96,,,,1399.06,-958.91,,,,2447.42,1777.17,2384.87,757.50
Ratios,ROCE %,40.76%,,,,1.61%,,,,4.42%,,,,4.36%,-26.13%,-11.60%,50.49%,30.62%,8.96%,9.77%,1.21%,2.68%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,35.73%,35.73%,35.73%,35.73%,35.73%,35.73%,35.73%,35.73%,35.73%,35.73%,35.73%,62.26%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,64.27%,64.27%,64.27%,64.27%,64.28%,64.28%,64.27%,64.27%,64.27%,64.26%,64.27%,37.73%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,12693,13018,13518,13571,13645,13457,14241,13985,14004,14418,14582,15907,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,35.73%,,,,35.73%,,,,35.73%,,,,62.26%,,,,70.71%,44.78%,39.92%,40.98%,35.73%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,64.26%,,,,64.27%,,,,64.27%,,,,37.73%,,,,29.28%,55.22%,60.07%,59.02%,64.27%
Shareholding Pattern (Yearly),No. of Shareholders,12573,,,,13571,,,,13985,,,,15907,,,,3554,4998,5358,5322,6218
,,,,,,,,,,,,,,,,,,,,,,
