Section,,Mar 2021,Jun 2021,Dec 2021,Mar 2022,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,275,135,434,352,338,,,,,,,,,,,,,,,
Quarterly Results,Expenses,210,120,341,274,276,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,65,15,93,78,62,,,,,,,,,,,,,,,
Quarterly Results,OPM %,24%,11%,21%,22%,18%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0,1,0,0,1,,,,,,,,,,,,,,,
Quarterly Results,Interest,4,4,5,6,6,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,11,11,14,15,15,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,50,1,75,57,42,,,,,,,,,,,,,,,
Quarterly Results,Tax %,80%,-151%,27%,31%,32%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,10,2,55,40,29,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.66,0.13,1.80,1.30,0.94,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,711,,,1194,,2,508,595,732,,,,,,,,,,,
Profit & Loss,Expenses,595,,,952,,3,431,495,596,,,,,,,,,,,
Profit & Loss,Operating Profit,116,,,242,,-1,77,100,136,,,,,,,,,,,
Profit & Loss,OPM %,16%,,,20%,,-57%,15%,17%,19%,,,,,,,,,,,
Profit & Loss,Other Income,4,,,1,,0,0,2,2,,,,,,,,,,,
Profit & Loss,Interest,17,,,20,,0,21,21,17,,,,,,,,,,,
Profit & Loss,Depreciation,33,,,53,,0,36,14,23,,,,,,,,,,,
Profit & Loss,Profit before tax,70,,,171,,-1,20,66,99,,,,,,,,,,,
Profit & Loss,Tax %,62%,,,37%,,3%,63%,42%,37%,,,,,,,,,,,
Profit & Loss,Net Profit,27,,,108,,-1,7,39,62,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.77,,,3.57,,-145.00,741.01,3947.58,4.06,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,0%,,0%,0%,0%,0%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,152,,,152,,0.08,0.10,0.10,152,,,,,,,,,,,
Balance Sheet,Reserves,161,,,275,,-1,298,202,133,,,,,,,,,,,
Balance Sheet,Borrowings,177,,,289,,347,174,199,276,,,,,,,,,,,
