Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,30,30,44,30,36,22,35,44,30,28,57,52,45,,,,,,,,
Quarterly Results,Expenses,78,40,50,45,37,27,36,642,78,32,70,81,53,,,,,,,,
Quarterly Results,Operating Profit,-48,-10,-6,-15,-1,-5,-1,-599,-48,-4,-14,-28,-8,,,,,,,,
Quarterly Results,OPM %,-163%,-34%,-13%,-51%,-3%,-21%,-2%,-1372%,-160%,-15%,-24%,-55%,-17%,,,,,,,,
Quarterly Results,Other Income,1,1,1,2,1,1,2,3,1318,6,64,39,68,,,,,,,,
Quarterly Results,Interest,19,20,20,20,20,20,20,20,-43,3,3,4,4,,,,,,,,
Quarterly Results,Depreciation,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,
Quarterly Results,Profit before tax,-69,-31,-26,-35,-22,-25,-20,-618,1312,-3,46,6,55,,,,,,,,
Quarterly Results,Tax %,-2%,0%,0%,0%,-5%,0%,0%,0%,-2%,0%,0%,313%,-1%,,,,,,,,
Quarterly Results,Net Profit,-67,-31,-26,-35,-21,-25,-20,-618,1336,-3,46,-12,56,,,,,,,,
Quarterly Results,EPS in Rs,-1.69,-0.77,-0.66,-0.88,-0.52,-0.63,-0.51,-15.50,33.52,-0.06,1.16,-0.28,1.25,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,131,,,,139,,,,131,,,,182,903,670,403,586,471,465,344,204
Profit & Loss,Expenses,192,,,,171,,,,750,,,,236,1118,701,444,600,492,462,405,251
Profit & Loss,Operating Profit,-62,,,,-32,,,,-619,,,,-54,-216,-31,-41,-14,-21,3,-61,-48
Profit & Loss,OPM %,-47%,,,,-23%,,,,-474%,,,,-30%,-24%,-5%,-10%,-2%,-5%,1%,-18%,-23%
Profit & Loss,Other Income,6,,,,4,,,,1291,,,,178,4,5,12,19,66,46,20,35
Profit & Loss,Interest,78,,,,79,,,,17,,,,15,117,130,141,147,124,116,110,83
Profit & Loss,Depreciation,7,,,,6,,,,5,,,,5,21,26,17,17,8,6,7,9
Profit & Loss,Profit before tax,-142,,,,-114,,,,649,,,,104,-351,-182,-188,-159,-87,-73,-158,-104
Profit & Loss,Tax %,-1%,,,,-1%,,,,-4%,,,,16%,-30%,1%,0%,-0%,-0%,-1%,-0%,-1%
Profit & Loss,Net Profit,-141,,,,-113,,,,673,,,,88,-246,-183,-188,-159,-87,-72,-157,-103
Profit & Loss,EPS in Rs,-3.53,,,,-2.82,,,,16.88,,,,1.96,-13.33,-9.92,-4.71,-3.99,-2.18,-1.81,-3.94,-2.58
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,80,,,,80,,,,80,,,,89,37,37,80,80,80,80,80,80
Balance Sheet,Reserves,-613,,,,-725,,,,-52,,,,110,261,105,-20,-59,-140,-214,-371,-474
Balance Sheet,Borrowings,1456,,,,1516,,,,141,,,,0,980,1310,1254,1339,1111,1143,1356,1402
Balance Sheet,Other Liabilities,306,,,,306,,,,374,,,,222,642,454,344,342,512,480,324,329
Balance Sheet,Total Liabilities,1228,,,,1176,,,,542,,,,422,1920,1906,1658,1702,1563,1489,1390,1337
Balance Sheet,Fixed Assets,386,,,,379,,,,208,,,,204,219,184,169,436,264,258,402,393
Balance Sheet,CWIP,23,,,,23,,,,0,,,,0,59,23,23,23,23,23,23,23
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,1,2,1,2,1,0,0,0
Balance Sheet,Other Assets,820,,,,775,,,,334,,,,218,1642,1697,1466,1241,1276,1209,965,922
Balance Sheet,Total Assets,1228,,,,1176,,,,542,,,,422,1920,1906,1658,1702,1563,1489,1390,1337
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,8,,,,-0,,,,51,,,,156,-102,-18,-126,57,49,42,16,8
Cash Flows,Cash from Investing Activity,2,,,,-0,,,,126,,,,-13,-6,54,5,-10,5,15,-2,1
Cash Flows,Cash from Financing Activity,-5,,,,-1,,,,-174,,,,-80,78,16,49,-47,-48,-62,-19,-7
Cash Flows,Net Cash Flow,4,,,,-2,,,,3,,,,63,-29,53,-71,1,5,-4,-4,2
