Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,567.79,563.39,468.25,472.62,428.50,396.40,450.57,468.68,528.02,536.27,493.40,444.00,,,,,,
Quarterly Results,Expenses,506.60,525.67,447.58,449.99,407.30,387.26,435.04,434.91,487.02,498.51,466.68,435.38,,,,,,
Quarterly Results,Operating Profit,61.19,37.72,20.67,22.63,21.20,9.14,15.53,33.77,41.00,37.76,26.72,8.62,,,,,,
Quarterly Results,OPM %,10.78%,6.70%,4.41%,4.79%,4.95%,2.31%,3.45%,7.21%,7.76%,7.04%,5.42%,1.94%,,,,,,
Quarterly Results,Other Income,3.26,4.73,3.88,7.17,8.71,11.79,5.79,7.21,7.41,7.29,7.40,15.25,,,,,,
Quarterly Results,Interest,0.34,0.37,0.39,1.25,1.05,1.40,1.56,1.34,1.18,1.18,1.21,0.97,,,,,,
Quarterly Results,Depreciation,10.10,9.41,10.05,11.66,11.19,13.34,12.66,13.07,12.77,14.23,14.36,13.61,,,,,,
Quarterly Results,Profit before tax,54.01,32.67,14.11,16.89,17.67,6.19,7.10,26.57,34.46,29.64,18.55,9.29,,,,,,
Quarterly Results,Tax %,25.38%,21.76%,29.34%,14.21%,23.49%,30.69%,34.23%,23.71%,29.43%,27.80%,24.58%,27.23%,,,,,,
Quarterly Results,Net Profit,40.30,25.56,9.97,14.49,13.52,4.29,4.67,20.27,24.32,21.40,13.99,6.76,,,,,,
Quarterly Results,EPS in Rs,18.44,11.70,4.56,6.63,6.19,1.96,2.14,9.28,11.13,9.79,6.40,3.09,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,2072,,,,1744,,,,2002,,,,,,
Profit & Loss,Expenses,,,,1930,,,,1664,,,,1888,,,,,,
Profit & Loss,Operating Profit,,,,142,,,,80,,,,114,,,,,,
Profit & Loss,OPM %,,,,7%,,,,5%,,,,6%,,,,,,
Profit & Loss,Other Income,,,,19,,,,33,,,,37,,,,,,
Profit & Loss,Interest,,,,2,,,,5,,,,5,,,,,,
Profit & Loss,Depreciation,,,,41,,,,50,,,,55,,,,,,
Profit & Loss,Profit before tax,,,,118,,,,58,,,,92,,,,,,
Profit & Loss,Tax %,,,,23%,,,,26%,,,,28%,,,,,,
Profit & Loss,Net Profit,,,,90,,,,43,,,,66,,,,,,
Profit & Loss,EPS in Rs,,,,41.34,,,,19.56,,,,30.42,,,,,,
Profit & Loss,Dividend Payout %,,,,24%,,,,51%,,,,33%,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,22,,,,22,,,,22,,,,,,
Balance Sheet,Reserves,,,,1300,,,,1343,,,,1396,,,,,,
Balance Sheet,Borrowings,,,,68,,,,52,,,,37,,,,,,
Balance Sheet,Other Liabilities,,,,233,,,,268,,,,327,,,,,,
Balance Sheet,Total Liabilities,,,,1623,,,,1684,,,,1782,,,,,,
