Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,233,208,201,197,316,248,248,298,297,246,260,281,369,,,,,,,,
Quarterly Results,Expenses,221,197,193,191,266,226,231,269,279,230,240,262,327,,,,,,,,
Quarterly Results,Operating Profit,12,11,8,6,50,21,17,29,18,16,20,19,42,,,,,,,,
Quarterly Results,OPM %,5%,5%,4%,3%,16%,9%,7%,10%,6%,6%,8%,7%,11%,,,,,,,,
Quarterly Results,Other Income,3,3,1,1,3,2,1,1,-1,1,1,-17,8,,,,,,,,
Quarterly Results,Interest,7,6,7,7,8,8,9,8,10,8,8,8,10,,,,,,,,
Quarterly Results,Depreciation,9,11,11,11,11,11,11,12,12,12,11,11,10,,,,,,,,
Quarterly Results,Profit before tax,-2,-3,-8,-10,34,4,-2,11,-5,-3,3,-16,30,,,,,,,,
Quarterly Results,Tax %,176%,-14%,-19%,-5%,24%,64%,115%,32%,46%,27%,111%,20%,28%,,,,,,,,
Quarterly Results,Net Profit,-6,-3,-7,-10,26,1,-5,7,-7,-4,-0,-19,22,,,,,,,,
Quarterly Results,EPS in Rs,-4.94,-1.99,-5.32,-7.50,20.02,1.13,-3.54,5.63,-5.35,-2.98,-0.24,-14.96,14.64,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,780,,,,923,,,,1091,,,,1155,425,488,404,692,778,930,883,817
Profit & Loss,Expenses,710,,,,847,,,,1005,,,,1059,341,387,354,636,754,848,786,729
Profit & Loss,Operating Profit,70,,,,76,,,,86,,,,97,84,101,51,56,23,82,97,88
Profit & Loss,OPM %,9%,,,,8%,,,,8%,,,,8%,20%,21%,13%,8%,3%,9%,11%,11%
Profit & Loss,Other Income,-52,,,,7,,,,2,,,,-6,1,7,8,32,13,7,5,6
Profit & Loss,Interest,26,,,,27,,,,35,,,,33,8,5,7,18,22,35,37,30
Profit & Loss,Depreciation,43,,,,44,,,,45,,,,44,16,17,17,23,28,28,41,45
Profit & Loss,Profit before tax,-52,,,,12,,,,8,,,,14,62,87,36,46,-14,27,23,19
Profit & Loss,Tax %,2%,,,,45%,,,,135%,,,,114%,28%,31%,28%,19%,7%,-1%,31%,38%
Profit & Loss,Net Profit,-53,,,,7,,,,-3,,,,-2,44,60,26,37,-15,27,16,12
Profit & Loss,EPS in Rs,-23.70,,,,7.62,,,,1.38,,,,-1.31,27.90,34.49,20.74,26.93,-14.74,21.91,15.47,13.32
Profit & Loss,Dividend Payout %,-11%,,,,53%,,,,434%,,,,-457%,6%,9%,14%,19%,-7%,23%,16%,30%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,13,,,,15,12,13,13,13,13,13,13,13
Balance Sheet,Reserves,191,,,,198,,,,190,,,,391,118,156,179,197,177,206,192,210
Balance Sheet,Borrowings,320,,,,308,,,,226,,,,187,53,89,81,279,390,357,372,374
Balance Sheet,Other Liabilities,396,,,,551,,,,634,,,,647,112,169,188,377,493,515,497,381
Balance Sheet,Total Liabilities,920,,,,1070,,,,1063,,,,1239,295,427,461,865,1073,1091,1074,978
Balance Sheet,Fixed Assets,239,,,,220,,,,238,,,,225,75,72,72,250,239,205,256,253
Balance Sheet,CWIP,12,,,,28,,,,10,,,,8,0,0,21,11,27,14,11,19
Balance Sheet,Investments,7,,,,10,,,,8,,,,0,0,0,1,45,14,12,40,49
Balance Sheet,Other Assets,661,,,,812,,,,806,,,,1007,220,354,366,559,793,860,766,658
Balance Sheet,Total Assets,920,,,,1070,,,,1063,,,,1239,295,427,461,865,1073,1091,1074,978
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,103,,,,71,,,,214,,,,-29,64,28,68,-53,-27,50,109,81
Cash Flows,Cash from Investing Activity,-15,,,,-10,,,,-44,,,,-59,-28,-18,-36,-70,-31,-22,-11,13
Cash Flows,Cash from Financing Activity,-81,,,,-88,,,,-145,,,,107,-27,22,-25,97,66,-33,-102,-66
Cash Flows,Net Cash Flow,7,,,,-27,,,,25,,,,19,9,32,6,-26,8,-4,-4,28
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,117,,,,131,,,,76,,,,97,83,83,92,99,113,108,103,96
Ratios,Inventory Days,272,,,,230,,,,220,,,,213,107,185,223,216,295,225,242,205
Ratios,Days Payable,138,,,,185,,,,165,,,,135,60,64,114,144,205,138,183,115
Ratios,Cash Conversion Cycle,251,,,,175,,,,132,,,,175,131,203,202,171,203,195,162,187
Ratios,Working Capital Days,72,,,,65,,,,41,,,,50,88,113,110,93,142,101,71,95
Ratios,ROCE %,6%,,,,8%,,,,10%,,,,12%,35%,36%,14%,15%,1%,10%,12%,8%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,58.80%,58.80%,58.80%,58.80%,58.80%,58.80%,58.79%,58.79%,58.75%,58.75%,58.75%,51.52%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.05%,0.03%,0.08%,0.11%,0.48%,0.38%,0.37%,0.37%,0.38%,1.03%,0.81%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,6.06%,6.82%,6.17%,6.34%,7.66%,7.93%,7.25%,7.69%,8.13%,8.53%,8.06%,15.36%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,35.14%,34.32%,34.99%,34.78%,33.42%,32.78%,33.57%,33.15%,32.76%,32.35%,32.16%,32.31%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,8636,8743,9344,10249,12647,25928,25466,23497,24013,23415,18255,18150,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,58.80%,,,,58.80%,,,,58.79%,,,,51.52%,,,,59.42%,58.87%,58.82%,58.80%,58.80%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.08%,,,,0.37%,,,,0.81%,,,,0.99%,0.68%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,6.04%,,,,6.34%,,,,7.69%,,,,15.36%,,,,12.00%,13.97%,9.57%,7.92%,6.57%
Shareholding Pattern (Yearly),Public,35.16%,,,,34.78%,,,,33.15%,,,,32.31%,,,,27.59%,26.48%,31.61%,33.28%,34.63%
Shareholding Pattern (Yearly),No. of Shareholders,8780,,,,10249,,,,23497,,,,18150,,,,9674,8509,7866,7398,7823
,,,,,,,,,,,,,,,,,,,,,,
