Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,97,123,200,103,162,123,207,,,,
Quarterly Results,Expenses,75,100,161,100,136,119,149,,,,
Quarterly Results,Operating Profit,23,23,39,3,26,3,58,,,,
Quarterly Results,OPM %,23%,19%,20%,3%,16%,3%,28%,,,,
Quarterly Results,Other Income,1,7,-1,1,2,-3,1,,,,
Quarterly Results,Interest,5,4,4,5,5,6,6,,,,
Quarterly Results,Depreciation,6,5,3,3,4,3,3,,,,
Quarterly Results,Profit before tax,12,21,31,-4,19,-8,51,,,,
Quarterly Results,Tax %,-2%,10%,10%,1%,10%,10%,7%,,,,
Quarterly Results,Net Profit,12,19,28,-4,17,-9,47,,,,
Quarterly Results,EPS in Rs,6.81,10.21,15.42,-2.40,9.51,-4.14,22.77,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,497,,,,594,383,348,329,343
Profit & Loss,Expenses,,,427,,,,503,308,285,275,299
Profit & Loss,Operating Profit,,,70,,,,92,75,63,55,44
Profit & Loss,OPM %,,,14%,,,,15%,20%,18%,17%,13%
Profit & Loss,Other Income,,,15,,,,-2,2,5,9,8
Profit & Loss,Interest,,,19,,,,21,43,21,20,20
Profit & Loss,Depreciation,,,22,,,,11,22,25,25,24
Profit & Loss,Profit before tax,,,44,,,,58,12,23,19,8
Profit & Loss,Tax %,,,6%,,,,11%,37%,15%,11%,27%
Profit & Loss,Net Profit,,,41,,,,51,8,20,16,5
Profit & Loss,EPS in Rs,,,22.77,,,,24.88,2495.24,6288.89,3868.54,3.02
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,9,,,,10,0.31,0.31,0.43,9
Balance Sheet,Reserves,,,313,,,,523,-20,-11,268,272
Balance Sheet,Borrowings,,,159,,,,134,404,367,171,170
Balance Sheet,Other Liabilities,,,146,,,,181,137,162,97,141
Balance Sheet,Total Liabilities,,,628,,,,849,521,518,537,592
Balance Sheet,Fixed Assets,,,104,,,,110,100,156,149,139
Balance Sheet,CWIP,,,2,,,,4,5,8,0,0
Balance Sheet,Investments,,,60,,,,66,20,0,22,56
Balance Sheet,Other Assets,,,462,,,,669,396,353,366,397
Balance Sheet,Total Assets,,,628,,,,849,521,518,537,592
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-35,,,,5,14,62,49,117
Cash Flows,Cash from Investing Activity,,,-3,,,,-122,-12,-23,-28,-50
Cash Flows,Cash from Financing Activity,,,-4,,,,125,-1,-33,-12,-27
Cash Flows,Net Cash Flow,,,-42,,,,7,2,7,9,41
,,,,,,,,,,,,
Ratios,Debtor Days,,,126,,,,107,141,160,142,113
Ratios,Inventory Days,,,214,,,,211,326,253,355,377
Ratios,Days Payable,,,161,,,,167,205,180,195,218
Ratios,Cash Conversion Cycle,,,179,,,,151,263,232,302,271
Ratios,Working Capital Days,,,198,,,,222,208,208,228,166
Ratios,ROCE %,,,14%,,,,15%,,12%,10%,6%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,51.39%,51.39%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.62%,1.59%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,14.94%,15.42%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,30.07%,31.60%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,60160,56042,,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,51.39%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,1.59%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,15.42%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,31.60%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,56042,,,,
,,,,,,,,,,,,
