Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2018,Mar 2019
Quarterly Results,Sales,88.10,98.11,76.01,83.94,73.30,79.08,79.58,86.33,82.31,76.53,81.90,83.62,92.32,,,,
Quarterly Results,Expenses,68.70,62.70,50.18,59.22,48.77,63.59,68.70,71.13,69.98,68.20,71.75,71.71,78.98,,,,
Quarterly Results,Operating Profit,19.40,35.41,25.83,24.72,24.53,15.49,10.88,15.20,12.33,8.33,10.15,11.91,13.34,,,,
Quarterly Results,OPM %,22.02%,36.09%,33.98%,29.45%,33.47%,19.59%,13.67%,17.61%,14.98%,10.88%,12.39%,14.24%,14.45%,,,,
Quarterly Results,Other Income,2.97,0.65,-2.23,2.22,1.50,3.68,1.46,1.51,1.90,2.59,0.60,2.55,-8.51,,,,
Quarterly Results,Interest,0.07,0.12,0.04,0.05,0.04,0.05,0.06,0.43,0.41,0.94,1.22,1.20,1.57,,,,
Quarterly Results,Depreciation,5.85,5.89,5.86,5.72,5.46,5.42,5.62,5.45,5.86,7.31,8.80,9.62,10.61,,,,
Quarterly Results,Profit before tax,16.45,30.05,17.70,21.17,20.53,13.70,6.66,10.83,7.96,2.67,0.73,3.64,-7.35,,,,
Quarterly Results,Tax %,22.07%,28.99%,26.33%,29.43%,25.62%,30.58%,35.44%,34.35%,32.04%,66.67%,172.60%,48.08%,25.03%,,,,
Quarterly Results,Net Profit,12.82,21.35,13.04,14.94,15.26,9.51,4.30,7.10,5.41,0.90,-0.53,1.88,-9.19,,,,
Quarterly Results,EPS in Rs,9.07,15.10,9.22,10.56,10.76,6.70,3.03,4.99,3.80,0.63,-0.37,1.32,-6.40,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,272,,,,331,,,,327,,,,334,205,181,,
Profit & Loss,Expenses,215,,,,221,,,,273,,,,291,149,157,,
Profit & Loss,Operating Profit,57,,,,111,,,,55,,,,44,55,24,,
Profit & Loss,OPM %,21%,,,,33%,,,,17%,,,,13%,27%,13%,,
Profit & Loss,Other Income,6,,,,2,,,,9,,,,-3,-0,1,,
Profit & Loss,Interest,1,,,,1,,,,2,,,,5,4,3,,
Profit & Loss,Depreciation,22,,,,23,,,,22,,,,36,25,20,,
Profit & Loss,Profit before tax,39,,,,89,,,,39,,,,-0,27,2,,
Profit & Loss,Tax %,26%,,,,28%,,,,33%,,,,2210%,5%,500%,,
Profit & Loss,Net Profit,29,,,,65,,,,26,,,,-7,25,-8,,
Profit & Loss,EPS in Rs,20.34,,,,45.54,,,,18.50,,,,-4.83,18.26,-5.78,,
Profit & Loss,Dividend Payout %,6%,,,,3%,,,,7%,,,,-26%,7%,0%,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,14,14,,
Balance Sheet,Reserves,284,,,,347,,,,373,,,,366,262,253,,
Balance Sheet,Borrowings,9,,,,2,,,,20,,,,84,43,32,,
Balance Sheet,Other Liabilities,46,,,,48,,,,93,,,,58,30,36,,
Balance Sheet,Total Liabilities,352,,,,412,,,,500,,,,522,348,335,,
Balance Sheet,Fixed Assets,194,,,,192,,,,247,,,,317,195,202,,
