Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,5260,5375,5829,5810,5739,6329,6678,6604,6163,6694,7051,7073,6730,,,,,,,,
Quarterly Results,Expenses,4511,4232,4526,4403,4566,4835,4944,4856,4847,4978,5165,5084,5192,,,,,,,,
Quarterly Results,Operating Profit,750,1143,1302,1408,1174,1494,1734,1748,1316,1716,1886,1989,1538,,,,,,,,
Quarterly Results,OPM %,14%,21%,22%,24%,20%,24%,26%,26%,21%,26%,27%,28%,23%,,,,,,,,
Quarterly Results,Other Income,7,103,123,114,-48,136,176,-10,249,160,191,222,289,,,,,,,,
Quarterly Results,Interest,18,18,26,32,34,16,26,30,18,18,15,15,14,,,,,,,,
Quarterly Results,Depreciation,290,254,299,272,346,239,290,233,288,247,272,280,309,,,,,,,,
Quarterly Results,Profit before tax,448,975,1100,1218,745,1375,1594,1474,1259,1611,1789,1916,1504,,,,,,,,
Quarterly Results,Tax %,16%,28%,28%,34%,30%,28%,28%,28%,26%,27%,27%,17%,19%,,,,,,,,
Quarterly Results,Net Profit,371,706,797,808,522,998,1155,1068,932,1175,1305,1575,1214,,,,,,,,
Quarterly Results,EPS in Rs,4.49,8.51,9.78,9.92,6.51,12.33,14.01,13.08,11.63,14.58,16.13,19.45,15.13,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,21763,,,,22753,,,,25774,,,,27548,10173,11345,13790,14394,15156,16362,17132,19160
Profit & Loss,Expenses,17211,,,,17726,,,,19483,,,,20420,8026,9183,11310,11898,12329,13265,13926,14907
Profit & Loss,Operating Profit,4553,,,,5027,,,,6291,,,,7128,2147,2163,2480,2496,2826,3097,3206,4252
Profit & Loss,OPM %,21%,,,,22%,,,,24%,,,,26%,21%,19%,18%,17%,19%,19%,19%,22%
Profit & Loss,Other Income,99,,,,293,,,,552,,,,862,251,164,208,208,280,477,344,266
Profit & Loss,Interest,106,,,,110,,,,90,,,,62,146,168,207,159,114,168,197,161
Profit & Loss,Depreciation,1052,,,,1172,,,,1051,,,,1107,373,505,754,1323,1323,1326,1175,1068
