Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,657,677,776,749,980,1038,1179,1130,1105,1151,1214,1576,1749,,,,,
Quarterly Results,Expenses,502,512,604,591,792,823,942,910,898,954,1021,1377,1506,,,,,
Quarterly Results,Operating Profit,155,165,172,158,188,214,238,220,207,197,193,199,244,,,,,
Quarterly Results,OPM %,24%,24%,22%,21%,19%,21%,20%,19%,19%,17%,16%,13%,14%,,,,,
Quarterly Results,Other Income,4,1,2,5,5,4,5,4,6,5,7,-6,-5,,,,,
Quarterly Results,Interest,24,25,23,30,42,42,42,44,46,49,41,58,68,,,,,
Quarterly Results,Depreciation,54,53,55,54,60,68,67,70,72,72,76,103,95,,,,,
Quarterly Results,Profit before tax,81,87,96,80,92,107,134,109,94,81,82,31,76,,,,,
Quarterly Results,Tax %,37%,35%,35%,35%,12%,25%,22%,26%,25%,26%,25%,59%,12%,,,,,
Quarterly Results,Net Profit,51,57,62,52,80,81,104,81,71,59,62,13,67,,,,,
Quarterly Results,EPS in Rs,24.36,26.81,29.57,24.43,36.76,35.25,44.75,34.61,29.50,22.30,25.86,5.42,27.99,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2217,,,,3183,,,,4452,,,,5690,1102,1479,1818,1492,1560
Profit & Loss,Expenses,1683,,,,2499,,,,3573,,,,4857,874,1185,1375,1095,1122
Profit & Loss,Operating Profit,534,,,,684,,,,879,,,,833,228,294,443,398,438
Profit & Loss,OPM %,24%,,,,21%,,,,20%,,,,15%,21%,20%,24%,27%,28%
Profit & Loss,Other Income,8,,,,13,,,,18,,,,0,11,12,14,3,10
Profit & Loss,Interest,84,,,,120,,,,175,,,,217,90,112,141,149,107
Profit & Loss,Depreciation,206,,,,222,,,,278,,,,347,113,149,176,196,192
Profit & Loss,Profit before tax,252,,,,355,,,,445,,,,270,37,44,140,56,149
Profit & Loss,Tax %,35%,,,,29%,,,,24%,,,,26%,-117%,28%,30%,28%,35%
Profit & Loss,Net Profit,163,,,,251,,,,337,,,,201,80,32,97,40,97
