Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,595,669,683,822,715,771,736,918,738,797,812,913,813,,,,,,,,,,,,,,,
Quarterly Results,Expenses,419,499,531,606,511,567,544,649,546,591,588,626,581,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,176,169,151,216,203,204,192,269,192,207,224,287,232,,,,,,,,,,,,,,,
Quarterly Results,OPM %,30%,25%,22%,26%,28%,26%,26%,29%,26%,26%,28%,31%,29%,,,,,,,,,,,,,,,
Quarterly Results,Other Income,20,35,65,18,17,18,36,36,21,18,21,30,31,,,,,,,,,,,,,,,
Quarterly Results,Interest,2,2,2,1,1,1,1,1,1,1,1,2,6,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,25,26,26,26,26,26,26,25,17,16,16,21,30,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,169,177,189,207,194,195,200,279,195,208,229,294,227,,,,,,,,,,,,,,,
Quarterly Results,Tax %,28%,23%,22%,24%,25%,23%,24%,25%,30%,28%,25%,24%,30%,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,122,137,148,158,146,151,152,210,138,150,172,225,160,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,16.67,18.75,20.24,21.63,19.94,20.60,20.79,28.74,18.84,20.53,23.46,30.72,21.86,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,2769,,,,3140,,,,3260,,1111,1253,1380,1548,1658,1748,1732,1982,2301,3335,,,,,
Profit & Loss,Expenses,,,,2039,,,,2258,,,,2349,,750,865,980,1104,1203,1277,1276,1471,1690,2386,,,,,
Profit & Loss,Operating Profit,,,,730,,,,882,,,,911,,361,389,400,443,455,471,456,511,611,950,,,,,
Profit & Loss,OPM %,,,,26%,,,,28%,,,,28%,,32%,31%,29%,29%,27%,27%,26%,26%,27%,28%,,,,,
Profit & Loss,Other Income,,,,122,,,,94,,,,90,,103,24,43,50,25,73,73,83,123,100,,,,,
Profit & Loss,Interest,,,,6,,,,4,,,,4,,0,0,0,0,0,2,0,14,9,9,,,,,
Profit & Loss,Depreciation,,,,103,,,,104,,,,70,,38,36,37,55,47,43,37,121,106,83,,,,,
Profit & Loss,Profit before tax,,,,742,,,,868,,,,926,,425,376,406,438,434,500,492,458,618,958,,,,,
Profit & Loss,Tax %,,,,24%,,,,24%,,,,26%,,30%,29%,30%,33%,30%,27%,30%,23%,25%,,,,,,
Profit & Loss,Net Profit,,,,564,,,,658,,,,684,,298,268,285,294,304,363,344,355,466,706,,,,,
Profit & Loss,EPS in Rs,,,,77.25,,,,90.06,,,,93.54,,42.16,37.62,40.04,41.26,42.46,50.35,47.57,48.87,63.92,96.57,,,,,
Profit & Loss,Dividend Payout %,,,,62%,,,,60%,,,,60%,,45%,53%,57%,65%,66%,60%,67%,68%,72%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,7,,,,7,,,,7,,7,7,7,7,7,7,7,7,7,,,,,,
Balance Sheet,Reserves,,,,1785,,,,2182,,,,2558,,667,841,849,978,1041,1129,1165,1305,1571,,,,,,
Balance Sheet,Borrowings,,,,83,,,,47,,,,250,,0,0,0,0,0,3,3,0,132,,,,,,
Balance Sheet,Other Liabilities,,,,956,,,,1061,,,,1127,,470,416,475,400,446,495,514,895,793,,,,,,
Balance Sheet,Total Liabilities,,,,2831,,,,3297,,,,3942,,1145,1265,1331,1385,1495,1634,1689,2207,2504,,,,,,
Balance Sheet,Fixed Assets,,,,619,,,,635,,,,976,,449,432,413,309,293,350,349,763,661,,,,,,
Balance Sheet,CWIP,,,,14,,,,31,,,,55,,0,0,3,4,13,7,12,14,5,,,,,,
Balance Sheet,Investments,,,,683,,,,1056,,,,1454,,244,375,383,465,525,477,453,476,645,,,,,,
Balance Sheet,Other Assets,,,,1515,,,,1576,,,,1457,,451,458,532,607,663,800,875,955,1193,,,,,,
Balance Sheet,Total Assets,,,,2831,,,,3297,,,,3942,,1145,1265,1331,1385,1495,1634,1689,2207,2504,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,456,,,,780,,,,765,,254,265,270,279,291,379,446,500,403,,,,,,
Cash Flows,Cash from Investing Activity,,,,-59,,,,-326,,,,-387,,-157,-185,2,-19,-179,-64,-77,-300,-97,,,,,,
Cash Flows,Cash from Financing Activity,,,,-368,,,,-408,,,,-442,,-82,-112,-262,-227,-187,-203,-229,-265,-291,,,,,,
Cash Flows,Net Cash Flow,,,,29,,,,47,,,,-64,,15,-31,10,33,-75,111,140,-64,15,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,100,,,,78,,,,62,,39,41,52,49,57,59,42,57,86,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,100,,,,78,,,,62,,39,41,52,49,57,59,42,57,86,,,,,,
Ratios,Working Capital Days,,,,8,,,,-5,,,,-30,,-86,-46,-39,-7,2,-8,-26,-35,-9,,,,,,
Ratios,ROCE %,,,,41%,,,,41%,,,,36%,,60%,48%,45%,45%,41%,45%,42%,37%,38%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,66.74%,66.72%,66.70%,66.69%,66.67%,66.66%,66.65%,66.65%,66.64%,66.64%,66.64%,66.64%,,,,,,,,,,,,,,,
