Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,35.41,38.55,40.88,42.63,54.11,55.31,55.30,54.62,56.51,57.88,57.95,58.57,61.49,,,,,,,,
Quarterly Results,Expenses,28.06,30.49,32.83,35.01,46.45,48.57,49.48,49.08,49.17,50.41,49.73,50.39,53.67,,,,,,,,
Quarterly Results,Operating Profit,7.35,8.06,8.05,7.62,7.66,6.74,5.82,5.54,7.34,7.47,8.22,8.18,7.82,,,,,,,,
Quarterly Results,OPM %,20.76%,20.91%,19.69%,17.87%,14.16%,12.19%,10.52%,10.14%,12.99%,12.91%,14.18%,13.97%,12.72%,,,,,,,,
Quarterly Results,Other Income,1.70,1.74,2.10,2.33,2.18,2.76,3.05,4.09,4.36,4.34,5.49,5.07,5.34,,,,,,,,
Quarterly Results,Interest,0.05,0.05,0.06,0.05,0.33,0.11,0.15,0.15,0.21,0.15,0.14,0.14,0.18,,,,,,,,
Quarterly Results,Depreciation,1.95,1.95,1.97,1.98,1.97,2.00,1.92,1.82,1.80,1.63,1.40,0.98,0.94,,,,,,,,
Quarterly Results,Profit before tax,7.05,7.80,8.12,7.92,7.54,7.39,6.80,7.66,9.69,10.03,12.17,12.13,12.04,,,,,,,,
Quarterly Results,Tax %,27.66%,28.85%,35.71%,29.80%,28.91%,27.88%,28.68%,28.33%,27.04%,26.62%,26.54%,25.56%,20.27%,,,,,,,,
Quarterly Results,Net Profit,5.11,5.54,5.22,5.57,5.36,5.33,4.85,5.49,7.06,7.36,8.94,9.04,9.60,,,,,,,,
Quarterly Results,EPS in Rs,1.81,1.95,1.84,1.96,1.88,1.87,1.70,1.76,2.27,2.36,2.87,2.90,3.08,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,139,,,,176,,,,222,,,,236,68,63,73,88,87,97,113,118
Profit & Loss,Expenses,111,,,,145,,,,196,,,,204,60,61,68,79,84,83,94,95
Profit & Loss,Operating Profit,28,,,,31,,,,26,,,,32,7,1,5,9,3,14,18,23
Profit & Loss,OPM %,20%,,,,18%,,,,12%,,,,13%,11%,2%,7%,10%,4%,14%,16%,19%
Profit & Loss,Other Income,10,,,,8,,,,14,,,,20,5,10,4,10,8,6,6,7
Profit & Loss,Interest,0,,,,1,,,,1,,,,1,0,1,1,1,2,1,1,0
Profit & Loss,Depreciation,8,,,,8,,,,8,,,,5,2,3,4,4,6,7,6,7
Profit & Loss,Profit before tax,30,,,,31,,,,32,,,,46,10,7,5,13,4,12,18,23
Profit & Loss,Tax %,24%,,,,31%,,,,28%,,,,25%,20%,31%,49%,24%,20%,16%,25%,-6%
Profit & Loss,Net Profit,23,,,,22,,,,23,,,,35,8,5,2,10,3,10,13,24
Profit & Loss,EPS in Rs,8.06,,,,7.62,,,,7.31,,,,11.22,2.88,1.92,0.87,3.62,1.16,3.72,4.80,8.73
Profit & Loss,Dividend Payout %,19%,,,,26%,,,,27%,,,,36%,35%,52%,115%,28%,86%,27%,21%,11%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,28,,,,28,,,,31,,,,31,26,27,27,27,27,28,28,28
Balance Sheet,Reserves,110,,,,132,,,,187,,,,217,33,33,33,48,48,56,67,87
Balance Sheet,Borrowings,2,,,,2,,,,8,,,,7,6,6,11,10,11,18,5,7
Balance Sheet,Other Liabilities,22,,,,37,,,,42,,,,51,22,19,23,28,28,31,30,22
Balance Sheet,Total Liabilities,162,,,,199,,,,267,,,,305,88,85,94,112,114,132,129,143
Balance Sheet,Fixed Assets,43,,,,37,,,,34,,,,32,16,36,39,41,44,44,43,49
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,28,15,12,14,13,15,12,0
Balance Sheet,Investments,72,,,,88,,,,114,,,,142,17,9,9,14,14,22,26,43
Balance Sheet,Other Assets,47,,,,74,,,,118,,,,131,27,25,34,43,44,51,48,51
Balance Sheet,Total Assets,162,,,,199,,,,267,,,,305,88,85,94,112,114,132,129,143
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,26,,,,26,,,,36,,,,38,7,2,2,14,12,22,20,23
Cash Flows,Cash from Investing Activity,-30,,,,-14,,,,-67,,,,-29,-5,-0,-6,-7,-6,-17,-10,-19
Cash Flows,Cash from Financing Activity,-2,,,,-4,,,,36,,,,-7,0,-3,1,-3,-4,3,-19,-0
Cash Flows,Net Cash Flow,-6,,,,8,,,,5,,,,2,2,-1,-3,4,3,8,-9,4
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,71,,,,83,,,,35,,,,32,83,78,83,84,108,93,91,77
Ratios,Inventory Days,,,,,,,,,,,,,0,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,71,,,,83,,,,35,,,,32,83,78,83,84,108,93,91,77
Ratios,Working Capital Days,40,,,,35,,,,7,,,,201,-12,-0,40,37,36,20,25,39
Ratios,ROCE %,23%,,,,21%,,,,17%,,,,20%,14%,3%,8%,17%,6%,13%,18%,20%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,35.98%,35.97%,35.90%,35.84%,36.00%,36.00%,36.45%,36.45%,36.42%,36.42%,36.42%,36.42%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.07%,0.05%,4.89%,0.07%,0.02%,0.00%,0.00%,0.22%,0.01%,0.03%,0.03%,0.19%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,63.95%,63.98%,59.21%,64.08%,63.98%,64.00%,63.56%,63.34%,63.56%,63.10%,63.55%,63.38%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,34060,32814,32291,32085,31576,30593,30498,30439,31433,35479,34594,34381,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,36.23%,,,,35.84%,,,,36.45%,,,,36.42%,,,,37.79%,37.37%,37.59%,37.63%,36.99%
Shareholding Pattern (Yearly),FIIs,0.08%,,,,0.07%,,,,0.22%,,,,0.19%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.29%,0.40%,0.20%,0.23%,0.18%
