Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,8.68,6.84,6.94,10.18,5.34,10.44,9.87,13.23,14.71,12.76,12.37,9.15,7.78,,,,,,
Quarterly Results,Expenses,5.12,3.82,4.29,7.44,3.31,7.17,6.39,7.72,10.91,9.05,9.55,7.53,5.38,,,,,,
Quarterly Results,Operating Profit,3.56,3.02,2.65,2.74,2.03,3.27,3.48,5.51,3.80,3.71,2.82,1.62,2.40,,,,,,
Quarterly Results,OPM %,41.01%,44.15%,38.18%,26.92%,38.01%,31.32%,35.26%,41.65%,25.83%,29.08%,22.80%,17.70%,30.85%,,,,,,
Quarterly Results,Other Income,0.10,0.07,0.06,0.05,-0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,,,,,,
Quarterly Results,Interest,0.13,0.17,0.15,0.21,0.23,0.26,0.46,0.67,0.95,0.83,0.61,0.36,0.18,,,,,,
Quarterly Results,Depreciation,0.19,0.16,0.18,0.22,0.56,0.54,0.55,0.57,0.39,0.33,0.37,0.31,0.47,,,,,,
Quarterly Results,Profit before tax,3.34,2.76,2.38,2.36,1.19,2.47,2.48,4.27,2.46,2.55,1.84,0.95,1.78,,,,,,
Quarterly Results,Tax %,7.49%,23.91%,28.57%,30.51%,21.85%,19.84%,27.42%,24.82%,17.07%,22.75%,21.20%,-9.47%,24.72%,,,,,,
Quarterly Results,Net Profit,3.09,2.10,1.70,1.64,0.94,1.99,1.80,3.21,2.05,1.96,1.45,1.03,1.34,,,,,,
Quarterly Results,EPS in Rs,0.88,0.60,0.49,0.47,0.27,0.57,0.51,0.92,0.59,0.56,0.41,0.29,0.38,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,29.37,,,,29.32,,,,48.25,,,,42.07,5.99,4.70,5.87,1.97,10.55,18.07
Profit & Loss,Expenses,17.15,,,,18.84,,,,32.19,,,,31.52,4.50,4.07,4.83,4.73,5.87,12.60
Profit & Loss,Operating Profit,12.22,,,,10.48,,,,16.06,,,,10.55,1.49,0.63,1.04,-2.76,4.68,5.47
Profit & Loss,OPM %,41.61%,,,,35.74%,,,,33.28%,,,,25.08%,24.87%,13.40%,17.72%,-140.10%,44.36%,30.27%
Profit & Loss,Other Income,0.05,,,,0.10,,,,0.01,,,,0.03,0.00,0.00,0.01,-0.56,0.02,0.01
Profit & Loss,Interest,0.65,,,,0.76,,,,2.34,,,,1.99,0.25,0.07,0.12,0.18,0.47,0.36
Profit & Loss,Depreciation,0.75,,,,1.12,,,,2.04,,,,1.48,0.15,0.11,0.10,0.28,0.32,0.24
Profit & Loss,Profit before tax,10.87,,,,8.70,,,,11.69,,,,7.11,1.09,0.45,0.83,-3.78,3.91,4.88
Profit & Loss,Tax %,20.42%,,,,26.67%,,,,22.58%,,,,18.57%,34.86%,22.22%,32.53%,-31.22%,32.23%,93.44%
Profit & Loss,Net Profit,8.64,,,,6.38,,,,9.05,,,,5.79,0.70,0.36,0.57,-2.60,2.65,0.31
Profit & Loss,EPS in Rs,2.47,,,,1.82,,,,2.59,,,,1.65,0.20,0.10,0.16,-0.74,0.76,0.09
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7.00,,,,7.00,,,,7.00,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00
Balance Sheet,Reserves,43.74,,,,50.20,,,,59.30,,,,65.02,33.49,33.77,34.34,31.75,34.64,34.95
Balance Sheet,Borrowings,2.20,,,,7.13,,,,4.03,,,,2.93,0.00,0.00,0.00,0.00,0.84,1.47
Balance Sheet,Other Liabilities,44.15,,,,40.66,,,,59.36,,,,35.55,10.04,2.97,5.85,12.96,17.18,18.97
Balance Sheet,Total Liabilities,97.09,,,,104.99,,,,129.69,,,,110.50,50.53,43.74,47.19,51.71,59.66,62.39
Balance Sheet,Fixed Assets,1.24,,,,4.93,,,,5.38,,,,4.60,0.36,0.30,3.58,0.63,0.58,1.05
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Balance Sheet,Investments,10.09,,,,1.67,,,,0.15,,,,0.62,0.62,0.62,0.62,0.59,1.03,0.83
Balance Sheet,Other Assets,85.76,,,,98.39,,,,124.16,,,,105.28,49.55,42.82,42.99,50.49,58.05,60.51
Balance Sheet,Total Assets,97.09,,,,104.99,,,,129.69,,,,110.50,50.53,43.74,47.19,51.71,59.66,62.39
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,22.38,,,,3.89,,,,-5.03,,,,0.16,-15.85,-6.91,3.00,-2.74,10.39,6.09
Cash Flows,Cash from Investing Activity,-14.10,,,,-2.58,,,,-0.35,,,,-0.70,-0.15,7.52,-3.52,-3.19,-2.83,-12.14
Cash Flows,Cash from Financing Activity,-0.16,,,,4.59,,,,-6.30,,,,-2.37,0.00,0.00,0.00,-0.02,0.81,0.50
Cash Flows,Net Cash Flow,8.13,,,,5.90,,,,-11.67,,,,-2.91,-16.01,0.61,-0.52,-5.95,8.37,-5.56
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,20.38,,,,21.16,,,,3.33,,,,7.63,12.19,24.85,16.79,255.69,106.21,28.88
