Section,,Dec 202411m,Dec 2024,Jun 2025
Quarterly Results,Sales,,,
Quarterly Results,Expenses,,,
Quarterly Results,Operating Profit,,,
Quarterly Results,OPM %,,,
Quarterly Results,Other Income,,,
Quarterly Results,Interest,,,
Quarterly Results,Depreciation,,,
Quarterly Results,Profit before tax,,,
Quarterly Results,Tax %,,,
Quarterly Results,Net Profit,,,
Quarterly Results,EPS in Rs,,,
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Sales,2536,,
Profit & Loss,Expenses,2144,,
Profit & Loss,Operating Profit,392,,
Profit & Loss,OPM %,15%,,
Profit & Loss,Other Income,14,,
Profit & Loss,Interest,39,,
Profit & Loss,Depreciation,172,,
Profit & Loss,Profit before tax,196,,
Profit & Loss,Tax %,29%,,
Profit & Loss,Net Profit,139,,
Profit & Loss,EPS in Rs,,,
Profit & Loss,Dividend Payout %,0%,,
,,,,
Balance Sheet,Equity Capital,,0.00,
Balance Sheet,Reserves,,836,
Balance Sheet,Borrowings,,351,
Balance Sheet,Other Liabilities,,467,
Balance Sheet,Total Liabilities,,1654,
Balance Sheet,Fixed Assets,,663,
Balance Sheet,CWIP,,7,
Balance Sheet,Investments,,70,
Balance Sheet,Other Assets,,914,
Balance Sheet,Total Assets,,1654,
,,,,
Cash Flows,Cash from Operating Activity,,234,
Cash Flows,Cash from Investing Activity,,-46,
Cash Flows,Cash from Financing Activity,,-222,
Cash Flows,Net Cash Flow,,-33,
,,,,
Ratios,Debtor Days,,84,
Ratios,Inventory Days,,,
Ratios,Days Payable,,,
Ratios,Cash Conversion Cycle,,84,
Ratios,Working Capital Days,,40,
Ratios,ROCE %,,,
,,,,
Shareholding Pattern (Quarterly),Promoters,,,56.98%
Shareholding Pattern (Quarterly),FIIs,,,14.91%
Shareholding Pattern (Quarterly),DIIs,,,9.12%
Shareholding Pattern (Quarterly),Public,,,18.99%
Shareholding Pattern (Quarterly),No. of Shareholders,,,120149
,,,,
Shareholding Pattern (Yearly),Promoters,,,56.98%
Shareholding Pattern (Yearly),FIIs,,,14.91%
Shareholding Pattern (Yearly),DIIs,,,9.12%
Shareholding Pattern (Yearly),Public,,,18.99%
Shareholding Pattern (Yearly),No. of Shareholders,,,120149
,,,,
