Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,
,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,
Ratios,Days Payable,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,
Ratios,ROCE %,,,,,,,,,
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,60.49%,60.49%,60.49%,60.49%,60.49%,60.49%,60.49%,60.49%,60.56%
Shareholding Pattern (Quarterly),FIIs,1.08%,3.09%,3.63%,3.57%,2.94%,2.69%,1.74%,1.68%,1.76%
Shareholding Pattern (Quarterly),DIIs,28.48%,26.22%,25.47%,25.08%,25.42%,24.90%,25.69%,25.80%,25.89%
Shareholding Pattern (Quarterly),Public,9.97%,10.20%,10.41%,10.86%,11.15%,11.94%,12.10%,12.04%,11.80%
Shareholding Pattern (Quarterly),No. of Shareholders,15077,14488,16951,19187,20671,22343,23778,22759,21653
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.49%,,,,60.49%,,,,60.56%
Shareholding Pattern (Yearly),FIIs,1.08%,,,,2.94%,,,,1.76%
Shareholding Pattern (Yearly),DIIs,28.48%,,,,25.42%,,,,25.89%
Shareholding Pattern (Yearly),Public,9.97%,,,,11.15%,,,,11.80%
Shareholding Pattern (Yearly),No. of Shareholders,15077,,,,20671,,,,21653
,,,,,,,,,,
