Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,2518,2255,1855,1708,1951,1778,1909,1855,2303,2118,2338,2319,2585,,,,,,,,
Quarterly Results,Expenses,1414,1406,1234,1299,1464,1274,1430,1366,1572,1496,1622,1576,1700,,,,,,,,
Quarterly Results,Operating Profit,1104,849,621,409,487,504,479,489,731,622,716,743,885,,,,,,,,
Quarterly Results,OPM %,44%,38%,33%,24%,25%,28%,25%,26%,32%,29%,31%,32%,34%,,,,,,,,
Quarterly Results,Other Income,52,88,80,113,66,81,86,95,79,79,106,82,86,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,1,0,2,0,1,0,0,,,,,,,,
Quarterly Results,Depreciation,81,85,86,87,87,93,95,95,95,97,99,99,107,,,,,,,,
Quarterly Results,Profit before tax,1076,852,615,435,466,492,469,489,713,604,722,726,864,,,,,,,,
Quarterly Results,Tax %,17%,18%,20%,30%,31%,28%,26%,27%,25%,29%,29%,19%,23%,,,,,,,,
Quarterly Results,Net Profit,895,702,493,306,321,356,348,358,538,430,510,589,662,,,,,,,,
Quarterly Results,EPS in Rs,33.70,26.44,18.57,11.53,12.09,13.41,13.11,13.49,20.27,16.20,19.21,22.19,24.94,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,8960,,,,7767,,,,7845,,,,9360,2532,3115,3776,4064,3891,4946,5394,6969
Profit & Loss,Expenses,5075,,,,5397,,,,5635,,,,6392,1514,1942,2354,2615,2622,3072,3568,4102
Profit & Loss,Operating Profit,3885,,,,2370,,,,2210,,,,2968,1018,1173,1423,1450,1269,1874,1826,2867
