Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,87,73,78,60,30,47,86,99,144,152,146,119,114,,,,,
Quarterly Results,Expenses,21,21,24,21,24,22,31,35,40,42,41,54,45,,,,,
Quarterly Results,Operating Profit,66,53,54,39,6,25,55,64,104,110,104,65,69,,,,,
Quarterly Results,OPM %,76%,72%,70%,65%,21%,54%,64%,65%,72%,73%,72%,54%,60%,,,,,
Quarterly Results,Other Income,8,8,9,10,10,0,0,0,0,0,0,0,0,,,,,
Quarterly Results,Interest,6,7,5,7,6,6,6,7,9,9,11,12,12,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,
Quarterly Results,Profit before tax,67,53,58,41,10,19,49,57,95,100,93,52,56,,,,,
Quarterly Results,Tax %,29%,27%,28%,28%,40%,31%,28%,27%,28%,28%,28%,27%,29%,,,,,
Quarterly Results,Net Profit,48,39,42,30,6,13,35,42,68,72,67,38,40,,,,,
Quarterly Results,EPS in Rs,2.70,2.19,2.39,1.68,0.34,0.73,1.99,2.35,3.87,4.07,3.79,2.12,2.25,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,322,,,,279,,,,377,,,,530,116,158,285,,
Profit & Loss,Expenses,66,,,,89,,,,128,,,,182,33,40,58,,
Profit & Loss,Operating Profit,256,,,,190,,,,249,,,,348,83,118,227,,
Profit & Loss,OPM %,79%,,,,68%,,,,66%,,,,66%,71%,75%,80%,,
Profit & Loss,Other Income,0,,,,0,,,,0,,,,0,0,0,0,,
Profit & Loss,Interest,25,,,,27,,,,28,,,,44,5,16,25,,
Profit & Loss,Depreciation,0,,,,1,,,,1,,,,2,0,0,0,,
Profit & Loss,Profit before tax,230,,,,163,,,,220,,,,301,78,102,201,,
Profit & Loss,Tax %,27%,,,,28%,,,,28%,,,,28%,35%,30%,27%,,
Profit & Loss,Net Profit,168,,,,116,,,,158,,,,216,51,71,147,,
Profit & Loss,EPS in Rs,9.51,,,,6.59,,,,8.94,,,,12.24,2.87,4.04,8.34,,
Profit & Loss,Dividend Payout %,2%,,,,4%,,,,3%,,,,2%,3%,2%,2%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,,,,18,,,,18,,,,18,18,18,18,,
Balance Sheet,Reserves,510,,,,622,,,,774,,,,986,133,202,346,,
Balance Sheet,Borrowings,175,,,,140,,,,84,,,,66,0,10,114,,
Balance Sheet,Other Liabilities,63,,,,25,,,,60,,,,71,11,24,20,,
Balance Sheet,Total Liabilities,765,,,,804,,,,936,,,,1140,161,253,498,,
Balance Sheet,Fixed Assets,1,,,,1,,,,4,,,,5,0,0,1,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,,
Balance Sheet,Investments,43,,,,67,,,,78,,,,91,84,181,2,,
Balance Sheet,Other Assets,721,,,,736,,,,854,,,,1044,77,72,495,,
Balance Sheet,Total Assets,765,,,,804,,,,936,,,,1140,161,253,498,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,141,,,,79,,,,-12,,,,-27,41,157,188,,
Cash Flows,Cash from Investing Activity,-97,,,,-118,,,,33,,,,-4,0,-58,-363,,
Cash Flows,Cash from Financing Activity,-4,,,,-5,,,,-5,,,,47,-7,-2,-3,,
Cash Flows,Net Cash Flow,41,,,,-44,,,,17,,,,16,34,96,-177,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,0,0,0,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,0,0,0,0,,
Ratios,Working Capital Days,364,,,,433,,,,363,,,,405,198,-36,137,,
Ratios,ROCE %,43%,,,,26%,,,,30%,,,,35%,,62%,64%,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,74.49%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.07%,0.08%,0.01%,0.08%,0.01%,0.01%,0.01%,0.02%,0.08%,0.89%,0.11%,0.10%,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,25.44%,25.44%,25.50%,25.44%,25.51%,25.50%,25.51%,25.49%,25.44%,24.57%,25.40%,25.40%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,42091,43334,42457,41833,40905,40988,39036,43983,50440,55553,63943,64015,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.49%,,,,74.49%,,,,74.49%,,,,74.49%,74.49%,74.49%,74.49%,74.45%,74.45%
Shareholding Pattern (Yearly),FIIs,0.02%,,,,0.08%,,,,0.02%,,,,0.10%,0.06%,0.02%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,25.50%,,,,25.44%,,,,25.49%,,,,25.40%,25.45%,25.26%,25.51%,25.55%,25.55%
Shareholding Pattern (Yearly),No. of Shareholders,39238,,,,41833,,,,43983,,,,64015,7989,8451,14469,9847,7908
,,,,,,,,,,,,,,,,,,,
