Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,42,80,126,91,41,92,143,115,46,98,168,122,68,,,,,,,
Quarterly Results,Expenses,62,89,107,88,84,98,143,153,150,91,121,136,129,,,,,,,
Quarterly Results,Operating Profit,-20,-9,19,3,-42,-6,-0,-38,-104,7,47,-13,-61,,,,,,,
Quarterly Results,OPM %,-47%,-11%,15%,4%,-103%,-7%,-0%,-33%,-229%,7%,28%,-11%,-89%,,,,,,,
Quarterly Results,Other Income,-122,3,20,3,1,5,8,1,8,1,1,17,15,,,,,,,
Quarterly Results,Interest,2,2,3,2,3,3,6,3,5,5,6,6,6,,,,,,,
Quarterly Results,Depreciation,4,5,5,5,4,6,6,5,5,5,5,5,4,,,,,,,
Quarterly Results,Profit before tax,-148,-13,31,0,-49,-11,-4,-45,-106,-3,36,-7,-56,,,,,,,
Quarterly Results,Tax %,1%,-32%,42%,-3554%,-12%,-16%,-7%,-2%,-21%,1%,29%,-87%,-24%,,,,,,,
Quarterly Results,Net Profit,-149,-9,18,10,-43,-9,-4,-44,-83,-3,26,-1,-42,,,,,,,
Quarterly Results,EPS in Rs,-141.48,-8.30,17.27,9.04,-40.66,-9.02,-3.65,-42.18,-79.44,-2.81,24.73,-0.91,-40.09,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,349,,,,337,,,,395,,,,456,268,274,302,296,324,302,377
Profit & Loss,Expenses,323,,,,347,,,,544,,,,477,226,237,245,243,262,284,314
Profit & Loss,Operating Profit,26,,,,-10,,,,-148,,,,-21,42,37,57,53,63,19,63
Profit & Loss,OPM %,7%,,,,-3%,,,,-38%,,,,-5%,16%,13%,19%,18%,19%,6%,17%
Profit & Loss,Other Income,-83,,,,8,,,,21,,,,33,8,13,8,1,5,106,7
Profit & Loss,Interest,7,,,,9,,,,17,,,,23,8,9,8,9,7,11,9
Profit & Loss,Depreciation,19,,,,19,,,,22,,,,19,10,9,21,17,19,19,20
Profit & Loss,Profit before tax,-84,,,,-30,,,,-166,,,,-29,32,32,36,28,42,95,41
Profit & Loss,Tax %,12%,,,,-20%,,,,-15%,,,,-32%,12%,21%,24%,-3%,32%,23%,25%
Profit & Loss,Net Profit,-94,,,,-24,,,,-141,,,,-20,28,25,27,29,28,73,31
Profit & Loss,EPS in Rs,-89.69,,,,-22.64,,,,-134.29,,,,-19.08,26.96,24.10,25.84,27.62,26.76,69.71,29.26
Profit & Loss,Dividend Payout %,-4%,,,,-13%,,,,0%,,,,0%,19%,22%,21%,19%,12%,2%,11%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,7,7,7,7,7,7,7
Balance Sheet,Reserves,738,,,,687,,,,511,,,,510,403,398,695,714,751,819,848
Balance Sheet,Borrowings,112,,,,181,,,,255,,,,262,115,105,115,100,96,128,94
Balance Sheet,Other Liabilities,183,,,,245,,,,176,,,,177,60,67,167,147,175,177,174
Balance Sheet,Total Liabilities,1043,,,,1123,,,,953,,,,959,586,578,985,968,1029,1131,1122
Balance Sheet,Fixed Assets,625,,,,789,,,,708,,,,716,464,439,776,753,768,782,748
Balance Sheet,CWIP,96,,,,91,,,,73,,,,79,0,0,32,45,64,84,91
Balance Sheet,Investments,177,,,,54,,,,16,,,,12,24,26,35,42,43,122,137
Balance Sheet,Other Assets,146,,,,188,,,,155,,,,151,98,112,141,129,153,143,146
Balance Sheet,Total Assets,1043,,,,1123,,,,953,,,,959,586,578,985,968,1029,1131,1122
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,33,,,,20,,,,-83,,,,-2,45,28,45,44,56,6,46
Cash Flows,Cash from Investing Activity,-36,,,,-60,,,,23,,,,25,-5,-13,-41,-16,-30,-18,4
Cash Flows,Cash from Financing Activity,5,,,,56,,,,52,,,,-16,-24,-27,-5,-25,-24,15,-55
Cash Flows,Net Cash Flow,1,,,,16,,,,-9,,,,7,16,-12,-1,2,1,3,-5
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,20,,,,22,,,,17,,,,11,44,62,58,60,49,38,20
Ratios,Inventory Days,342,,,,1470,,,,635,,,,,359,442,354,373,517,519,321
Ratios,Days Payable,153,,,,694,,,,425,,,,,219,266,210,211,276,254,129
Ratios,Cash Conversion Cycle,210,,,,798,,,,228,,,,11,184,238,203,221,291,302,211
Ratios,Working Capital Days,60,,,,39,,,,31,,,,24,32,63,71,75,78,87,71
