Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,96.39,81.48,99.52,111.54,103.60,91.10,109.01,112.29,107.12,109.56,110.85,112.68,119.34,,,,,
Quarterly Results,Expenses,90.27,77.82,95.02,105.02,101.57,87.94,104.32,105.64,99.65,102.77,102.61,105.14,110.43,,,,,
Quarterly Results,Operating Profit,6.12,3.66,4.50,6.52,2.03,3.16,4.69,6.65,7.47,6.79,8.24,7.54,8.91,,,,,
Quarterly Results,OPM %,6.35%,4.49%,4.52%,5.85%,1.96%,3.47%,4.30%,5.92%,6.97%,6.20%,7.43%,6.69%,7.47%,,,,,
Quarterly Results,Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Quarterly Results,Interest,2.94,2.54,2.77,3.28,1.29,2.29,2.94,2.00,2.72,2.24,2.67,2.50,3.40,,,,,
Quarterly Results,Depreciation,1.04,0.02,0.57,0.01,0.59,0.02,0.58,0.32,0.32,0.02,0.60,0.02,0.64,,,,,
Quarterly Results,Profit before tax,2.14,1.10,1.16,3.23,0.15,0.85,1.17,4.33,4.43,4.53,4.97,5.02,4.87,,,,,
Quarterly Results,Tax %,21.50%,25.45%,31.90%,28.17%,-6.67%,29.41%,31.62%,28.18%,29.80%,32.23%,30.38%,31.87%,25.87%,,,,,
Quarterly Results,Net Profit,1.67,0.82,0.79,2.32,0.17,0.61,0.80,3.11,3.11,3.07,3.46,3.41,3.61,,,,,
Quarterly Results,EPS in Rs,0.06,0.03,0.02,0.07,0.01,0.02,0.02,0.10,0.10,0.09,0.11,0.10,0.11,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,384,,,,396,,,,419,,,,452,342,,,,
Profit & Loss,Expenses,368,,,,379,,,,398,,,,421,329,,,,
Profit & Loss,Operating Profit,17,,,,16,,,,21,,,,31,13,,,,
Profit & Loss,OPM %,4%,,,,4%,,,,5%,,,,7%,4%,,,,
Profit & Loss,Other Income,0,,,,1,,,,1,,,,0,1,,,,
Profit & Loss,Interest,10,,,,10,,,,10,,,,11,12,,,,
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,0,,,,
Profit & Loss,Profit before tax,6,,,,6,,,,11,,,,19,1,,,,
Profit & Loss,Tax %,29%,,,,27%,,,,29%,,,,30%,22%,,,,
Profit & Loss,Net Profit,4,,,,4,,,,8,,,,14,0,,,,
Profit & Loss,EPS in Rs,0.16,,,,0.13,,,,0.23,,,,0.42,0.02,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,26,,,,26,,,,32,18,,,,
Balance Sheet,Reserves,130,,,,96,,,,94,,,,135,128,,,,
Balance Sheet,Borrowings,82,,,,95,,,,103,,,,102,65,,,,
Balance Sheet,Other Liabilities,68,,,,59,,,,69,,,,33,64,,,,
Balance Sheet,Total Liabilities,300,,,,276,,,,292,,,,302,275,,,,
Balance Sheet,Fixed Assets,6,,,,5,,,,4,,,,4,0,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,,,,
Balance Sheet,Investments,5,,,,5,,,,5,,,,5,5,,,,
Balance Sheet,Other Assets,289,,,,265,,,,283,,,,293,270,,,,
Balance Sheet,Total Assets,300,,,,276,,,,292,,,,302,275,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16,,,,1,,,,22,,,,-28,-54,,,,
Cash Flows,Cash from Investing Activity,-7,,,,-0,,,,-0,,,,-0,-0,,,,
Cash Flows,Cash from Financing Activity,-9,,,,-0,,,,-12,,,,29,54,,,,
Cash Flows,Net Cash Flow,-0,,,,0,,,,10,,,,0,-0,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,255,,,,223,,,,225,,,,195,266,,,,
Ratios,Inventory Days,0,,,,0,,,,0,,,,0,0,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,255,,,,223,,,,225,,,,195,266,,,,
Ratios,Working Capital Days,202,,,,181,,,,177,,,,178,211,,,,
Ratios,ROCE %,7%,,,,7%,,,,9%,,,,12%,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.09%,74.09%,62.55%,60.24%,60.24%,60.24%,59.66%,51.97%,51.97%,51.97%,41.62%,38.08%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.01%,0.04%,0.35%,0.31%,,,,,
Shareholding Pattern (Quarterly),Public,,25.91%,25.91%,37.45%,39.76%,39.75%,39.76%,40.31%,48.01%,48.03%,47.99%,58.04%,61.61%,,,,,
