Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,71.77,65.24,84.41,73.84,72.43,68.16,65.39,71.55,78.95,80.05,97.85,95.54,94.09,,,,,,,,
Quarterly Results,Expenses,62.56,64.98,74.75,65.61,61.83,58.75,61.10,63.66,68.54,70.04,85.35,82.64,81.64,,,,,,,,
Quarterly Results,Operating Profit,9.21,0.26,9.66,8.23,10.60,9.41,4.29,7.89,10.41,10.01,12.50,12.90,12.45,,,,,,,,
Quarterly Results,OPM %,12.83%,0.40%,11.44%,11.15%,14.63%,13.81%,6.56%,11.03%,13.19%,12.50%,12.77%,13.50%,13.23%,,,,,,,,
Quarterly Results,Other Income,0.19,0.05,0.05,0.06,0.24,0.05,0.06,0.07,0.51,0.05,0.06,0.05,0.27,,,,,,,,
Quarterly Results,Interest,3.76,4.29,4.52,3.71,3.59,2.56,3.93,2.76,3.64,2.26,3.23,2.93,2.97,,,,,,,,
Quarterly Results,Depreciation,3.98,4.17,4.22,4.23,4.14,4.19,4.22,4.18,4.10,4.09,4.13,4.15,4.07,,,,,,,,
Quarterly Results,Profit before tax,1.66,-8.15,0.97,0.35,3.11,2.71,-3.80,1.02,3.18,3.71,5.20,5.87,5.68,,,,,,,,
Quarterly Results,Tax %,384.94%,0.25%,1.03%,5.71%,-27.01%,29.15%,-5.53%,-20.59%,-27.67%,25.34%,25.19%,25.21%,30.63%,,,,,,,,
Quarterly Results,Net Profit,-4.72,-8.17,0.97,0.32,3.94,1.91,-3.59,1.23,4.06,2.78,3.89,4.39,3.94,,,,,,,,
Quarterly Results,EPS in Rs,-3.97,-6.87,0.82,0.27,3.37,1.64,-2.98,1.02,3.38,2.31,3.23,3.65,3.17,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,252,,,,296,,,,284,,,,368,117,129,130,129,164,167,182,206
Profit & Loss,Expenses,209,,,,267,,,,252,,,,320,98,111,113,104,133,137,146,162
Profit & Loss,Operating Profit,43,,,,29,,,,32,,,,48,19,18,17,25,31,30,36,43
Profit & Loss,OPM %,17%,,,,10%,,,,11%,,,,13%,16%,14%,13%,20%,19%,18%,20%,21%
Profit & Loss,Other Income,0,,,,0,,,,1,,,,0,1,0,0,0,0,0,1,1
Profit & Loss,Interest,8,,,,16,,,,13,,,,11,1,2,2,2,1,1,2,2
Profit & Loss,Depreciation,11,,,,17,,,,17,,,,16,2,3,3,3,3,3,3,3
Profit & Loss,Profit before tax,23,,,,-4,,,,3,,,,20,16,13,12,21,27,25,32,38
Profit & Loss,Tax %,39%,,,,-21%,,,,-16%,,,,27%,35%,27%,34%,34%,35%,29%,25%,26%
Profit & Loss,Net Profit,14,,,,-3,,,,4,,,,15,10,9,8,14,18,18,24,28
Profit & Loss,EPS in Rs,12.02,,,,-2.52,,,,3.01,,,,12.07,8.72,7.94,6.37,11.39,14.76,15.11,20.31,23.94
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,16%,0%,22%,13%,10%,9%,7%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,12,,,,12,,,,12,11,11,11,11,11,11,11,11
Balance Sheet,Reserves,159,,,,171,,,,191,,,,212,38,47,53,66,81,97,117,145
Balance Sheet,Borrowings,174,,,,148,,,,115,,,,96,28,36,33,25,25,31,101,153
Balance Sheet,Other Liabilities,70,,,,81,,,,83,,,,96,21,18,15,17,22,19,22,42
Balance Sheet,Total Liabilities,415,,,,412,,,,400,,,,416,98,112,111,120,140,158,251,351
