Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,131,138,137,149,149,160,168,177,,,,
Quarterly Results,Expenses,109,113,116,127,128,136,147,151,,,,
Quarterly Results,Operating Profit,22,25,21,22,21,24,22,26,,,,
Quarterly Results,OPM %,17%,18%,15%,15%,14%,15%,13%,15%,,,,
Quarterly Results,Other Income,2,2,2,8,3,3,2,3,,,,
Quarterly Results,Interest,1,1,0,1,1,1,0,0,,,,
Quarterly Results,Depreciation,4,4,5,6,4,5,6,6,,,,
Quarterly Results,Profit before tax,19,22,18,24,19,21,17,23,,,,
Quarterly Results,Tax %,27%,23%,19%,26%,28%,25%,25%,20%,,,,
Quarterly Results,Net Profit,14,16,14,18,14,16,13,18,,,,
Quarterly Results,EPS in Rs,23233.33,27450.00,2.36,3.00,2.25,2.62,2.13,3.01,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,,,547,,,,654,401,102,145,418
Profit & Loss,Expenses,,,,457,,,,562,376,86,127,348
Profit & Loss,Operating Profit,,,,90,,,,92,24,16,18,70
Profit & Loss,OPM %,,,,16%,,,,14%,6%,16%,12%,17%
Profit & Loss,Other Income,,,,14,,,,10,2,6,4,3
Profit & Loss,Interest,,,,3,,,,2,5,3,1,2
Profit & Loss,Depreciation,,,,19,,,,21,19,14,8,12
Profit & Loss,Profit before tax,,,,82,,,,79,3,4,13,58
Profit & Loss,Tax %,,,,24%,,,,24%,39%,26%,24%,25%
Profit & Loss,Net Profit,,,,63,,,,60,2,3,10,44
Profit & Loss,EPS in Rs,,,,10.42,,,,10.02,3233.33,5000.00,16450.00,72650.00
Profit & Loss,Dividend Payout %,,,,0%,,,,24%,0%,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,12,,,,12,0.06,0.06,0.06,0.06
Balance Sheet,Reserves,,,,165,,,,210,63,62,72,115
Balance Sheet,Borrowings,,,,30,,,,14,37,16,4,38
Balance Sheet,Other Liabilities,,,,89,,,,105,66,30,37,76
Balance Sheet,Total Liabilities,,,,297,,,,341,166,108,112,230
Balance Sheet,Fixed Assets,,,,46,,,,59,40,22,15,38
Balance Sheet,CWIP,,,,1,,,,0,0,0,0,0
Balance Sheet,Investments,,,,90,,,,85,2,21,30,41
Balance Sheet,Other Assets,,,,160,,,,197,124,65,68,150
Balance Sheet,Total Assets,,,,297,,,,341,166,108,112,230
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,67,,,,75,35,31,22,16
Cash Flows,Cash from Investing Activity,,,,-54,,,,-19,-19,-2,-8,-47
Cash Flows,Cash from Financing Activity,,,,-11,,,,-30,-1,-25,-13,18
Cash Flows,Net Cash Flow,,,,2,,,,26,14,5,1,-13
,,,,,,,,,,,,,
Ratios,Debtor Days,,,,47,,,,46,56,73,54,57
Ratios,Inventory Days,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,47,,,,46,56,73,54,57
Ratios,Working Capital Days,,,,40,,,,81,19,72,40,51
Ratios,ROCE %,,,,43%,,,,37%,,4%,18%,51%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,67.75%,67.75%,67.75%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.29%,7.81%,6.27%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,10.72%,11.18%,11.27%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,17.25%,13.24%,14.71%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,147681,49922,52291,,,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,67.75%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,6.27%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,11.27%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,14.71%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,52291,,,,
,,,,,,,,,,,,,
