Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,120,150,300,205,213,247,393,,,,
Quarterly Results,Expenses,97,122,214,154,157,194,293,,,,
Quarterly Results,Operating Profit,22,28,86,51,56,54,99,,,,
Quarterly Results,OPM %,19%,18%,29%,25%,26%,22%,25%,,,,
Quarterly Results,Other Income,1,2,3,2,9,5,11,,,,
Quarterly Results,Interest,5,4,9,8,12,8,8,,,,
Quarterly Results,Depreciation,1,2,2,2,2,3,3,,,,
Quarterly Results,Profit before tax,17,24,78,43,50,48,99,,,,
Quarterly Results,Tax %,29%,28%,27%,30%,27%,24%,25%,,,,
Quarterly Results,Net Profit,12,17,57,30,36,37,74,,,,
Quarterly Results,EPS in Rs,4.64,6.54,4.21,2.25,2.60,2.09,4.17,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,,,729,,,,1066,108,124,224,338
Profit & Loss,Expenses,,,562,,,,798,98,110,174,256
Profit & Loss,Operating Profit,,,166,,,,268,10,15,50,82
Profit & Loss,OPM %,,,23%,,,,25%,9%,12%,22%,24%
Profit & Loss,Other Income,,,9,,,,19,2,2,2,4
Profit & Loss,Interest,,,23,,,,37,3,4,4,8
Profit & Loss,Depreciation,,,6,,,,9,1,1,2,2
Profit & Loss,Profit before tax,,,147,,,,241,7,12,46,75
Profit & Loss,Tax %,,,28%,,,,26%,27%,26%,25%,26%
Profit & Loss,Net Profit,,,106,,,,177,5,9,35,55
Profit & Loss,EPS in Rs,,,7.92,,,,10.04,21.35,35.29,141.60,21.46
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,137,,,,176,2,2,2,26
Balance Sheet,Reserves,,,155,,,,819,26,35,69,101
Balance Sheet,Borrowings,,,234,,,,234,26,30,17,65
Balance Sheet,Other Liabilities,,,235,,,,270,56,45,59,157
Balance Sheet,Total Liabilities,,,761,,,,1498,111,112,148,348
Balance Sheet,Fixed Assets,,,47,,,,70,8,8,10,18
Balance Sheet,CWIP,,,1,,,,0,0,0,0,0
Balance Sheet,Investments,,,0,,,,9,0,0,0,0
Balance Sheet,Other Assets,,,713,,,,1419,103,104,137,329
Balance Sheet,Total Assets,,,761,,,,1498,111,112,148,348
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-68,,,,-47,-2,5,42,101
Cash Flows,Cash from Investing Activity,,,-139,,,,-263,-1,-3,-26,-141
Cash Flows,Cash from Financing Activity,,,206,,,,471,1,-1,-16,42
Cash Flows,Net Cash Flow,,,-2,,,,162,-2,1,-0,2
,,,,,,,,,,,,
Ratios,Debtor Days,,,52,,,,70,200,150,64,61
Ratios,Inventory Days,,,32,,,,21,14,24,34,20
Ratios,Days Payable,,,141,,,,85,292,249,145,197
Ratios,Cash Conversion Cycle,,,-57,,,,7,-78,-75,-46,-117
Ratios,Working Capital Days,,,96,,,,139,107,125,61,1
Ratios,ROCE %,,,47%,,,,32%,,25%,64%,59%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,70.02%,70.09%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.45%,0.65%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,5.19%,3.68%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,23.35%,25.58%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,240931,243784,,,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,70.09%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,0.65%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,3.68%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,25.58%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,243784,,,,
,,,,,,,,,,,,
