Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,166,184,167,156,181,197,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,115,122,115,108,127,141,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,51,62,53,48,54,56,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,31%,34%,32%,31%,30%,28%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,1,-1,1,0,2,4,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,20,27,29,30,27,28,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,14,16,13,13,14,14,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,18,20,11,5,15,18,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,39%,50%,34%,49%,39%,33%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,11,10,7,2,9,12,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,1.81,1.61,1.22,0.41,1.53,1.97,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,14%,50%,40%,118%,53%,49%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,69,72,76,75,78,83,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,286,270,262,256,243,230,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,37,42,28,31,44,52,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,411,403,385,382,384,385,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,344,343,339,330,326,319,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,66,57,44,49,56,64,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,411,403,385,382,384,385,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,28,32,17,15,56,54,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-10,-19,-9,-6,-18,-8,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-14,-18,-13,-8,-37,-45,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,5,-4,-5,1,1,1,,,,,,,,,,,,,,,,,,
