Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1577,1767,1784,1852,1872,1685,1919,1869,2004,2012,1828,1780,1701,,,,,,,,
Quarterly Results,Expenses,1360,1564,1630,1664,1680,1525,1619,1463,1693,1658,1560,1525,1541,,,,,,,,
Quarterly Results,Operating Profit,217,203,154,187,193,160,300,406,311,354,268,255,160,,,,,,,,
Quarterly Results,OPM %,14%,12%,9%,10%,10%,10%,16%,22%,16%,18%,15%,14%,9%,,,,,,,,
Quarterly Results,Other Income,9,16,17,15,36,27,18,23,34,24,21,39,39,,,,,,,,
Quarterly Results,Interest,53,62,69,77,77,57,57,53,52,41,40,45,35,,,,,,,,
Quarterly Results,Depreciation,31,30,30,30,31,30,30,30,34,32,36,37,37,,,,,,,,
Quarterly Results,Profit before tax,143,127,72,95,121,100,231,346,260,305,212,213,126,,,,,,,,
Quarterly Results,Tax %,21%,25%,26%,18%,26%,25%,24%,24%,13%,26%,27%,25%,-33%,,,,,,,,
Quarterly Results,Net Profit,113,95,53,79,89,75,175,263,227,226,155,160,168,,,,,,,,
Quarterly Results,EPS in Rs,1.90,1.60,0.89,1.32,1.50,1.26,2.94,4.43,3.67,3.65,2.51,2.59,2.72,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5281,,,,7276,,,,7478,,,,7320,2459,2402,2204,2079,2263,2699,2711,3474
Profit & Loss,Expenses,4586,,,,6530,,,,6274,,,,6284,2161,2091,1911,1791,2006,2295,2320,3038
Profit & Loss,Operating Profit,695,,,,746,,,,1204,,,,1036,299,311,293,288,257,404,391,436
