Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,253,152,194,133,108,196,96,101,380,387,246,325,889,,,,,,,,,
Quarterly Results,Expenses,261,188,103,378,463,254,119,134,372,418,247,231,881,,,,,,,,,
Quarterly Results,Operating Profit,-8,-36,91,-245,-355,-58,-23,-33,8,-31,-1,94,8,,,,,,,,,
Quarterly Results,OPM %,-3%,-24%,47%,-185%,-328%,-29%,-24%,-33%,2%,-8%,-0%,29%,1%,,,,,,,,,
Quarterly Results,Other Income,20,13,9,15,-14,-616,12,11,22,16,41,4,265,,,,,,,,,
Quarterly Results,Interest,24,17,6,3,1,1,3,4,150,5,4,106,139,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,3,3,2,3,3,3,5,,,,,,,,,
Quarterly Results,Profit before tax,-16,-44,90,-236,-373,-677,-16,-28,-122,-22,34,-11,129,,,,,,,,,
Quarterly Results,Tax %,271%,17%,37%,0%,1%,0%,11%,36%,-26%,26%,28%,134%,5%,,,,,,,,,
Quarterly Results,Net Profit,-61,-52,57,-237,-376,-679,-18,-38,-99,-28,24,-27,123,,,,,,,,,
Quarterly Results,EPS in Rs,-1.31,-0.96,1.04,-4.38,-6.94,-12.55,-0.34,-0.71,-1.83,-0.45,0.38,-0.33,1.06,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1445,,,,587,,,,414,,,,2180,1736,2641,2959,2320,4503,4944,3271,1521,
Profit & Loss,Expenses,1446,,,,942,,,,839,,,,2016,1225,2030,2062,1667,1197,3897,2472,1341,
Profit & Loss,Operating Profit,-1,,,,-356,,,,-425,,,,164,511,611,898,653,3306,1047,799,180,
Profit & Loss,OPM %,-0%,,,,-61%,,,,-103%,,,,8%,29%,23%,30%,28%,73%,21%,24%,12%,
Profit & Loss,Other Income,96,,,,-167,,,,-577,,,,339,64,95,137,518,229,278,90,140,
Profit & Loss,Interest,110,,,,28,,,,9,,,,461,220,336,501,561,744,464,481,228,
Profit & Loss,Depreciation,12,,,,12,,,,11,,,,15,21,20,69,71,97,17,31,17,
Profit & Loss,Profit before tax,-27,,,,-563,,,,-1023,,,,27,334,351,464,539,2694,844,378,75,
Profit & Loss,Tax %,409%,,,,8%,,,,2%,,,,-643%,39%,23%,31%,34%,12%,40%,68%,94%,
Profit & Loss,Net Profit,-137,,,,-608,,,,-1038,,,,194,203,271,321,357,2360,504,121,5,
Profit & Loss,EPS in Rs,-3.00,,,,-11.23,,,,-19.17,,,,1.69,5.28,5.84,6.41,8.30,49.99,11.19,2.65,0.09,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,57%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,91,,,,108,,,,108,,,,244,85,85,92,87,95,90,91,90,
Balance Sheet,Reserves,3324,,,,3122,,,,2220,,,,9077,6789,7085,3901,3956,2850,2860,3467,3392,
Balance Sheet,Borrowings,1329,,,,693,,,,732,,,,4594,2977,6544,8903,9410,7648,7033,2737,1223,
Balance Sheet,Other Liabilities,3007,,,,2664,,,,2855,,,,6575,3617,3130,5226,5115,9487,6209,4992,4051,
Balance Sheet,Total Liabilities,7751,,,,6587,,,,5915,,,,20491,13469,16844,18122,18568,20080,16192,11287,8757,
Balance Sheet,Fixed Assets,96,,,,83,,,,72,,,,6089,304,112,112,3787,952,189,135,86,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,9,88,127,0,1,0,0,0,0,
Balance Sheet,Investments,269,,,,157,,,,158,,,,98,5566,5829,2989,875,3859,2568,132,145,
Balance Sheet,Other Assets,7385,,,,6347,,,,5685,,,,14294,7510,10776,15021,13904,15269,13434,11020,8526,
Balance Sheet,Total Assets,7751,,,,6587,,,,5915,,,,20491,13469,16844,18122,18568,20080,16192,11287,8757,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-248,,,,-343,,,,-97,,,,1461,578,-2830,973,639,-891,-1159,-432,853,
Cash Flows,Cash from Investing Activity,280,,,,661,,,,96,,,,507,-1337,-81,235,-541,155,1784,1768,971,
Cash Flows,Cash from Financing Activity,-64,,,,-331,,,,-8,,,,-1971,529,3315,-695,-834,2057,-1695,-1890,-1791,
Cash Flows,Net Cash Flow,-31,,,,-13,,,,-10,,,,-3,-230,403,513,-735,1321,-1071,-555,33,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,69,,,,47,,,,56,,,,9,21,22,408,602,1,20,9,72,
Ratios,Inventory Days,,,,,,,,,,,,,2746,6711,,,10926,,2377,5051,2595,
Ratios,Days Payable,,,,,,,,,,,,,206,209,,,432,,217,320,126,
