Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,276,639,437,178,279,526,774,377,377,643,,
Quarterly Results,Expenses,272,578,408,171,256,471,722,368,354,572,,
Quarterly Results,Operating Profit,4,61,29,7,23,55,52,9,23,71,,
Quarterly Results,OPM %,1%,10%,7%,4%,8%,10%,7%,2%,6%,11%,,
Quarterly Results,Other Income,0,1,1,1,2,6,6,5,5,6,,
Quarterly Results,Interest,7,9,10,8,10,11,14,14,12,14,,
Quarterly Results,Depreciation,6,7,8,8,9,11,11,12,12,12,,
Quarterly Results,Profit before tax,-9,46,12,-8,7,39,32,-12,4,50,,
Quarterly Results,Tax %,-27%,27%,29%,-27%,27%,28%,28%,-27%,28%,25%,,
Quarterly Results,Net Profit,-6,33,9,-6,5,28,23,-8,3,38,,
Quarterly Results,EPS in Rs,-1.20,6.40,1.68,-1.17,0.62,2.91,2.44,-0.88,0.26,3.93,,
Quarterly Results,Raw PDF,,,,,,,,,,,,
,,,,,,,,,,,,,
Profit & Loss,Sales,,1539,,,,1420,,,,2171,736,924
Profit & Loss,Expenses,,1437,,,,1305,,,,2016,694,855
Profit & Loss,Operating Profit,,102,,,,115,,,,155,42,69
Profit & Loss,OPM %,,7%,,,,8%,,,,7%,6%,7%
Profit & Loss,Other Income,,-0,,,,9,,,,21,3,3
Profit & Loss,Interest,,31,,,,39,,,,54,26,29
Profit & Loss,Depreciation,,26,,,,35,,,,47,9,16
Profit & Loss,Profit before tax,,44,,,,49,,,,74,11,26
Profit & Loss,Tax %,,27%,,,,28%,,,,26%,28%,34%
Profit & Loss,Net Profit,,32,,,,35,,,,55,8,17
Profit & Loss,EPS in Rs,,6.14,,,,3.69,,,,5.75,1.62,3.35
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,52,,,,96,,,,96,48,52
Balance Sheet,Reserves,,262,,,,796,,,,856,21,70
Balance Sheet,Borrowings,,525,,,,386,,,,416,262,415
Balance Sheet,Other Liabilities,,626,,,,489,,,,645,189,539
Balance Sheet,Total Liabilities,,1464,,,,1768,,,,2013,520,1077
Balance Sheet,Fixed Assets,,419,,,,678,,,,691,116,327
Balance Sheet,CWIP,,92,,,,27,,,,58,0,8
Balance Sheet,Investments,,5,,,,9,,,,20,0,3
Balance Sheet,Other Assets,,949,,,,1054,,,,1244,404,738
Balance Sheet,Total Assets,,1464,,,,1768,,,,2013,520,1077
,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,19,,,,257,,,,31,47,-29
Cash Flows,Cash from Investing Activity,,-218,,,,-377,,,,-95,-7,-204
Cash Flows,Cash from Financing Activity,,235,,,,167,,,,-29,-43,254
Cash Flows,Net Cash Flow,,36,,,,47,,,,-93,-2,20
,,,,,,,,,,,,,
Ratios,Debtor Days,,114,,,,55,,,,50,116,141
Ratios,Inventory Days,,81,,,,116,,,,117,79,127
Ratios,Days Payable,,107,,,,127,,,,108,85,153
Ratios,Cash Conversion Cycle,,87,,,,43,,,,59,110,115
Ratios,Working Capital Days,,44,,,,110,,,,58,103,56
Ratios,ROCE %,,11%,,,,8%,,,,10%,,13%
,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,48.11%,48.14%,48.06%,48.04%,48.04%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,1.30%,0.73%,1.97%,1.31%,1.58%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,18.17%,16.01%,10.58%,8.98%,6.57%,,
Shareholding Pattern (Quarterly),Public,,,,,,32.41%,35.12%,39.40%,41.66%,43.81%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,137062,104254,87646,114464,134018,,
,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,48.11%,,,,48.04%,,
Shareholding Pattern (Yearly),FIIs,,,,,,1.30%,,,,1.58%,,
Shareholding Pattern (Yearly),DIIs,,,,,,18.17%,,,,6.57%,,
Shareholding Pattern (Yearly),Public,,,,,,32.41%,,,,43.81%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,137062,,,,134018,,
,,,,,,,,,,,,,
