Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,306,399,461,423,403,467,505,486,551,720,741,727,705,,,,,,,,
Quarterly Results,Expenses,209,269,309,286,284,297,324,311,402,470,477,477,453,,,,,,,,
Quarterly Results,Operating Profit,97,129,151,137,119,170,181,176,148,250,265,250,252,,,,,,,,
Quarterly Results,OPM %,32%,32%,33%,32%,30%,36%,36%,36%,27%,35%,36%,34%,36%,,,,,,,,
Quarterly Results,Other Income,8,3,5,2,1,1,3,4,15,2,5,4,8,,,,,,,,
Quarterly Results,Interest,1,7,7,3,9,17,16,18,33,60,59,57,54,,,,,,,,
Quarterly Results,Depreciation,18,23,29,30,35,41,42,46,54,76,80,81,77,,,,,,,,
Quarterly Results,Profit before tax,85,101,121,107,76,112,126,116,77,115,129,116,129,,,,,,,,
Quarterly Results,Tax %,6%,8%,1%,6%,19%,17%,3%,12%,-4%,22%,25%,25%,21%,,,,,,,,
Quarterly Results,Net Profit,80,93,119,100,61,94,122,101,80,89,96,87,102,,,,,,,,
Quarterly Results,EPS in Rs,5.91,6.96,8.85,7.49,4.81,6.98,9.07,7.55,5.22,6.11,6.73,6.15,6.89,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1347,,,,1685,,,,2009,,,,2894,509,546,597,750,856,982,1074,1212
Profit & Loss,Expenses,858,,,,1146,,,,1332,,,,1876,414,427,425,480,533,637,702,781
Profit & Loss,Operating Profit,489,,,,539,,,,677,,,,1017,95,118,172,269,322,345,372,431
Profit & Loss,OPM %,36%,,,,32%,,,,34%,,,,35%,19%,22%,29%,36%,38%,35%,35%,36%
Profit & Loss,Other Income,22,,,,9,,,,22,,,,18,9,7,3,25,26,31,12,9
Profit & Loss,Interest,4,,,,26,,,,85,,,,231,0,0,0,1,11,23,2,2
Profit & Loss,Depreciation,65,,,,117,,,,183,,,,315,5,16,20,23,26,36,50,43
Profit & Loss,Profit before tax,442,,,,405,,,,431,,,,489,98,109,154,270,312,317,331,394
Profit & Loss,Tax %,8%,,,,8%,,,,8%,,,,23%,28%,18%,13%,9%,6%,8%,11%,10%
Profit & Loss,Net Profit,406,,,,374,,,,397,,,,375,71,89,135,247,295,291,297,355
Profit & Loss,EPS in Rs,29.88,,,,28.10,,,,28.82,,,,25.84,5121.45,6489.45,9714.18,17.95,21.39,21.15,21.84,26.16
Profit & Loss,Dividend Payout %,20%,,,,26%,,,,0%,,,,28%,0%,0%,63%,0%,0%,0%,13%,21%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,0.14,0.14,0.14,14,14,14,14,14
Balance Sheet,Reserves,1895,,,,2182,,,,2573,,,,2841,176,266,299,553,848,1137,1283,1563
Balance Sheet,Borrowings,84,,,,877,,,,2781,,,,2478,1,1,0,1,377,176,0,7
Balance Sheet,Other Liabilities,233,,,,337,,,,1375,,,,1701,94,91,98,124,170,175,205,202
Balance Sheet,Total Liabilities,2226,,,,3410,,,,6742,,,,7033,271,357,397,692,1408,1502,1502,1785
Balance Sheet,Fixed Assets,918,,,,2568,,,,4328,,,,5307,75,72,71,232,771,761,875,854
Balance Sheet,CWIP,27,,,,22,,,,20,,,,0,0,0,0,0,0,3,4,2
