Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,,,,
Quarterly Results,Interest,,,,,,
Quarterly Results,Expenses,,,,,,
Quarterly Results,Financing Profit,,,,,,
Quarterly Results,Financing Margin %,,,,,,
Quarterly Results,Other Income,,,,,,
Quarterly Results,Depreciation,,,,,,
Quarterly Results,Profit before tax,,,,,,
Quarterly Results,Tax %,,,,,,
Quarterly Results,Net Profit,,,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Gross NPA %,,,,,,
Quarterly Results,Net NPA %,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Revenue,,,,,,
Profit & Loss,Interest,,,,,,
Profit & Loss,Expenses,,,,,,
Profit & Loss,Financing Profit,,,,,,
Profit & Loss,Financing Margin %,,,,,,
Profit & Loss,Other Income,,,,,,
Profit & Loss,Depreciation,,,,,,
Profit & Loss,Profit before tax,,,,,,
Profit & Loss,Tax %,,,,,,
Profit & Loss,Net Profit,,,,,,
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,,,,,
,,,,,,,
Balance Sheet,Equity Capital,,,,,,
Balance Sheet,Reserves,,,,,,
Balance Sheet,Borrowing,,,,,,
Balance Sheet,Other Liabilities,,,,,,
Balance Sheet,Total Liabilities,,,,,,
Balance Sheet,Fixed Assets,,,,,,
Balance Sheet,CWIP,,,,,,
Balance Sheet,Investments,,,,,,
Balance Sheet,Other Assets,,,,,,
Balance Sheet,Total Assets,,,,,,
,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,
Cash Flows,Net Cash Flow,,,,,,
,,,,,,,
Ratios,ROE %,,,,,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,63.39%,63.39%,63.39%,63.38%,63.36%,63.31%
Shareholding Pattern (Quarterly),FIIs,1.16%,0.81%,0.12%,0.15%,0.16%,0.27%
Shareholding Pattern (Quarterly),DIIs,10.98%,10.26%,8.90%,5.56%,5.02%,5.00%
Shareholding Pattern (Quarterly),Public,24.48%,25.53%,27.57%,30.92%,31.45%,31.41%
Shareholding Pattern (Quarterly),No. of Shareholders,94713,102124,107413,115818,118512,116912
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,63.39%,,,,63.31%
Shareholding Pattern (Yearly),FIIs,,0.81%,,,,0.27%
Shareholding Pattern (Yearly),DIIs,,10.26%,,,,5.00%
Shareholding Pattern (Yearly),Public,,25.53%,,,,31.41%
Shareholding Pattern (Yearly),No. of Shareholders,,102124,,,,116912
,,,,,,,
