Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,58.88%,58.85%,58.89%,58.89%,58.89%,58.89%,58.89%,58.89%,58.71%,58.71%,61.20%,61.20%,,
Shareholding Pattern (Quarterly),FIIs,6.15%,6.22%,6.24%,6.23%,6.24%,6.19%,6.22%,6.29%,6.29%,6.36%,6.31%,6.31%,,
Shareholding Pattern (Quarterly),DIIs,5.46%,5.48%,5.40%,5.19%,5.23%,5.33%,5.28%,5.26%,5.16%,5.16%,5.16%,5.69%,,
Shareholding Pattern (Quarterly),Public,29.50%,29.45%,29.48%,29.69%,29.65%,29.59%,29.61%,29.56%,29.84%,29.79%,27.33%,26.80%,,
Shareholding Pattern (Quarterly),No. of Shareholders,24398,29817,32869,33137,33208,33352,31665,31496,31601,31171,30267,29823,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,58.89%,,,,58.89%,,,,61.20%,74.06%,58.88%
Shareholding Pattern (Yearly),FIIs,,,,6.23%,,,,6.29%,,,,6.31%,0.12%,6.34%
Shareholding Pattern (Yearly),DIIs,,,,5.19%,,,,5.26%,,,,5.69%,0.56%,5.39%
Shareholding Pattern (Yearly),Public,,,,29.69%,,,,29.56%,,,,26.80%,25.26%,29.39%
Shareholding Pattern (Yearly),No. of Shareholders,,,,33137,,,,31496,,,,29823,8437,24647
,,,,,,,,,,,,,,,
