Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,,,,
Quarterly Results,Interest,,,,,,
Quarterly Results,Expenses,,,,,,
Quarterly Results,Financing Profit,,,,,,
Quarterly Results,Financing Margin %,,,,,,
Quarterly Results,Other Income,,,,,,
Quarterly Results,Depreciation,,,,,,
Quarterly Results,Profit before tax,,,,,,
Quarterly Results,Tax %,,,,,,
Quarterly Results,Net Profit,,,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Gross NPA %,,,,,,
Quarterly Results,Net NPA %,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Revenue,,,,,,
Profit & Loss,Interest,,,,,,
Profit & Loss,Expenses,,,,,,
Profit & Loss,Financing Profit,,,,,,
Profit & Loss,Financing Margin %,,,,,,
Profit & Loss,Other Income,,,,,,
Profit & Loss,Depreciation,,,,,,
Profit & Loss,Profit before tax,,,,,,
Profit & Loss,Tax %,,,,,,
Profit & Loss,Net Profit,,,,,,
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,,,,,
,,,,,,,
Balance Sheet,Equity Capital,,,,,,
Balance Sheet,Reserves,,,,,,
Balance Sheet,Borrowing,,,,,,
Balance Sheet,Other Liabilities,,,,,,
Balance Sheet,Total Liabilities,,,,,,
Balance Sheet,Fixed Assets,,,,,,
Balance Sheet,CWIP,,,,,,
Balance Sheet,Investments,,,,,,
Balance Sheet,Other Assets,,,,,,
Balance Sheet,Total Assets,,,,,,
,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,
Cash Flows,Net Cash Flow,,,,,,
,,,,,,,
Ratios,ROE %,,,,,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,61.65%,61.58%,61.35%,61.16%,61.04%,61.03%
Shareholding Pattern (Quarterly),FIIs,2.54%,1.05%,0.85%,0.63%,0.52%,0.49%
Shareholding Pattern (Quarterly),DIIs,22.64%,23.17%,23.43%,22.56%,21.36%,20.81%
Shareholding Pattern (Quarterly),Public,13.17%,14.19%,14.38%,15.64%,17.08%,17.67%
Shareholding Pattern (Quarterly),No. of Shareholders,168184,155066,146526,146611,152749,149276
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,61.58%,,,,61.03%
Shareholding Pattern (Yearly),FIIs,,1.05%,,,,0.49%
Shareholding Pattern (Yearly),DIIs,,23.17%,,,,20.81%
Shareholding Pattern (Yearly),Public,,14.19%,,,,17.67%
Shareholding Pattern (Yearly),No. of Shareholders,,155066,,,,149276
,,,,,,,
