Section,,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2010,Jun 2011,Dec 201218m,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Dec 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Quarterly Results,Sales,1567,1415,1700,1468,783,179,238,459,546,436,693,590,474,,,,,,,,,,,,,
Quarterly Results,Expenses,1157,1030,1255,1047,696,167,217,418,474,390,647,529,1086,,,,,,,,,,,,,
Quarterly Results,Operating Profit,409,385,445,420,87,12,21,41,72,46,46,61,-612,,,,,,,,,,,,,
Quarterly Results,OPM %,26%,27%,26%,29%,11%,7%,9%,9%,13%,11%,7%,10%,-129%,,,,,,,,,,,,,
Quarterly Results,Other Income,13,11,19,22,-42,137,22,49,6,15,15,28,-1344,,,,,,,,,,,,,
Quarterly Results,Interest,155,168,172,173,206,200,200,210,207,202,175,192,193,,,,,,,,,,,,,
Quarterly Results,Depreciation,212,243,262,256,272,272,164,174,171,177,172,170,147,,,,,,,,,,,,,
Quarterly Results,Profit before tax,55,-15,29,13,-434,-323,-321,-295,-300,-318,-286,-273,-2296,,,,,,,,,,,,,
Quarterly Results,Tax %,-20%,-44%,26%,9%,-9%,0%,0%,0%,-6%,0%,0%,0%,-0%,,,,,,,,,,,,,
Quarterly Results,Net Profit,67,-9,22,12,-395,-323,-321,-295,-282,-318,-286,-273,-2296,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.31,-0.23,0.37,0.34,-7.77,-6.46,-6.23,-5.99,-5.97,-6.49,-5.97,-5.95,-44.84,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6173,,,,5366,,,,1422,,,,2193,9787,12226,20186,13897,11057,8915,4488,5256,,,,,
Profit & Loss,Expenses,4703,,,,4006,,,,1237,,,,2634,9028,11183,18255,12925,9887,7810,3460,4051,,,,,
Profit & Loss,Operating Profit,1470,,,,1360,,,,186,,,,-441,759,1043,1931,972,1170,1105,1027,1205,,,,,
Profit & Loss,OPM %,24%,,,,25%,,,,13%,,,,-20%,8%,9%,10%,7%,11%,12%,23%,23%,,,,,
Profit & Loss,Other Income,97,,,,-14,,,,174,,,,-1305,207,161,821,305,213,40,215,163,,,,,
Profit & Loss,Interest,598,,,,719,,,,817,,,,762,507,615,1647,726,679,507,522,578,,,,,
Profit & Loss,Depreciation,816,,,,1034,,,,781,,,,665,278,308,632,452,542,573,654,725,,,,,
Profit & Loss,Profit before tax,154,,,,-407,,,,-1238,,,,-3173,180,281,473,99,162,65,66,65,,,,,
Profit & Loss,Tax %,-14%,,,,-9%,,,,-1%,,,,0%,58%,50%,28%,4%,1%,32%,17%,39%,,,,,
Profit & Loss,Net Profit,175,,,,-370,,,,-1220,,,,-3173,70,140,338,95,160,44,55,40,,,,,
Profit & Loss,EPS in Rs,3.19,,,,-7.28,,,,-24.66,,,,-63.25,2.18,4.33,7.87,2.29,3.94,0.92,0.81,0.15,,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,37%,14%,9%,17%,16%,12%,27%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,99,,,,99,,,,99,,,,99,41,43,,46,83,86,95,99,46,,,,
Balance Sheet,Reserves,3895,,,,4040,,,,2812,,,,-361,2766,2960,,3216,5259,3311,3579,3734,3242,,,,
Balance Sheet,Borrowings,6733,,,,6878,,,,7184,,,,7460,4422,7830,,6477,4923,4979,5206,5787,7602,,,,
Balance Sheet,Other Liabilities,2356,,,,4649,,,,1761,,,,1241,2479,3490,,2409,3185,1563,1670,1836,4146,,,,
Balance Sheet,Total Liabilities,13083,,,,15666,,,,11856,,,,8438,9708,14324,,12149,13450,9938,10549,11457,15037,,,,
Balance Sheet,Fixed Assets,7423,,,,8356,,,,4750,,,,3869,2647,3278,,4520,4998,5422,5982,6759,4632,,,,
Balance Sheet,CWIP,597,,,,630,,,,92,,,,0,304,345,,394,277,422,456,585,553,,,,
Balance Sheet,Investments,957,,,,1136,,,,1080,,,,760,910,1370,,1452,1622,1128,1135,865,1391,,,,
Balance Sheet,Other Assets,4105,,,,5544,,,,5933,,,,3808,5847,9332,,5783,6553,2966,2976,3247,8461,,,,
Balance Sheet,Total Assets,13083,,,,15666,,,,11856,,,,8438,9708,14324,,12149,13450,9938,10549,11457,15037,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1125,,,,2458,,,,-3006,,,,400,251,-1453,,2234,1272,981,975,1114,3419,,,,
Cash Flows,Cash from Investing Activity,-1431,,,,-1775,,,,3588,,,,37,-448,-1333,,-364,-1039,-1308,-762,-1189,-2080,,,,
Cash Flows,Cash from Financing Activity,345,,,,-816,,,,-555,,,,-465,281,3021,,-1902,-270,347,-197,94,-1660,,,,
Cash Flows,Net Cash Flow,39,,,,-134,,,,27,,,,-28,84,235,,-32,-37,20,16,19,-321,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,53,,,,156,,,,710,,,,269,15,16,,12,18,21,49,54,10,,,,
Ratios,Inventory Days,113,,,,122,,,,399,,,,68,136,164,,115,168,50,102,112,125,,,,
Ratios,Days Payable,88,,,,132,,,,411,,,,181,76,94,,46,97,46,74,77,67,,,,
Ratios,Cash Conversion Cycle,78,,,,146,,,,698,,,,156,75,86,,81,90,24,77,89,68,,,,
Ratios,Working Capital Days,95,,,,10,,,,552,,,,314,131,75,,67,93,40,119,112,46,,,,
Ratios,ROCE %,7%,,,,4%,,,,-5%,,,,-12%,9%,9%,,8%,7%,6%,6%,6%,16%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,50.11%,43.29%,37.09%,20.61%,20.61%,20.61%,18.88%,17.03%,,,,,,,,,,16.37%,16.37%,16.37%,16.37%
Shareholding Pattern (Quarterly),FIIs,,,,,,1.17%,0.49%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,,,,,,,,,,0.02%,0.02%,0.02%,0.02%
Shareholding Pattern (Quarterly),DIIs,,,,,,2.66%,6.45%,5.96%,5.95%,5.95%,5.25%,4.96%,0.57%,,,,,,,,,,0.58%,0.58%,0.58%,0.58%
Shareholding Pattern (Quarterly),Public,,,,,,46.07%,49.76%,56.76%,73.25%,73.25%,73.95%,75.97%,82.21%,,,,,,,,,,83.03%,83.03%,83.02%,83.03%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,54147,106166,108639,105543,105923,104777,107742,122846,,,,,,,,,,132057,138498,138908,139941
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.20%,,,,50.72%,,,,20.61%,,,,17.03%,,,,,,,46.55%,45.32%,,,,,16.37%
Shareholding Pattern (Yearly),FIIs,1.40%,,,,1.51%,,,,0.19%,,,,0.19%,,,,,,,2.68%,1.83%,,,,,0.02%
Shareholding Pattern (Yearly),DIIs,2.87%,,,,3.02%,,,,5.95%,,,,0.57%,,,,,,,2.98%,2.98%,,,,,0.58%
Shareholding Pattern (Yearly),Public,45.53%,,,,44.75%,,,,73.25%,,,,82.21%,,,,,,,47.78%,49.87%,,,,,83.03%
Shareholding Pattern (Yearly),No. of Shareholders,53926,,,,49986,,,,105543,,,,122846,,,,,,,49157,62738,,,,,139941
,,,,,,,,,,,,,,,,,,,,,,,,,,,
