Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,356,402,429,393,410,411,442,415,428,445,464,433,459,,,,,,,,,
Quarterly Results,Expenses,307,355,376,338,356,355,380,367,355,382,395,378,362,,,,,,,,,
Quarterly Results,Operating Profit,49,47,54,55,53,56,63,48,72,63,69,55,97,,,,,,,,,
Quarterly Results,OPM %,14%,12%,12%,14%,13%,14%,14%,11%,17%,14%,15%,13%,21%,,,,,,,,,
Quarterly Results,Other Income,3,4,4,4,8,7,6,10,9,11,11,10,12,,,,,,,,,
Quarterly Results,Interest,2,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,
Quarterly Results,Depreciation,21,21,21,21,20,21,21,21,22,21,22,22,22,,,,,,,,,
Quarterly Results,Profit before tax,29,29,35,37,40,41,47,35,59,51,57,42,85,,,,,,,,,
Quarterly Results,Tax %,24%,26%,26%,30%,15%,24%,29%,26%,26%,27%,29%,27%,27%,,,,,,,,,
Quarterly Results,Net Profit,22,21,26,26,34,31,33,26,43,37,41,31,61,,,,,,,,,
Quarterly Results,EPS in Rs,3.71,3.58,4.45,4.40,5.70,5.38,5.78,4.40,7.25,6.38,6.87,5.20,10.68,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1343,,,,1634,,,,1696,,,,1800,1157,1578,1329,1279,1325,1342,1085,1107,
Profit & Loss,Expenses,1177,,,,1423,,,,1453,,,,1516,1012,1390,1152,1064,1097,1115,953,979,
Profit & Loss,Operating Profit,166,,,,211,,,,243,,,,284,145,189,178,215,228,227,132,128,
Profit & Loss,OPM %,12%,,,,13%,,,,14%,,,,16%,13%,12%,13%,17%,17%,17%,12%,12%,
Profit & Loss,Other Income,7,,,,18,,,,28,,,,44,5,18,18,11,11,14,11,-33,
Profit & Loss,Interest,5,,,,5,,,,6,,,,6,25,33,26,17,7,6,4,3,
Profit & Loss,Depreciation,87,,,,84,,,,85,,,,87,69,93,78,79,77,86,93,84,
Profit & Loss,Profit before tax,81,,,,141,,,,181,,,,235,56,79,91,130,155,149,47,8,
Profit & Loss,Tax %,27%,,,,24%,,,,26%,,,,28%,36%,36%,40%,36%,38%,36%,17%,37%,
Profit & Loss,Net Profit,59,,,,107,,,,133,,,,170,36,51,55,84,96,96,39,5,
Profit & Loss,EPS in Rs,9.71,,,,18.13,,,,22.81,,,,29.13,4.88,7.10,8.56,15.05,15.88,15.71,5.84,0.10,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,143%,123%,65%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,56,,,,56,,,,56,,,,56,56,,56,56,56,56,56,56,56
Balance Sheet,Reserves,820,,,,924,,,,1055,,,,1212,382,,455,558,648,739,762,765,415
Balance Sheet,Borrowings,9,,,,8,,,,8,,,,3,178,,181,83,25,23,1,10,195
Balance Sheet,Other Liabilities,456,,,,499,,,,472,,,,491,334,,423,384,361,353,356,489,374
Balance Sheet,Total Liabilities,1340,,,,1487,,,,1590,,,,1762,950,,1115,1080,1089,1170,1175,1319,1040
Balance Sheet,Fixed Assets,528,,,,508,,,,534,,,,516,496,,540,534,554,578,555,547,486
Balance Sheet,CWIP,48,,,,85,,,,55,,,,24,33,,32,48,35,28,42,29,57
Balance Sheet,Investments,2,,,,2,,,,2,,,,2,0,,0,0,0,0,0,0,0
Balance Sheet,Other Assets,762,,,,893,,,,999,,,,1220,421,,543,499,500,563,578,743,496
Balance Sheet,Total Assets,1340,,,,1487,,,,1590,,,,1762,950,,1115,1080,1089,1170,1175,1319,1040
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,111,,,,210,,,,160,,,,221,115,,192,159,138,133,191,152,126
Cash Flows,Cash from Investing Activity,-130,,,,-58,,,,-62,,,,-17,-89,,-115,-86,-72,-121,-81,-20,-97
Cash Flows,Cash from Financing Activity,-8,,,,-8,,,,-10,,,,-12,-25,,-46,-100,-69,-8,-32,-8,-22
Cash Flows,Net Cash Flow,-27,,,,144,,,,88,,,,192,1,,32,-27,-3,4,78,124,8
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,72,,,,61,,,,61,,,,68,49,,53,55,60,65,66,87,42
Ratios,Inventory Days,140,,,,110,,,,112,,,,103,153,,166,177,178,195,208,185,139
Ratios,Days Payable,230,,,,192,,,,186,,,,170,166,,183,173,160,161,211,287,142
Ratios,Cash Conversion Cycle,-18,,,,-21,,,,-13,,,,1,36,,36,59,79,100,63,-15,40
